;s;p;o;source;support;pipeline;Danilo;FRA;Diego;Davide;Angelo;;Danilo-Fra;Danilo-Diego;;;;
29;constraint language;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
630;context models;proposes;web ontology language;['heuristic'];[5.0];no;n;n;y;;;;1;0;;;;
30;controlled vocabulary;uses;web ontology language;['heuristic'];[2];yes;y;y;y;;;;1;1;;;;
631;data exchange;provides;resource description framework (rdf);['heuristic'];[4.0];no;n;n;n;;;;1;1;;;;
32;data exchange;uses;resource description framework (rdf);['luanyi'];[4];yes;y;n;y;;;;0;1;;;;
632;data exchange;queries;web ontology language;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
33;data integration;uses;linked data;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
34;data integration;uses;ontology alignment;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
633;data integration;provides;resource description framework (rdf);['heuristic'];[5.0];no;n;y;n;;;;0;1;;;;
35;data integration;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
36;data integration;uses;web ontology language;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
37;data publishing;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
38;data publishing;uses;resource description framework (rdf);['openie', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
39;data sparsity;uses;linked data;['luanyi'];[1];yes;n;n;y;;;;1;0;;;;
634;database systems;includes;resource description framework (rdf);['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
40;database systems;includes;semantic descriptions;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
41;dbpedia;publishes;linked data;['heuristic'];[10];yes;y;;y;;;;0;1;;;;
42;dbpedia;skos:broader/is/hyponym-of;linked data;['luanyi'];[4];yes;y;;y;;;;0;1;;;;
43;dbpedia;uses;ontology alignment;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
635;dbpedia;produces;resource description framework (rdf);['heuristic'];[7.0];no;y;;n;;;;0;0;;;;
44;deontic logic;skos:broader/is/hyponym-of;web ontology language;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
636;description logics;proposes;semantic web services;['heuristic'];[8.0];no;n;;n;;;;0;1;;;;
46;digital contents;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
47;digital libraries;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
48;digital libraries;uses;semantic web services;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
637;distributed architectures;based-on;semantic web services;['heuristic'];[4.0];no;y;;y;;;;0;1;;;;
49;distributed query processing;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
50;document clustering;uses;semantic search engines;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
51;domain knowledge;uses;semantic descriptions;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
52;domain knowledge;uses;semantic search engines;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
53;domain knowledge;uses;semantic web services;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
638;domain knowledge;converts-to;web ontology language;['heuristic'];[7.0];no;n;;n;;;;0;1;;;;
54;domain knowledge;uses;web ontology language;['luanyi'];[5];yes;n;y;n;;;;0;1;;;;
639;domain-specific ontologies;supports;linked data;['heuristic'];[8.0];no;y;y;y;;;;1;1;;;;
55;domain-specific ontologies;uses;ontology alignment;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
56;domain-specific ontologies;uses;resource description framework (rdf);['heuristic'];[2];yes;y;y;y;;;;1;1;;;;
640;domain-specific ontologies;includes;semantic descriptions;['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
641;domain-specific ontologies;executes;semantic search engines;['heuristic'];[7.0];no;n;;y;;;;0;0;;;;
57;domain-specific ontologies;uses;web ontology language;['luanyi', 'openie', 'heuristic'];[5, 1, 6];yes;y;y;y;;;;1;1;;;;
58;electronic commerce;requires;ontology alignment;['openie'];[1];yes;y;n;n;;;;0;0;;;;
59;electronic commerce;uses;ontology alignment;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
60;enterprise architecture;uses;resource description framework (rdf);['openie', 'luanyi', 'heuristic'];[1, 1, 1];yes;y;y;y;;;;1;1;;;;
61;equivalence relations;uses;ontology alignment;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
62;facebook;skos:broader/is/hyponym-of;semantic search engines;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
63;fca;uses;ontology alignment;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
64;formal models;uses;semantic web services;['heuristic'];[6];yes;y;n;n;;;;0;0;;;;
642;fuzzy description logic;extends;web ontology language;['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
643;fuzzy logics;maintains;semantic descriptions;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
65;fuzzy ontology;uses;semantic search engines;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
66;geo-spatial data;uses;semantic descriptions;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
67;geographic information system;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
644;graphical models;learns;semantic descriptions;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
68;grid computing;skos:broader/is/hyponym-of;semantic web services;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
69;grid services;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
70;grid services;uses;web ontology language;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
645;heterogeneous databases;includes;semantic search engines;['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
646;http;extends;resource description framework (rdf);['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
71;hypervisor;skos:broader/is/hyponym-of;linked data;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
72;image retrieval;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
73;inference;executes;resource description framework (rdf);['heuristic'];[15];yes;n;;n;;;;0;1;;;;
74;inference;uses;resource description framework (rdf);['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
75;inference;skos:broader/is/hyponym-of;semantic search engines;['luanyi'];[3];yes;n;;y;;;;0;0;;;;
76;inference;uses;web ontology language;['openie'];[1];yes;y;y;n;;;;1;0;;;;
77;information acquisitions;uses;semantic search engines;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
78;information extraction;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
79;information filtering;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
80;information fusion;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
81;information integration;uses;ontology alignment;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
82;information needs;uses;linked data;['luanyi'];[1];yes;n;n;y;;;;1;0;;;;
83;information retrieval;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
84;information retrieval;uses;ontology alignment;['luanyi'];[9];yes;n;y;y;;;;0;0;;;;
85;information retrieval;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
86;information retrieval;uses;semantic search engines;['heuristic', 'luanyi'];[19, 3];yes;y;y;y;;;;1;1;;;;
87;information retrieval;skos:broader/is/hyponym-of;semantic web services;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
88;information sharing;skos:broader/is/hyponym-of;resource description framework (rdf);['luanyi'];[1];yes;n;;n;;;;0;1;;;;
89;information systems;uses;linked data;['luanyi', 'heuristic'];[1, 4];yes;y;y;y;;;;1;1;;;;
647;information systems;matches;ontology alignment;['heuristic'];[7.0];no;n;n;n;;;;1;1;;;;
90;intelligent agents;uses;semantic web services;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
91;intelligent tutoring systems;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
92;investments;uses;linked data;['heuristic'];[1];yes;n;y;n;;;;0;1;;;;
93;it infrastructures;uses;semantic search engines;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
94;keyword search;uses;linked data;['luanyi'];[2];yes;n;y;y;;;;0;0;;;;
95;knowledge acquisition;uses;linked data;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
96;knowledge bases;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
648;knowledge bases;represents;resource description framework (rdf);['heuristic'];[9.0];no;n;;n;;;;0;1;;;;
649;knowledge bases;uses;semantic search engines;['heuristic'];[9.0];no;y;;y;;;;0;1;;;;
97;knowledge bases;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[1, 2, 7];yes;y;y;y;;;;1;1;;;;
98;knowledge discovery;uses;linked data;['luanyi'];[3];yes;y;y;y;;;;1;1;;;;
99;knowledge discovery;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
100;knowledge engineering;uses;linked data;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
101;knowledge exchange;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
102;knowledge exchange;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
103;knowledge management;skos:broader/is/hyponym-of;semantic web services;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
104;knowledge management;uses;web ontology language;['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
105;knowledge management systems;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
106;knowledge management systems;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
650;knowledge representation;supports;resource description framework (rdf);['heuristic'];[8.0];no;n;;y;;;;0;0;;;;
107;knowledge representation;uses;resource description framework (rdf);['luanyi'];[5];yes;y;y;n;;;;1;0;;;;
651;knowledge representation;provides;semantic descriptions;['heuristic'];[7.0];no;y;;y;;;;0;1;;;;
108;knowledge representation;contributes-to;web ontology language;['heuristic'];[17];yes;y;;y;;;;0;1;;;;
109;knowledge representation;uses;web ontology language;['openie', 'luanyi'];[1, 4];yes;y;y;y;;;;1;1;;;;
110;knowledge representation and reasoning;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
111;knowledge-sharing;uses;ontology alignment;['luanyi', 'heuristic'];[3, 4];yes;y;y;y;;;;1;1;;;;
112;language acquisition;uses;linked data;['heuristic'];[1];yes;n;y;y;;;;0;0;;;;
114;learning objects;uses;semantic search engines;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
652;learning objects;learns;semantic web services;['heuristic'];[5.0];no;n;n;y;;;;1;0;;;;
115;learning organizations;includes;semantic search engines;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
653;legacy systems;acquires;resource description framework (rdf);['heuristic'];[5.0];no;y;y;n;;;;1;0;;;;
116;legacy systems;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
117;libraries;produces;linked data;['heuristic'];[32];yes;n;;y;;;;0;0;;;;
118;libraries;uses;linked data;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
119;libraries;uses;resource description framework (rdf);['openie'];[2];yes;n;y;y;;;;0;0;;;;
120;linked data;provides;background knowledge;['openie', 'heuristic'];[1, 2];yes;y;y;y;;;;1;1;;;;
121;linked data;improves;bibliographic data;['openie'];[3];yes;y;y;y;;;;1;1;;;;
654;linked data;links;component-based software engineering;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
122;linked data;skos:broader/is/hyponym-of;component-based software engineering;['openie'];[1];yes;n;;y;;;;0;0;;;;
123;linked data;uses;concept lattices;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
655;linked data;proposes;data exchange;['heuristic'];[6.0];no;n;n;n;;;;1;1;;;;
124;linked data;provides;data integration;['openie', 'heuristic'];[1, 7];yes;y;y;y;;;;1;1;;;;
125;linked data;links;dbpedia;['heuristic'];[14];yes;y;;y;;;;0;1;;;;
126;linked data;supports;dialogue;['openie'];[1];yes;y;y;y;;;;1;1;;;;
127;linked data;includes;digital libraries;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
128;linked data;uses;domain-specific ontologies;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
129;linked data;uses;facebook;['heuristic'];[1];yes;n;;y;;;;0;0;;;;
656;linked data;provides;knowledge discovery;['heuristic'];[3.0];no;n;y;y;;;;0;0;;;;
130;linked data;uses;knowledge representation;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
657;linked data;produces;learning;['heuristic'];[7.0];no;n;n;y;;;;1;0;;;;
131;linked data;provides;libraries;['heuristic'];[23];yes;n;y;n;;;;0;1;;;;
132;linked data;uses;mobile devices;['luanyi'];[2];yes;n;y;n;;;;0;1;;;;
133;linked data;uses;natural languages;['openie', 'luanyi', 'heuristic'];[1, 1, 7];yes;y;y;y;;;;1;1;;;;
134;linked data;uses;on-line analytical processing;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
135;linked data;supports;ontologies;['openie'];[2];yes;y;y;y;;;;1;1;;;;
136;linked data;supports;parsing algorithm;['openie'];[1];yes;y;y;y;;;;1;1;;;;
137;linked data;uses;question answering systems;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
138;linked data;uses;recommender systems;['heuristic'];[5];yes;n;n;y;;;;1;0;;;;
658;linked data;acquires;relational database systems;['heuristic'];[8.0];no;n;;n;;;;0;1;;;;
139;linked data;uses;relational database systems;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
140;linked data;uses;resource description framework (rdf);['openie'];[2];yes;y;y;y;;;;1;1;;;;
141;linked data;uses;rule engine;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
659;linked data;analyzes;semantic data;['heuristic'];[5.0];no;n;;n;;;;0;1;;;;
142;linked data;provides;semantic interoperability;['openie', 'heuristic'];[2, 4];yes;y;y;y;;;;1;1;;;;
660;linked data;produces;semantic relationships;['heuristic'];[5.0];no;y;n;y;;;;0;1;;;;
143;linked data;uses;semantic web technologies;['openie'];[3];yes;n;y;y;;;;0;0;;;;
661;linked data;includes;sensor networks;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
144;linked data;includes;social sciences;['luanyi'];[1];yes;y;n;y;;;;0;1;;;;
145;linked data;uses;software design patterns;['luanyi', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
146;linked data;provides;sparql;['openie'];[1];yes;n;y;n;;;;0;1;;;;
147;linked data;uses;sparql;['luanyi', 'heuristic'];[5, 7];yes;n;y;y;;;;0;0;;;;
662;linked data;improves;user experience;['heuristic'];[3.0];no;n;y;y;;;;0;0;;;;
663;linked data;converts-to;user query;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
148;linked data;uses;user-generated content;['heuristic'];[3];yes;y;;y;;;;0;1;;;;
149;linked data;improves;web contents;['openie'];[1];yes;y;y;y;;;;1;1;;;;
150;linked data;supports;web of data;['heuristic'];[30];yes;y;;y;;;;0;1;;;;
664;linked data;supports;web ontology language;['heuristic'];[4.0];no;n;y;y;;;;0;0;;;;
151;linked data;produces;world wide web;['openie'];[1];yes;n;y;n;;;;0;1;;;;
152;linked data;skos:broader/is/hyponym-of;world wide web;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
153;linked open data;supports;semantic search engines;['openie'];[2];yes;y;y;y;;;;1;1;;;;
154;logic programming;skos:broader/is/hyponym-of;web ontology language;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
155;manets;includes;semantic descriptions;['luanyi'];[2];yes;y;;n;;;;0;0;;;;
665;map-reduce;requires;resource description framework (rdf);['heuristic'];[3.0];no;y;n;n;;;;0;0;;;;
666;mashup;publishes;linked data;['heuristic'];[3.0];no;n;y;y;;;;0;0;;;;
156;mashup;selects;semantic web services;['openie'];[1];yes;y;y;y;;;;1;1;;;;
157;mass customization;uses;semantic descriptions;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
158;mobile applications;uses;semantic descriptions;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
159;mobile devices;uses;linked data;['heuristic'];[1];yes;y;;n;;;;0;0;;;;
160;mobile services;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
161;model transformations;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
162;modelling language;uses;web ontology language;['luanyi'];[5];yes;y;;y;;;;0;1;;;;
163;multimedia contents;uses;web ontology language;['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
164;named entity recognition;skos:broader/is/hyponym-of;resource description framework (rdf);['luanyi'];[1];yes;n;;n;;;;0;1;;;;
165;natural language interfaces;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
166;natural language processing systems;uses;web ontology language;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
167;natural language text;uses;web ontology language;['heuristic'];[1];yes;n;;n;;;;0;1;;;;
168;network management;uses;semantic web services;['heuristic'];[1];yes;y;n;y;;;;0;1;;;;
169;ontologies;supports;linked data;['openie'];[1];yes;y;y;y;;;;1;1;;;;
170;ontologies;proposes;ontology alignment;['openie'];[1];yes;n;y;n;;;;0;1;;;;
171;ontologies;uses;resource description framework (rdf);['openie'];[2];yes;y;y;y;;;;1;1;;;;
172;ontologies;produces;semantic descriptions;['openie'];[1];yes;n;;n;;;;0;1;;;;
173;ontologies;provides;semantic descriptions;['heuristic'];[36];yes;y;;y;;;;0;1;;;;
174;ontologies;executes;semantic search engines;['openie'];[2];yes;n;n;n;;;;1;1;;;;
175;ontologies;provides;semantic search engines;['heuristic'];[45];yes;n;n;y;;;;1;0;;;;
176;ontologies;uses;web ontology language;['luanyi', 'openie', 'heuristic'];[33, 20, 298];yes;y;y;y;;;;1;1;;;;
177;ontology alignment;uses;answering queries;['heuristic'];[7];yes;y;n;n;;;;0;0;;;;
178;ontology alignment;uses;argumentation;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
179;ontology alignment;uses;automated reasoning;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
180;ontology alignment;uses;background knowledge;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
181;ontology alignment;uses;bayesian networks;['luanyi', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
182;ontology alignment;uses;clone detection;['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
183;ontology alignment;produces;communication;['openie'];[1];yes;n;n;n;;;;1;1;;;;
668;ontology alignment;skos:broader/is/hyponym-of;communication;['heuristic'];[8.0];no;n;;n;;;;0;1;;;;
184;ontology alignment;skos:broader/is/hyponym-of;computer science;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
185;ontology alignment;combines;concept similarity;['heuristic'];[13];yes;y;;y;;;;0;1;;;;
186;ontology alignment;uses;controlled natural language;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
187;ontology alignment;uses;decision tables;['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
188;ontology alignment;skos:broader/is/hyponym-of;distributed environments;['heuristic'];[1];yes;n;;n;;;;0;1;;;;
189;ontology alignment;uses;distributed environments;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
190;ontology alignment;uses;domain-specific ontologies;['luanyi', 'heuristic'];[2, 5];yes;y;y;y;;;;1;1;;;;
191;ontology alignment;uses;electronic commerce;['luanyi'];[2];yes;n;n;n;;;;1;1;;;;
192;ontology alignment;uses;evolutionary approach;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
193;ontology alignment;uses;fca;['heuristic'];[2];yes;y;;y;;;;0;1;;;;
194;ontology alignment;uses;fuzzy logics;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
195;ontology alignment;uses;fuzzy sets theory;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
196;ontology alignment;uses;grid environments;['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
197;ontology alignment;uses;image retrieval;['heuristic'];[1];yes;y;y;n;;;;1;0;;;;
669;ontology alignment;combines;inference;['heuristic'];[4.0];no;n;;y;;;;0;0;;;;
198;ontology alignment;skos:broader/is/hyponym-of;information integration;['heuristic'];[10];yes;y;;y;;;;0;1;;;;
670;ontology alignment;supports;information systems;['heuristic'];[8.0];no;y;;y;;;;0;1;;;;
199;ontology alignment;uses;interactive visualizations;['luanyi'];[2];yes;n;y;y;;;;0;0;;;;
200;ontology alignment;supports;knowledge exchange;['openie', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
671;ontology alignment;skos:broader/is/hyponym-of;knowledge-sharing;['heuristic'];[7.0];no;n;;y;;;;0;0;;;;
672;ontology alignment;publishes;linked open data;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
201;ontology alignment;uses;machine learning techniques;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
202;ontology alignment;uses;matching algorithm;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
203;ontology alignment;skos:broader/is/hyponym-of;modelling language;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
204;ontology alignment;uses;mutual informations;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
673;ontology alignment;based-on;natural language processing systems;['heuristic'];[5.0];no;y;;y;;;;0;1;;;;
205;ontology alignment;reuses;ontologies;['openie'];[1];yes;y;y;y;;;;1;1;;;;
206;ontology alignment;uses;ontologies;['heuristic'];[194];yes;y;y;y;;;;1;1;;;;
207;ontology alignment;uses;ontology integration;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
208;ontology alignment;uses;ontology technology;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
209;ontology alignment;uses;particle swarm optimization algorithms;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
210;ontology alignment;includes;pervasive computing environments;['luanyi'];[1];yes;y;n;n;;;;0;0;;;;
211;ontology alignment;uses;posterior probability;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
212;ontology alignment;uses;query expansion;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
674;ontology alignment;automates;query rewritings;['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
213;ontology alignment;uses;relational database systems;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
214;ontology alignment;uses;rough sets theory;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
215;ontology alignment;skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
216;ontology alignment;provides;semantic interoperability;['openie'];[5];yes;y;y;y;;;;1;1;;;;
217;ontology alignment;supports;semantic interoperability;['heuristic'];[34];yes;y;y;y;;;;1;1;;;;
218;ontology alignment;uses;semantic interoperability;['luanyi'];[3];yes;y;n;y;;;;0;1;;;;
219;ontology alignment;includes;semantic relationships;['luanyi'];[2];yes;y;n;y;;;;0;1;;;;
220;ontology alignment;executes;semantic similarity measures;['heuristic'];[12];yes;y;y;y;;;;1;1;;;;
