;s;p;o;source;support;pipeline;Danilo;FRA;;;;;;Danilo-FRA;;;
851;concept similarity;proposes;ontology alignment;['heuristic'];[6.0];no;n;n;;;;;;1;;;
388;concept similarity;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
453;conceptual reference model (crm);uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
917;congenial access control (cac);links;linked data;['heuristic'];[5.0];no;y;n;;;;;;0;;;
640;constraint language;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
1145;constraint language;base;web ontology language;['heuristic'];[3.0];no;y;n;;;;;;0;;;
744;content management;uses;semantic web services;['heuristic'];[2];yes;y;y;;;;;;1;;;
687;content management systems;uses;semantic web services;['heuristic'];[2];yes;y;y;;;;;;1;;;
918;context models;proposes;web ontology language;['heuristic'];[5.0];no;n;n;;;;;;1;;;
748;controlled vocabulary;uses;web ontology language;['heuristic'];[2];yes;y;y;;;;;;1;;;
1007;cycle;acquires;linked data;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1146;data exchange;produces;linked data;['heuristic'];[3.0];no;y;n;;;;;;0;;;
1008;data exchange;provides;resource description framework (rdf);['heuristic'];[4.0];no;n;n;;;;;;1;;;
19;data exchange;uses;resource description framework (rdf);['luanyi', 'luanyi'];[3, 1];yes;y;n;;;;;;0;;;
1009;data exchange;queries;web ontology language;['heuristic'];[4.0];no;n;n;;;;;;1;;;
162;data integration;uses;linked data;['luanyi', 'heuristic'];[2, 20];yes;y;y;;;;;;1;;;
919;data integration;is;ontology alignment;['heuristic'];[5.0];no;y;n;;;;;;0;;;
48;data integration;uses;ontology alignment;['luanyi', 'luanyi'];[1, 3];yes;y;y;;;;;;1;;;
1010;data integration;provides;resource description framework (rdf);['heuristic'];[4.0];no;n;y;;;;;;0;;;
1147;data integration;supports;semantic search engines;['heuristic'];[3.0];no;y;y;;;;;;1;;;
1148;data integration;base;semantic web services;['heuristic'];[3.0];no;y;n;;;;;;0;;;
163;data integration;uses;semantic web services;['luanyi'];[1];yes;y;y;;;;;;1;;;
132;data integration;uses;web ontology language;['luanyi'];[1];yes;y;y;;;;;;1;;;
641;data management;uses;linked data;['heuristic'];[14];yes;y;y;;;;;;1;;;
920;data management;supports;resource description framework (rdf);['heuristic'];[5.0];no;y;y;;;;;;1;;;
1149;data mining;supports;ontology alignment;['heuristic'];[3.0];no;y;y;;;;;;1;;;
1150;data mining;acquires;resource description framework (rdf);['heuristic'];[3.0];no;y;y;;;;;;1;;;
1151;data mining;produces;semantic search engines;['heuristic'];[3.0];no;n;n;;;;;;1;;;
60;data publishing;uses;linked data;['luanyi', 'heuristic'];[1, 4];yes;y;y;;;;;;1;;;
609;data publishing;uses;resource description framework (rdf);['openie', 'heuristic'];[1, 1];yes;y;y;;;;;;1;;;
168;data sparsity;uses;linked data;['luanyi'];[1];yes;n;n;;;;;;1;;;
1152;database systems;includes;resource description framework (rdf);['heuristic'];[3.0];no;y;y;;;;;;1;;;
584;database systems;includes;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
481;dbpedia;is;linked data;['luanyi'];[4];yes;y;n;;;;;;0;;;
267;dbpedia;provides;linked data;['heuristic'];[39];yes;y;y;;;;;;1;;;
1011;decision procedures;supports;web ontology language;['heuristic'];[4.0];no;n;y;;;;;;0;;;
79;deontic logic;is;web ontology language;['luanyi'];[1];yes;y;n;;;;;;0;;;
1153;description logics;base;resource description framework (rdf);['heuristic'];[3.0];no;y;n;;;;;;0;;;
58;description logics;supports;web ontology language;['heuristic'];[29];yes;y;y;;;;;;1;;;
345;description logics;uses;web ontology language;['luanyi'];[7];yes;y;y;;;;;;1;;;
921;design knowledge;base;ontology alignment;['heuristic'];[5.0];no;n;n;;;;;;1;;;
442;digital contents;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1154;digital images;converts;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
519;digital libraries;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
613;digital libraries;uses;semantic web services;['luanyi'];[2];yes;y;y;;;;;;1;;;
922;digital preservation;contributes;linked data;['heuristic'];[5.0];no;y;y;;;;;;1;;;
1012;distributed architectures;base;semantic web services;['heuristic'];[4.0];no;y;n;;;;;;0;;;
1155;distributed hash table;supports;semantic search engines;['heuristic'];[3.0];no;y;y;;;;;;1;;;
567;distributed hash table;includes;semantic web services;['luanyi'];[1];yes;n;n;;;;;;1;;;
337;distributed query processing;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
363;document clustering;uses;semantic search engines;['luanyi'];[1];yes;y;y;;;;;;1;;;
728;domain knowledge;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
324;domain knowledge;uses;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
1156;domain knowledge;produces;semantic search engines;['heuristic'];[3.0];no;n;n;;;;;;1;;;
573;domain knowledge;uses;semantic search engines;['luanyi'];[1];yes;y;y;;;;;;1;;;
122;domain knowledge;uses;semantic web services;['luanyi'];[1];yes;y;y;;;;;;1;;;
810;domain knowledge;converts;web ontology language;['heuristic'];[7.0];no;n;n;;;;;;1;;;
238;domain knowledge;includes;web ontology language;['luanyi'];[2];yes;y;y;;;;;;1;;;
71;domain knowledge;uses;web ontology language;['luanyi'];[3];yes;n;y;;;;;;0;;;
778;domain-specific ontologies;supports;linked data;['heuristic'];[8.0];no;y;y;;;;;;1;;;
16;domain-specific ontologies;uses;ontology alignment;['luanyi'];[2];yes;y;y;;;;;;1;;;
639;domain-specific ontologies;uses;resource description framework (rdf);['heuristic'];[2];yes;y;y;;;;;;1;;;
1157;domain-specific ontologies;includes;semantic description;['heuristic'];[3.0];no;y;y;;;;;;1;;;
923;domain-specific ontologies;proposes;web ontology language;['heuristic'];[5.0];no;y;n;;;;;;0;;;
274;domain-specific ontologies;uses;web ontology language;['openie', 'luanyi', 'luanyi'];[1, 2, 3];yes;y;y;;;;;;1;;;
198;dublin core;is;resource description framework (rdf);['luanyi'];[1];yes;n;n;;;;;;1;;;
1013;dublin core;selects;resource description framework (rdf);['heuristic'];[4.0];no;n;n;;;;;;1;;;
1158;dublin core;learns;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
852;education;links;linked data;['heuristic'];[6.0];no;n;y;;;;;;0;;;
1014;education;uses;resource description framework (rdf);['heuristic'];[4.0];no;y;y;;;;;;1;;;
769;education;uses;web ontology language;['heuristic'];[1];yes;n;y;;;;;;0;;;
607;electronic commerce;requires;ontology alignment;['openie'];[1];yes;y;n;;;;;;0;;;
40;electronic commerce;uses;ontology alignment;['luanyi'];[1];yes;n;y;;;;;;0;;;
727;electronic health record (ehr);uses;semantic search engine;['heuristic'];[1];yes;y;y;;;;;;1;;;
693;electronic health record (ehr);uses;semantic search engines;['heuristic'];[3];yes;y;y;;;;;;1;;;
853;engineering;supports;resource description framework (rdf);['heuristic'];[6.0];no;y;y;;;;;;1;;;
779;engineering;proposes;semantic description;['heuristic'];[8.0];no;y;n;;;;;;0;;;
924;engineering;automates;semantic web services;['heuristic'];[5.0];no;y;y;;;;;;1;;;
811;engineering;supports;web ontology language;['heuristic'];[7.0];no;y;y;;;;;;1;;;
140;enterprise architecture;uses;resource description framework (rdf);['openie', 'luanyi', 'heuristic'];[1, 1, 1];yes;y;y;;;;;;1;;;
628;enterprise information systems;uses;semantic web services;['heuristic'];[7];yes;y;y;;;;;;1;;;
854;extensible markup language;uses;resource description framework (rdf);['heuristic'];[6.0];no;n;y;;;;;;0;;;
1015;extensible markup language (xml);converts;linked data;['heuristic'];[4.0];no;n;n;;;;;;1;;;
736;extensible markup language (xml);uses;ontology alignment;['heuristic'];[4];yes;n;n;;;;;;1;;;
229;extensible markup language (xml);converts;resource description framework (rdf);['heuristic'];[149];yes;n;y;;;;;;0;;;
247;extensible markup language (xml);uses;resource description framework (rdf);['heuristic'];[25];yes;n;y;;;;;;0;;;
210;extensible markup language (xml);uses;semantic search engine;['luanyi'];[1];yes;n;y;;;;;;0;;;
925;extensible markup language (xml);proposes;semantic search engines;['heuristic'];[5.0];no;n;n;;;;;;1;;;
204;extensible markup language (xml);defines;web ontology language;['heuristic'];[22];yes;n;y;;;;;;0;;;
1160;extensible stylesheet language (xslt);converts;resource description framework (rdf);['heuristic'];[3.0];no;y;y;;;;;;1;;;
1016;extract-transform-load (etl) process;proposes;web ontology language;['heuristic'];[4.0];no;n;n;;;;;;1;;;
113;facebook;is;semantic search engines;['luanyi'];[1];yes;n;n;;;;;;1;;;
707;facial expressions;uses;linked data;['heuristic'];[1];yes;n;n;;;;;;1;;;
669;financial statement ontology (fso);uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
1161;fingerprints;learns;linked data;['heuristic'];[3.0];no;n;n;;;;;;1;;;
697;formal concept analysis (fca);uses;ontology alignment;['heuristic'];[1];yes;y;n;;;;;;0;;;
743;formal models;uses;semantic web services;['heuristic'];[7];yes;y;n;;;;;;0;;;
713;formal specifications;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
855;fuzzy description logic;extends;web ontology language;['heuristic'];[6.0];no;y;y;;;;;;1;;;
1162;fuzzy logics;maintains;semantic description;['heuristic'];[3.0];no;y;n;;;;;;0;;;
1163;fuzzy ontology;proposes;resource description framework (rdf);['heuristic'];[3.0];no;n;n;;;;;;1;;;
6;fuzzy ontology;uses;semantic search engine;['luanyi'];[1];yes;n;n;;;;;;1;;;
57;geographic information system;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
137;geospatial data;uses;semantic description;['luanyi'];[2];yes;y;y;;;;;;1;;;
1164;graphical models;learns;semantic description;['heuristic'];[3.0];no;y;n;;;;;;0;;;
484;grid computing;is;semantic web services;['luanyi'];[1];yes;y;n;;;;;;0;;;
503;grid services;uses;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
1017;grid services;defines;web ontology language;['heuristic'];[4.0];no;n;n;;;;;;1;;;
107;grid services;uses;web ontology language;['luanyi'];[2];yes;y;y;;;;;;1;;;
716;hadoop;uses;semantic search engines;['heuristic'];[1];yes;y;y;;;;;;1;;;
812;hash;links;linked data;['heuristic'];[7.0];no;n;n;;;;;;1;;;
1165;heterogeneous databases;includes;semantic search engines;['heuristic'];[3.0];no;y;y;;;;;;1;;;
771;hierarchical structures;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
780;hypertext markup language (html);produces;resource description framework (rdf);['heuristic'];[8.0];no;n;n;;;;;;1;;;
1166;hypertext markup language (html);provides;semantic search engines;['heuristic'];[3.0];no;n;n;;;;;;1;;;
1167;hypertext markup language (html);is;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
738;hypertext transfer protocol (http);uses;linked data;['heuristic'];[19];yes;n;y;;;;;;0;;;
1168;hypertext transfer protocol (http);produces;semantic search engines;['heuristic'];[3.0];no;n;n;;;;;;1;;;
574;hypervisor;is;linked data;['luanyi'];[1];yes;n;n;;;;;;1;;;
477;image retrieval;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
856;image retrieval;base;semantic description;['heuristic'];[6.0];no;y;y;;;;;;1;;;
1169;image retrieval;supports;semantic search engines;['heuristic'];[3.0];no;y;y;;;;;;1;;;
647;image search;uses;semantic description;['heuristic'];[1];yes;y;y;;;;;;1;;;
1170;index structure;provides;resource description framework (rdf);['heuristic'];[3.0];no;n;n;;;;;;1;;;
1018;index structure;proposes;semantic search engines;['heuristic'];[4.0];no;n;n;;;;;;1;;;
379;inference;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 26];yes;y;y;;;;;;1;;;
371;inference;is;semantic search engine;['luanyi'];[1];yes;n;n;;;;;;1;;;
926;inference;base;web ontology language;['heuristic'];[5.0];no;y;n;;;;;;0;;;
327;inference;uses;web ontology language;['openie', 'heuristic'];[1, 15];yes;y;y;;;;;;1;;;
76;information acquisitions;uses;semantic search engines;['luanyi'];[1];yes;y;y;;;;;;1;;;
670;information communications technology (ict);uses;semantic web services;['heuristic'];[1];yes;y;y;;;;;;1;;;
813;information extraction;links;linked data;['heuristic'];[7.0];no;y;y;;;;;;1;;;
420;information extraction;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1171;information extraction;is;ontology alignment;['heuristic'];[3.0];no;y;n;;;;;;0;;;
1172;information extraction;includes;resource description framework (rdf);['heuristic'];[3.0];no;n;n;;;;;;1;;;
192;information filtering;uses;semantic description;['luanyi'];[1];yes;y;y;;;;;;1;;;
30;information fusion;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
711;information integration;uses;linked data;['heuristic'];[3];yes;y;y;;;;;;1;;;
227;information integration;uses;ontology alignment;['luanyi'];[2];yes;y;y;;;;;;1;;;
586;information needs;uses;linked data;['luanyi'];[1];yes;n;n;;;;;;1;;;
604;information retrieval;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1173;information retrieval;maintains;ontology alignment;['heuristic'];[3.0];no;n;n;;;;;;1;;;
156;information retrieval;uses;ontology alignment;['luanyi', 'luanyi'];[7, 1];yes;n;y;;;;;;0;;;
1174;information retrieval;represents;resource description framework (rdf);['heuristic'];[3.0];no;n;n;;;;;;1;;;
551;information retrieval;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;;;;;;1;;;
692;information retrieval;uses;semantic description;['heuristic'];[1];yes;y;y;;;;;;1;;;
508;information retrieval;uses;semantic search engine;['luanyi', 'heuristic'];[1, 7];yes;y;y;;;;;;1;;;
334;information retrieval;uses;semantic search engines;['luanyi', 'heuristic'];[2, 41];yes;y;y;;;;;;1;;;
594;information retrieval;is;semantic web services;['luanyi'];[2];yes;y;n;;;;;;0;;;
56;information sharing;is;resource description framework (rdf);['luanyi'];[1];yes;n;n;;;;;;1;;;
370;information systems;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
857;information systems;matches;ontology alignment;['heuristic'];[6.0];no;n;n;;;;;;1;;;
927;information systems;produces;semantic web services;['heuristic'];[5.0];no;y;y;;;;;;1;;;
553;intelligent agents;uses;semantic web services;['luanyi'];[2];yes;y;y;;;;;;1;;;
410;intelligent tutoring systems;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y;y;;;;;;1;;;
1175;internet;represents;resource description framework (rdf);['heuristic'];[3.0];no;n;n;;;;;;1;;;
676;internet;uses;semantic description;['heuristic'];[4];yes;y;y;;;;;;1;;;
1176;internet;converts;semantic search engines;['heuristic'];[3.0];no;n;n;;;;;;1;;;
705;investments;uses;linked data;['heuristic'];[1];yes;n;y;;;;;;0;;;
928;java;includes;resource description framework (rdf);['heuristic'];[5.0];no;y;n;;;;;;0;;;
1019;java;supports;semantic web services;['heuristic'];[4.0];no;y;n;;;;;;0;;;
929;java;converts;web ontology language;['heuristic', 'heuristic'];[5.0, 4.0];no;n;n;;;;;;1;;;
92;keyword search;uses;linked data;['luanyi'];[2];yes;n;y;;;;;;0;;;
458;knowledge bases;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1177;knowledge bases;defines;resource description framework (rdf);['heuristic'];[3.0];no;n;n;;;;;;1;;;
1020;knowledge bases;acquires;semantic description;['heuristic'];[4.0];no;y;n;;;;;;0;;;
1178;knowledge bases;uses;semantic search engine;['heuristic'];[3.0];no;y;n;;;;;;0;;;
930;knowledge bases;base;web ontology language;['heuristic'];[5.0];no;y;n;;;;;;0;;;
39;knowledge bases;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[1, 2, 8];yes;y;y;;;;;;1;;;
1021;knowledge discovery;links;linked data;['heuristic'];[4.0];no;y;y;;;;;;1;;;
243;knowledge discovery;uses;linked data;['luanyi'];[3];yes;y;y;;;;;;1;;;
148;knowledge discovery;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;;;;;;1;;;
1022;knowledge discovery;supports;semantic search engines;['heuristic'];[4.0];no;y;y;;;;;;1;;;
350;knowledge engineering;uses;linked data;['luanyi'];[2];yes;y;y;;;;;;1;;;
185;knowledge exchange;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
457;knowledge exchange;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;;;;;;1;;;
931;knowledge management;uses;semantic search engines;['heuristic'];[5.0];no;y;y;;;;;;1;;;
306;knowledge management;is;semantic web services;['luanyi'];[2];yes;y;n;;;;;;0;;;
1179;knowledge management;provides;semantic web services;['heuristic'];[3.0];no;y;n;;;;;;0;;;
1023;knowledge management;base;web ontology language;['heuristic'];[4.0];no;y;n;;;;;;0;;;
745;knowledge management;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
150;knowledge management systems;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
323;knowledge management systems;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;;;;;;1;;;
648;knowledge management systems;uses;semantic search engines;['heuristic'];[1];yes;y;y;;;;;;1;;;
626;knowledge management systems;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
814;knowledge representation;extends;resource description framework (rdf);['heuristic'];[7.0];no;n;n;;;;;;1;;;
177;knowledge representation;uses;resource description framework (rdf);['luanyi', 'luanyi'];[4, 1];yes;y;y;;;;;;1;;;
358;knowledge representation;base;web ontology language;['heuristic'];[20];yes;y;y;;;;;;1;;;
293;knowledge representation;uses;web ontology language;['luanyi', 'openie', 'heuristic', 'luanyi'];[1, 1, 21, 3];yes;y;y;;;;;;1;;;
434;knowledge representation and reasoning;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;;;;;;1;;;
429;knowledge-sharing;uses;ontology alignment;['luanyi'];[3];yes;y;y;;;;;;1;;;
1180;lan;provides;resource description framework (rdf);['heuristic'];[3.0];no;n;n;;;;;;1;;;
756;language acquisition;uses;linked data;['heuristic'];[1];yes;n;y;;;;;;0;;;
631;learning objects;uses;ontology alignment;['heuristic'];[1];yes;y;y;;;;;;1;;;
355;learning objects;uses;semantic search engines;['luanyi'];[1];yes;y;y;;;;;;1;;;
932;learning objects;learns;semantic web services;['heuristic'];[5.0];no;n;n;;;;;;1;;;
100;learning organizations;includes;semantic search engine;['luanyi'];[1];yes;y;n;;;;;;0;;;
933;legacy systems;acquires;resource description framework (rdf);['heuristic'];[5.0];no;y;y;;;;;;1;;;
55;libraries;links;linked data;['heuristic'];[63];yes;y;y;;;;;;1;;;
144;libraries;uses;linked data;['luanyi'];[1];yes;n;y;;;;;;0;;;
591;libraries;uses;resource description framework (rdf);['openie'];[1];yes;n;y;;;;;;0;;;
1026;linked data;supports;access control;['heuristic'];[4.0];no;y;y;;;;;;1;;;
934;linked data;includes;augmented reality;['heuristic'];[5.0];no;y;n;;;;;;0;;;
1181;linked data;improves;automatic classification;['heuristic'];[3.0];no;y;y;;;;;;1;;;
119;linked data;provides;background knowledge;['openie', 'heuristic'];[1, 5];yes;y;y;;;;;;1;;;
151;linked data;improves;bibliographic data;['openie'];[3];yes;y;y;;;;;;1;;;
935;linked data;supports;big data;['heuristic'];[5.0];no;n;y;;;;;;0;;;
1027;linked data;produces;communication;['heuristic'];[4.0];no;n;n;;;;;;1;;;
94;linked data;is;component-based software engineering;['openie'];[1];yes;y;n;;;;;;0;;;
517;linked data;uses;concept lattices;['luanyi'];[1];yes;n;y;;;;;;0;;;
1028;linked data;links;cycle;['heuristic'];[4.0];no;n;?;;;;;;0;;;
858;linked data;proposes;data exchange;['heuristic'];[6.0];no;n;n;;;;;;1;;;
459;linked data;provides;data integration;['openie', 'heuristic'];[1, 23];yes;y;y;;;;;;1;;;
859;linked data;provides;data mining;['heuristic'];[6.0];no;n;y;;;;;;0;;;
1182;linked data;combines;data warehouses;['heuristic'];[3.0];no;n;y;;;;;;0;;;
815;linked data;provides;database systems;['heuristic'];[7.0];no;n;y;;;;;;0;;;
22;linked data;produces;dbpedia;['heuristic'];[37];yes;y;y;;;;;;1;;;
35;linked data;supports;dialogue;['openie'];[1];yes;y;y;;;;;;1;;;
261;linked data;includes;digital libraries;['luanyi'];[2];yes;y;y;;;;;;1;;;
1183;linked data;publishes;domain-specific ontologies;['heuristic'];[3.0];no;n;y;;;;;;0;;;
816;linked data;links;e-business models;['heuristic'];[7.0];no;y;n;;;;;;0;;;
757;linked data;uses;emotion recognition;['heuristic'];[2];yes;n;n;;;;;;1;;;
659;linked data;uses;engine;['heuristic'];[3];yes;n;y;;;;;;0;;;
722;linked data;uses;extensible markup language (xml);['heuristic'];[4];yes;y;y;;;;;;1;;;
1029;linked data;publishes;geospatial data;['heuristic'];[4.0];no;n;y;;;;;;0;;;
1184;linked data;executes;graph theory;['heuristic'];[3.0];no;n;n;;;;;;1;;;
781;linked data;publishes;hypertext;['heuristic'];[8.0];no;n;n;;;;;;1;;;
674;linked data;uses;hypertext transfer protocol (http);['heuristic'];[12];yes;n;y;;;;;;0;;;
1185;linked data;produces;information dissemination;['heuristic'];[3.0];no;n;y;;;;;;0;;;
1186;linked data;requires;information fusion;['heuristic'];[3.0];no;n;n;;;;;;1;;;
698;linked data;supports;information needs;['heuristic'];[1];yes;n;y;;;;;;0;;;
860;linked data;improves;information retrieval;['heuristic'];[6.0];no;y;y;;;;;;1;;;
1187;linked data;supports;information systems;['heuristic'];[3.0];no;y;y;;;;;;1;;;
236;linked data;produces;internet;['heuristic'];[23];yes;n;n;;;;;;1;;;
1188;linked data;produces;java;['heuristic'];[3.0];no;n;n;;;;;;1;;;
407;linked data;provides;knowledge bases;['heuristic'];[20];yes;y;y;;;;;;1;;;
861;linked data;provides;knowledge discovery;['heuristic'];[6.0];no;n;y;;;;;;0;;;
817;linked data;produces;knowledge engineering;['heuristic'];[7.0];no;n;y;;;;;;0;;;
862;linked data;extends;knowledge representation;['heuristic'];[6.0];no;y;y;;;;;;1;;;
1030;linked data;proposes;knowledge-sharing;['heuristic'];[4.0];no;n;y;;;;;;0;;;
