,s,p,o,source,support
224,semantic web services,provides,web service composition,heuristic,11
225,linked data,base,routing algorithms,heuristic,1
226,linked data,affects,query processing,heuristic,3
227,linked data,provides,question answering systems,heuristic,10
228,ontology alignment,conjunction,linked data,heuristic,1
229,search engines,selects,resource description framework (rdf),heuristic,2
230,semantic web services,supports,ambient intelligence,heuristic,1
231,semantic search engines,conjunction,information fusion,heuristic,1
232,semantic web rule languages,automates,semantic search engine,heuristic,2
233,resource description framework (rdf),represents,ontology-based,heuristic,36
234,geometry,matches,web ontology language,heuristic,3
235,linked data,provides,resource description framework (rdf),heuristic,63
236,web ontology language,provides,rdf graph,heuristic,1
237,ontology-based,acquires,ontology alignment,heuristic,81
238,semantic search engines,uses,ontology-based,heuristic,53
239,semantic web services,provides,user experience,heuristic,3
240,ontology alignment,uses,domain-specific ontologies,heuristic,7
241,semantic descriptions,links,dbpedia,heuristic,1
242,ontology alignment,supports,student performance,heuristic,1
243,access control mechanism,uses,web ontology language,heuristic,1
244,son,links,linked data,heuristic,2
245,business process modelling,base,semantic web services,heuristic,1
246,web ontology language,is,extensible markup language,heuristic,1
247,resource description framework (rdf),queries,semantic metadata,heuristic,2
248,ontology alignment,conjunction,information extraction,heuristic,2
249,semantic web services,provides,hash,heuristic,1
250,web servers,links,linked data,heuristic,1
251,web ontology language,provides,reasoning algorithms,heuristic,80
252,semantic web services,is,intelligibility,heuristic,3
253,libraries,uses,resource description framework (rdf),heuristic,4
254,semantic search engine,provides,user experience,heuristic,2
255,resource description framework (rdf),represents,user profiles,heuristic,4
256,linked open data,conjunction,semantic search engines,heuristic,2
257,clustering algorithms,proposes,semantic web services,heuristic,4
258,formal modelling,is,resource description framework (rdf),heuristic,2
259,semantic web services,uses,pattern,heuristic,1
260,clustering algorithms,conjunction,linked data,heuristic,1
261,web ontology language,acquires,product families,heuristic,2
262,semantic web services,conjunction,semantic wikis,heuristic,2
263,resource description framework (rdf),provides,recommendation,heuristic,5
264,semantic description,produces,mobile applications,heuristic,1
265,communication,provides,web ontology language,heuristic,3
266,resource description framework (rdf),supports,wordnet,heuristic,3
267,knowledge representation,provides,semantic description,heuristic,7
268,uml profiles,base,resource description framework (rdf),heuristic,2
269,engineering,converts,linked data,heuristic,4
270,pervasive,guides,semantic description,heuristic,1
271,web ontology language,uses,communication,heuristic,6
272,description logics,improves,semantic search engine,heuristic,1
273,web ontology language,provides,resource description framework (rdf),heuristic,245
274,semantic search engines,improves,user navigation,heuristic,1
275,linked data,analyzes,user-generated content,heuristic,3
276,web ontology language,supports,inference,heuristic,10
277,ontology modeling,conjunction,ontology alignment,heuristic,1
278,cache,links,linked data,heuristic,1
279,semantic web services,requires,authentication,heuristic,1
280,multi-threaded,queries,resource description framework (rdf),heuristic,2
281,semantic web services,uses,answering queries,heuristic,1
282,recommendation,conjunction,semantic web services,heuristic,1
283,resource description framework (rdf),guides,undirected graph,heuristic,1
284,document classification,conjunction,semantic search engines,heuristic,1
285,semantic description,learns,e-learning environment,heuristic,4
286,semantic search engines,conjunction,question answering systems,heuristic,7
287,recommendation,conjunction,semantic search engines,heuristic,3
288,semantic web services,includes,efficient algorithm,heuristic,3
289,web ontology language,is,mass customization,heuristic,2
290,linked data,is,education,heuristic,4
291,semantic web services,analyzes,resource description framework (rdf),heuristic,12
292,user experience,converts,semantic web services,heuristic,1
293,knowledge acquisition,links,linked data,heuristic,1
294,ontology alignment,is,knowledge-sharing,heuristic,2
295,linked data,improves,mobile services,heuristic,2
296,semantic web services,proposes,web ontology language,heuristic,7
297,semantic web technologies,conjunction,semantic descriptions,heuristic,2
298,ontology alignment,conjunction,ontology development,heuristic,1
299,domain-specific ontologies,proposes,semantic web services,heuristic,11
300,semantic search engines,acquires,multimedia contents,heuristic,3
301,semantic search engines,is,semantic search engine,heuristic,2
302,description logics,uses,ontology alignment,heuristic,2
303,privacy,is,semantic web services,heuristic,1
304,internet,provides,web ontology language,heuristic,4
305,parsing algorithm,produces,resource description framework (rdf),heuristic,2
306,semantic web services,conjunction,cloud computing,heuristic,1
307,data visualization,conjunction,linked data,heuristic,1
308,ontology alignment,base,argumentation,heuristic,1
309,semantic search engines,analyzes,mobile agents,heuristic,1
310,ontology alignment,selects,ontology-based,heuristic,205
311,semantic search engines,supports,information contents,heuristic,1
312,resource description framework (rdf),links,linked data,heuristic,74
313,extreme programming,proposes,resource description framework (rdf),heuristic,1
314,ontology-based,represents,resource description framework (rdf),heuristic,175
315,linked data,improves,semantic search engine,heuristic,3
316,internet,represents,resource description framework (rdf),heuristic,1
317,resource description framework (rdf),includes,web ontology language,heuristic,9
318,linked data,is,engineering,heuristic,8
319,semantic web services,uses,electronic commerce,heuristic,3
320,data management,base,web ontology language,heuristic,1
321,web ontology language,provides,semantic heterogeneity,heuristic,1
322,resource description framework (rdf),supports,tool support,heuristic,1
323,semantic search engines,conjunction,ontology construction,heuristic,1
324,shortest paths,produces,web ontology language,heuristic,1
325,ontology alignment,conjunction,ontology integration,heuristic,1
326,semantic web services,automates,formal verifications,heuristic,1
327,digital libraries,links,resource description framework (rdf),heuristic,1
328,web ontology language,provides,natural language processing systems,heuristic,4
329,semantic search engines,selects,domain-specific ontologies,heuristic,4
330,optimization,is,resource description framework (rdf),heuristic,2
331,semantic web technologies,includes,ontology alignment,heuristic,3
332,conceptual design,matches,web ontology language,heuristic,3
333,ontology alignment,provides,ontology integration,heuristic,14
334,communication,conjunction,semantic search engines,heuristic,1
335,uml profiles,guides,semantic web services,heuristic,4
336,linked data,provides,rdf graph,heuristic,1
337,semantic web service discovery,conjunction,semantic search engines,heuristic,1
338,semantic desktop,uses,linked data,heuristic,1
339,sparql,proposes,ontology alignment,heuristic,2
340,semantic web service discovery,selects,semantic description,heuristic,2
341,display,affects,resource description framework (rdf),heuristic,1
342,semantic concept,is,semantic search engines,heuristic,7
343,linked data,conjunction,html5,heuristic,1
344,semantic web services,is,component-based software engineering,heuristic,13
345,ontology alignment,base,semantic desktop,heuristic,1
346,ontology alignment,conjunction,schema integration,heuristic,1
347,semantic description,links,dbpedia,heuristic,1
348,ontology-based,uses,resource description framework (rdf),heuristic,44
349,linked data,uses,recommender systems,heuristic,5
350,semantic search engines,improves,information acquisitions,heuristic,3
351,intelligent agents,conjunction,semantic descriptions,heuristic,4
352,visualization,uses,resource description framework (rdf),heuristic,2
353,semantic descriptions,supports,prototyping,heuristic,2
354,ontology alignment,is,semantic data,heuristic,1
355,web ontology language,provides,context information,heuristic,2
356,reasoning algorithms,uses,web ontology language,heuristic,35
357,web information extraction,is,ontology alignment,heuristic,1
358,privacy policies,combines,semantic web services,heuristic,1
359,linked data,provides,background knowledge,heuristic,3
360,ontology alignment,provides,semantic description,heuristic,1
361,business processes,converts,resource description framework (rdf),heuristic,2
362,user navigation,supports,semantic search engines,heuristic,1
363,linked data,uses,computer hardware,heuristic,1
364,building model,provides,web ontology language,heuristic,4
365,radio,represents,web ontology language,heuristic,1
366,reasoning algorithms,uses,web ontology language,heuristic,10
367,semantic descriptions,uses,semantic description,heuristic,1
368,java,uses,resource description framework (rdf),heuristic,1
369,semantic web services,combines,semantic web technologies,heuristic,31
370,expert systems,conjunction,web ontology language,heuristic,1
371,ontology-based,selects,ontology alignment,heuristic,194
372,mobile,base,semantic web services,heuristic,2
373,resource description framework (rdf),acquires,semantic relationships,heuristic,2
374,dynamic environments,produces,resource description framework (rdf),heuristic,2
375,semantic description,provides,semantic web services,heuristic,3
376,multimedia contents,uses,web ontology language,heuristic,1
377,information systems,proposes,resource description framework (rdf),heuristic,2
378,standard model,proposes,web ontology language,heuristic,3
379,semantic web services,extends,decryption,heuristic,1
380,jxta,produces,semantic web services,heuristic,2
381,sparql,links,linked data,heuristic,18
382,ontology alignment,conjunction,ontology modeling,heuristic,1
383,world wide web,acquires,resource description framework (rdf),heuristic,18
384,electronic commerce,conjunction,semantic web services,heuristic,1
385,image databases,includes,semantic description,heuristic,2
386,dublin core,represents,resource description framework (rdf),heuristic,2
387,web engineering,base,semantic web services,heuristic,1
388,linked data,improves,information retrieval,heuristic,3
389,semantic search engines,represents,semantic concept,heuristic,2
390,resource description framework (rdf),provides,linked open data,heuristic,3
391,web ontology language,represents,decision models,heuristic,2
392,linked data,includes,sensor networks,heuristic,3
393,description logics,supports,resource description framework (rdf),heuristic,1
394,ontology alignment,selects,libraries,heuristic,2
395,semantic web services,acquires,petri nets,heuristic,15
396,semantic web services,supports,learning objects,heuristic,5
397,semantic description,automates,service compositions,heuristic,1
398,re-engineering,uses,linked data,heuristic,4
399,distributed computing,supports,linked data,heuristic,1
400,web ontology language,combines,reasoning algorithms,heuristic,5
401,ontology alignment,conjunction,change detection,heuristic,1
402,linked data,includes,reasoning algorithms,heuristic,2
403,linked open data,conjunction,semantic search engine,heuristic,1
404,resource description framework (rdf),uses,formal models,heuristic,1
405,document classification,uses,ontology alignment,heuristic,2
406,cloud services,improves,semantic description,heuristic,1
407,resource description framework (rdf),conjunction,xpath,heuristic,1
408,enterprise architecture,uses,resource description framework (rdf),heuristic,1
409,resource description framework (rdf),provides,data integration,heuristic,7
410,web ontology language,provides,web contents,heuristic,1
411,web ontology language,uses,ontology alignment,heuristic,1
412,search engines,includes,semantic search engine,heuristic,9
413,system architectures,proposes,resource description framework (rdf),heuristic,1
414,parameterizations,proposes,resource description framework (rdf),heuristic,1
415,semantic search engines,is,web-mining,heuristic,2
416,ontology alignment,base,rough sets theory,heuristic,1
417,linked data,improves,information exchanges,heuristic,4
418,ontology construction,supports,web ontology language,heuristic,3
419,inference,represents,web ontology language,heuristic,3
420,agent-based,includes,web ontology language,heuristic,1
421,database systems,produces,resource description framework (rdf),heuristic,23
422,semantic web services,extends,web development,heuristic,1
423,ontology integration,acquires,ontology alignment,heuristic,2
424,semantic web services,provides,software architectures,heuristic,1
425,resource description framework (rdf),selects,social networks,heuristic,6
426,distributed storage,queries,resource description framework (rdf),heuristic,2
427,semantic search engines,is,information retrieval,heuristic,9
428,ontology alignment,produces,model transformations,heuristic,1
429,data warehouses,uses,web ontology language,heuristic,1
430,ontology alignment,proposes,user interfaces,heuristic,1
431,linked data,produces,internet,heuristic,19
432,semantic description,improves,digital libraries,heuristic,6
433,information retrieval,includes,ontology alignment,heuristic,6
434,learning,uses,resource description framework (rdf),heuristic,3
435,resource description framework (rdf),analyzes,change detection,heuristic,5
436,mashup,is,semantic search engines,heuristic,1
437,sensors,improves,semantic description,heuristic,1
438,ontology alignment,uses,sensors,heuristic,1
439,ontology alignment,analyzes,service compositions,heuristic,1
440,semantic web services,is,temporal properties,heuristic,2
441,cloud computing,proposes,semantic search engine,heuristic,3
442,shape optimization,conjunction,semantic web services,heuristic,1
443,web ontology language,uses,data exchange,heuristic,1
444,data caches,selects,linked data,heuristic,3
445,software agents,interacts,semantic description,heuristic,2
446,information systems,conjunction,ontology alignment,heuristic,1
447,linked data,uses,resource description framework (rdf),heuristic,13
448,extreme programming,defines,web ontology language,heuristic,8
449,semantic web services,analyzes,semantic data,heuristic,2
450,semantic search engine,produces,fuzzy ontology,heuristic,1
451,resource description framework (rdf),is,knowledge-sharing,heuristic,2
452,ontology alignment,uses,answering queries,heuristic,6
453,resource description framework (rdf),provides,ontology-based,heuristic,186
454,question answering systems,produces,semantic search engine,heuristic,2
455,supervised machine learning,uses,resource description framework (rdf),heuristic,1
456,linked data,provides,user experience,heuristic,3
457,semantic web services,maintains,graphical models,heuristic,1
458,linked data,analyzes,linked open data,heuristic,8
459,ontology alignment,combines,inference,heuristic,1
460,reconstruction,supports,semantic search engines,heuristic,2
461,web ontology language,produces,vocabulary,heuristic,1
462,adaptive hypermedia,conjunction,linked data,heuristic,1
463,semantic web services,requires,knowledge discovery,heuristic,1
464,semantic search engine,acquires,ontology technology,heuristic,5
465,resource description framework (rdf),improves,libraries,heuristic,5
466,contracts,processes,semantic description,heuristic,1
467,semantic heterogeneity,proposes,ontology alignment,heuristic,4
468,semantic web services,produces,intelligent agents,heuristic,7
469,linked data,produces,java,heuristic,1
470,knowledge discovery,uses,linked data,heuristic,5
471,semantic web services,conjunction,knowledge bases,heuristic,1
472,vocabulary,uses,semantic search engines,heuristic,1
473,web ontology language,is,extreme programming,heuristic,4
474,linked data,conjunction,mobile web,heuristic,1
475,ontology construction,conjunction,semantic search engines,heuristic,1
476,wiki,provides,semantic search engines,heuristic,2
477,linked data,produces,recommendation,heuristic,3
478,grid environments,produces,resource description framework (rdf),heuristic,2
479,semantic search engines,selects,natural language processing systems,heuristic,4
480,web contents,is,semantic description,heuristic,1
481,data security,conjunction,semantic description,heuristic,2
482,ontology alignment,analyzes,concept similarity,heuristic,15
483,programming languages,uses,semantic description,heuristic,1
484,source language,base,semantic description,heuristic,1
485,semantic metadata,selects,semantic search engine,heuristic,1
486,semantic web services,base,access control,heuristic,3
487,cloud services,proposes,linked data,heuristic,2
488,semantic search engines,is,semantic web technologies,heuristic,30
489,efficient algorithm,selects,semantic web services,heuristic,2
490,image search,conjunction,semantic search engines,heuristic,1
491,communication protocols,base,resource description framework (rdf),heuristic,1
492,web contents,uses,linked data,heuristic,1
493,resource description framework (rdf),provides,ontology language,heuristic,15
494,resource description framework (rdf),produces,database systems,heuristic,16
495,semantic search engines,conjunction,ontology building,heuristic,1
496,testing and debugging,base,ontology alignment,heuristic,1
497,linked open data,links,linked data,heuristic,15
498,linked data,proposes,computer science,heuristic,3
499,semantic search engines,conjunction,document classification,heuristic,1
500,natural languages,converts,web ontology language,heuristic,2
501,web ontology language,improves,data management,heuristic,3
502,resource description framework (rdf),is,resource discovery,heuristic,3
503,resource description framework (rdf),conjunction,testing and debugging,heuristic,1
504,web ontology language,provides,data integration,heuristic,4
505,caching,uses,resource description framework (rdf),heuristic,1
506,embedded,uses,resource description framework (rdf),heuristic,1
507,centrality measures,selects,resource description framework (rdf),heuristic,2
508,knowledge bases,represents,resource description framework (rdf),heuristic,16
509,semantic data,improves,semantic search engine,heuristic,2
510,semantic search engines,uses,web ontology language,heuristic,4
511,resource description framework (rdf),provides,internet,heuristic,15
512,ontology alignment,is,ontology learning,heuristic,4
513,semantic web services,base,graph theory,heuristic,1
514,knowledge-sharing,conjunction,linked data,heuristic,1
515,resource description framework (rdf),supports,computer graphics equipment,heuristic,2
516,semantic description,provides,intelligent agents,heuristic,2
517,web ontology language,defines,continuous queries,heuristic,1
518,knowledge representation,uses,semantic search engines,heuristic,7
519,linked data,proposes,user query,heuristic,4
520,ontology language,is,web ontology language,heuristic,3
521,resource description framework (rdf),base,extensible markup language,heuristic,5
522,semantic search engines,base,wordnet,heuristic,1
523,resource description framework (rdf),includes,web contents,heuristic,10
524,semantic description,improves,multimedia contents,heuristic,2
525,web ontology language,uses,bayesian networks,heuristic,2
526,semantic search engines,base,semantic relationships,heuristic,7
527,web contents,produces,resource description framework (rdf),heuristic,5
528,business process execution language,supports,semantic web services,heuristic,1
529,ontology alignment,conjunction,web-mining,heuristic,1
530,semantic search engine,provides,dbpedia,heuristic,2
531,resource description framework (rdf),uses,embedded,heuristic,3
532,information systems,matches,ontology alignment,heuristic,6
533,universities,extends,web ontology language,heuristic,2
534,semantic search engines,conjunction,data mining,heuristic,1
535,linked data,selects,learning objects,heuristic,2
536,resource description framework (rdf),provides,inference,heuristic,6
537,resource description framework (rdf),uses,gear,heuristic,1
538,web ontology language,is,context reasoning,heuristic,2
539,web ontology language,uses,relational database systems,heuristic,2
540,ontology alignment,conjunction,semantic web technologies,heuristic,1
541,semantic search engine,acquires,database systems,heuristic,3
542,web ontology language,includes,intelligent agents,heuristic,2
543,reasoning algorithms,is,ontology alignment,heuristic,3
544,web ontology language,supports,software agents,heuristic,1
545,semantic memory,is,semantic web services,heuristic,1
546,web ontology language,is,z,heuristic,1
547,linked data,uses,facebook,heuristic,1
548,semantic search engines,conjunction,vector space models,heuristic,1
549,microblogging,uses,resource description framework (rdf),heuristic,1
550,activity recognition,uses,web ontology language,heuristic,1
551,semantic description,supports,model-driven architectures,heuristic,2
552,distributed ledgers,conjunction,linked data,heuristic,1
553,java,converts,web ontology language,heuristic,6
554,resource description framework (rdf),produces,programming languages,heuristic,2
555,semantic search engines,base,hierarchical models,heuristic,2
556,semantic descriptions,uses,web 2.0,heuristic,2
557,linked data,annotates,social networks,heuristic,3
558,resource description framework (rdf),uses,web ontology language,heuristic,237
559,data integration,is,resource description framework (rdf),heuristic,7
560,semantic search engines,supports,learning,heuristic,2
561,web contents,uses,semantic search engine,heuristic,1
562,index structure,proposes,semantic search engines,heuristic,3
563,semantic web services,uses,business logic,heuristic,4
564,web ontology language,uses,information exchanges,heuristic,4
565,semantic description,acquires,knowledge bases,heuristic,2
566,linked data,provides,spamming,heuristic,2
