,s,p,o,source,support
111,ontology alignment,conjunction,sentence similarity,heuristic,2
112,semantic web services,conjunction,multi-agents,luanyi,1
113,semantic search engines,uses,mobile devices,luanyi,2
114,ontology alignment,conjunction,information retrieval,heuristic,2
115,semantic web services,uses,web service description,luanyi,2
116,semantic search engines,conjunction,keyword search,luanyi,4
117,web contents,uses,semantic search engine,luanyi,1
118,ontology learning,is,semantic descriptions,luanyi,2
119,ontology alignment,uses,semantic interoperability,luanyi,2
120,knowledge management systems,uses,semantic search engines,heuristic,1
121,resource description framework (rdf),conjunction,linked data,luanyi,7
122,data exchange,conjunction,ontology alignment,luanyi,1
123,ontology alignment,uses,relational database systems,luanyi,1
124,semantic description,uses,ontology language,luanyi,2
125,ontology evaluation,conjunction,ontology alignment,luanyi,1
126,ontology alignment,conjunction,text mining,luanyi,2
127,web ontology language,is,vocabulary,luanyi,2
128,semantic web services,uses,ontology language,heuristic,7
129,resource description framework (rdf),is,standard model,heuristic,1
130,linked data,uses,concept lattices,luanyi,1
131,ontology alignment,includes,pervasive computing environments,luanyi,1
132,libraries,conjunction,semantic search engines,heuristic,1
133,natural language understanding,conjunction,semantic search engines,heuristic,2
134,ontology alignment,uses,linked data,heuristic,1
135,resource description framework (rdf),uses,engine,heuristic,9
136,semantic relationships,conjunction,web ontology language,luanyi,2
137,engine,base,semantic web services,heuristic,17
138,domain knowledge,uses,resource description framework (rdf),heuristic,1
139,ontology evolution,is,semantic descriptions,luanyi,1
140,ontology merging,conjunction,ontology alignment,luanyi,1
141,ontology construction,uses,web ontology language,luanyi,1
142,search engines,conjunction,ontology alignment,luanyi,1
143,web engineering,uses,resource description framework (rdf),heuristic,1
144,web service composition,uses,semantic web services,luanyi,1
145,semantic web services,supports,automation,openie,6
146,wiki,uses,semantic search engines,heuristic,6
147,semantic search engines,uses,email,luanyi,1
148,semantic search engine,uses,user interfaces,luanyi,1
149,ontology alignment,uses,ontology alignment,luanyi,1
150,ontologies,uses,semantic search engine,heuristic,15
151,semantic descriptions,conjunction,semantic search engines,heuristic,1
152,automatic image annotation,supports,semantic search engines,openie,1
153,distributed ledgers,conjunction,linked data,luanyi,1
154,linked data,conjunction,html5,heuristic,1
155,web contents,uses,semantic web services,luanyi,1
156,resource description framework (rdf),conjunction,microdata,luanyi,1
157,semantic search engine,uses,semantic search engines,luanyi,2
158,intelligent software agent,conjunction,semantic web services,luanyi,1
159,semantic web services,requires,authentication,openie,1
160,semantic descriptions,is,component-based software engineering,openie,1
161,orthography,conjunction,semantic search engines,luanyi,1
162,semantic web services,conjunction,semantic web service discovery,luanyi,1
163,logic programming,is,web ontology language,luanyi,1
164,linked data,uses,rule engine,luanyi,1
165,semantic web services,uses,shortest paths,luanyi,1
166,ontology alignment,conjunction,web-mining,heuristic,1
167,semantic web services,uses,semantic wikis,luanyi,3
168,linked data,conjunction,web 2.0,heuristic,5
169,question answering systems,uses,semantic search engine,luanyi,1
170,model transformations,uses,ontology alignment,luanyi,1
171,hierarchical structures,uses,resource description framework (rdf),heuristic,1
172,semantic search engines,uses,vocabulary,heuristic,6
173,web information,uses,semantic web services,heuristic,2
174,ontology alignment,uses,ontology integration,luanyi,1
175,semantic search engines,is,component-based software engineering,openie,1
176,web ontology language,is,fuzzy extension,luanyi,1
177,sparql,conjunction,semantic descriptions,luanyi,1
178,semantic web technologies,uses,semantic web services,luanyi,4
179,facebook,is,semantic search engines,luanyi,1
180,semantic web rule languages,conjunction,web ontology language,luanyi,7
181,word sense disambiguation,conjunction,semantic search engines,luanyi,2
182,web ontology language,uses,uml profiles,luanyi,1
183,linked open data,links,linked data,heuristic,29
184,linked data,conjunction,vocabulary,luanyi,1
185,description logics,uses,web ontology language,luanyi,7
186,user interfaces,links,linked data,heuristic,13
187,resource description framework (rdf),conjunction,ontologies,luanyi,34
188,resource description framework (rdf),uses,semantic web technologies,luanyi,2
189,linked open data,conjunction,semantic search engine,heuristic,1
190,ontology alignment,conjunction,ontology merging,heuristic,1
191,semantic description,uses,model-driven architectures,luanyi,1
192,automatic composition,uses,semantic web services,luanyi,1
193,linked data,conjunction,natural language processing systems,heuristic,5
194,semantic descriptions,uses,semantic descriptions,luanyi,2
195,semantic web services,uses,knowledge acquisition,luanyi,3
196,ontology alignment,is,ontologies,luanyi,1
197,web ontology language,provides,query processing,heuristic,7
198,semantic web services,uses,uml profiles,luanyi,1
199,personalized services,conjunction,semantic web services,luanyi,1
200,vocabulary,conjunction,linked data,luanyi,1
201,resource description framework (rdf),uses,libraries,heuristic,12
202,semantic description,conjunction,automatic composition,heuristic,1
203,ontology alignment,conjunction,inference,luanyi,1
204,learning,provides,semantic search engines,heuristic,10
205,resource description framework (rdf),represents,domain knowledge,heuristic,5
206,question answering systems,uses,ontology alignment,luanyi,3
207,business process execution language,conjunction,web ontology language,luanyi,1
208,semantic web services,requires,privacy,openie,1
209,ontology alignment,conjunction,change detection,luanyi,1
210,content management,uses,semantic web services,heuristic,2
211,software agents,uses,semantic description,luanyi,1
212,xml schemas,conjunction,resource description framework (rdf),luanyi,7
213,reasoning algorithms,conjunction,semantic search engines,luanyi,1
214,semantic web services,conjunction,semantic search engine,luanyi,1
215,knowledge management systems,uses,web ontology language,heuristic,1
216,semantic search engines,conjunction,data integration,luanyi,1
217,robots,uses,semantic web services,heuristic,2
218,information integration,conjunction,ontology alignment,heuristic,1
219,web applications,uses,semantic web services,luanyi,4
220,semantic description,uses,description logics,luanyi,1
221,semantic description,uses,semantic web technologies,luanyi,1
222,knowledge bases,conjunction,semantic web services,luanyi,1
223,linked data,conjunction,ontology construction,luanyi,1
224,adaptive hypermedia,conjunction,semantic search engines,luanyi,1
225,semantic web services,uses,visual programming,luanyi,1
226,information retrieval,uses,resource description framework (rdf),luanyi,1
227,semantic web services,uses,ontology alignment,luanyi,2
228,programming languages,conjunction,resource description framework (rdf),luanyi,1
229,complex networks,conjunction,linked data,luanyi,2
230,ontology alignment,is,modeling languages,luanyi,1
231,electronic commerce,uses,ontology alignment,luanyi,1
232,web ontology language,conjunction,java,luanyi,2
233,semantic description,uses,web ontology language,openie,1
234,web ontology language,conjunction,pattern recognition,heuristic,1
235,semantic web services,uses,semantic relationships,luanyi,4
236,semantic search engine,includes,web information,heuristic,2
237,electronic commerce,conjunction,semantic web services,luanyi,2
238,semantic interoperability,uses,web ontology language,heuristic,3
239,user query,uses,web ontology language,heuristic,6
240,ontology alignment,uses,domain knowledge,heuristic,5
241,relation extraction,uses,semantic search engine,luanyi,1
242,image annotation,conjunction,semantic web services,luanyi,1
243,web ontology language,is,expert systems,luanyi,1
244,ontology alignment,uses,electronic commerce,luanyi,2
245,grid services,uses,semantic description,luanyi,1
246,semantic description,uses,wordnet,luanyi,1
247,ontology alignment,conjunction,knowledge representation,heuristic,1
248,semantic web service discovery,uses,ontology alignment,luanyi,2
249,world wide web,publishes,resource description framework (rdf),heuristic,9
250,semantic web technologies,conjunction,web ontology language,luanyi,2
251,resource description framework (rdf),includes,social sciences,luanyi,1
252,smart phones,uses,semantic search engines,luanyi,1
253,semantic web technologies,includes,semantic description,luanyi,1
254,biometrics,supports,semantic description,heuristic,9
255,document classification,conjunction,semantic search engines,heuristic,1
256,anomaly detection,uses,ontology alignment,luanyi,1
257,semantic search engines,uses,verification,heuristic,2
258,semantic description,supports,software agents,heuristic,2
259,semantic desktop,uses,semantic search engines,luanyi,1
260,semantic search engines,conjunction,mobile computing,luanyi,1
261,semantic distance,uses,linked data,luanyi,1
262,semantic search engines,uses,index structure,luanyi,1
263,clustering algorithms,conjunction,ontology alignment,heuristic,3
264,visualization,uses,semantic search engine,heuristic,1
265,relational database systems,acquires,web ontology language,heuristic,12
266,semantic search engine,uses,semantic web technologies,heuristic,1
267,information integration,conjunction,ontology alignment,luanyi,1
268,formal specifications,uses,resource description framework (rdf),heuristic,1
269,cloud services,uses,semantic description,luanyi,1
270,resource description framework (rdf),is,web engineering,luanyi,1
271,resource description framework (rdf),guides,knowledge representation,heuristic,33
272,ontology alignment,uses,domain-specific ontologies,luanyi,1
273,image processing,conjunction,semantic web services,luanyi,1
274,information integration,conjunction,semantic web services,luanyi,4
275,ontology alignment,conjunction,testing and debugging,luanyi,1
276,semantic search engines,uses,pervasive computing,luanyi,1
277,semantic web services,conjunction,sensor networks,heuristic,1
278,resource description framework (rdf),is,web applications,luanyi,8
279,semantic search engines,provides,knowledge bases,heuristic,25
280,resource description framework (rdf),uses,query optimization,luanyi,1
281,schema matching,conjunction,ontology alignment,heuristic,1
282,named entity recognition,is,resource description framework (rdf),luanyi,1
283,resource description framework (rdf),conjunction,xpath,luanyi,1
284,linked data,conjunction,data visualization,luanyi,1
285,web ontology language,defines,domain knowledge,heuristic,22
286,knowledge discovery,uses,resource description framework (rdf),luanyi,1
287,resource description framework (rdf),is,recommendation,openie,2
288,xml schemas,conjunction,web ontology language,luanyi,11
289,resource description framework (rdf),uses,data exchange,heuristic,10
290,engine,uses,web ontology language,heuristic,13
291,recommender systems,includes,semantic web services,luanyi,1
292,semantic interoperability,conjunction,semantic search engines,luanyi,1
293,ontologies,produces,semantic descriptions,openie,1
294,representational state transfer,conjunction,web ontology language,luanyi,1
295,component-based software engineering,acquires,semantic description,heuristic,11
296,social networks,uses,web ontology language,luanyi,2
297,semantic description,uses,semantic descriptions,luanyi,1
298,semantic web services,uses,learning,heuristic,24
299,learning organizations,includes,semantic search engine,luanyi,1
300,dublin core,conjunction,web ontology language,luanyi,2
301,ontology alignment,conjunction,clustering algorithms,luanyi,3
302,semantic web technologies,uses,resource description framework (rdf),heuristic,4
303,distributed hash table,includes,semantic web services,luanyi,1
304,web contents,conjunction,web ontology language,luanyi,1
305,mass customization,uses,semantic description,luanyi,1
306,data warehousing,conjunction,ontology alignment,luanyi,1
307,ontology alignment,conjunction,information fusion,heuristic,1
308,linked data,conjunction,semantic search engines,luanyi,3
309,ontology alignment,executes,concept similarity,heuristic,21
310,user query,uses,semantic search engines,luanyi,1
311,ontology alignment,uses,fuzzy logics,luanyi,1
312,business processes,uses,semantic web services,luanyi,2
313,semantic search engine,is,information technology,luanyi,1
314,semantic web services,conjunction,ontologies,luanyi,5
315,recommender systems,uses,linked data,heuristic,8
316,linked data,conjunction,automated reasoning,luanyi,1
317,semantic web services,provides,open source software,heuristic,9
318,testing and debugging,conjunction,ontology alignment,heuristic,1
319,web ontology language,includes,domain-specific ontologies,luanyi,1
320,semantic web services,conjunction,knowledge management,luanyi,1
321,semantic web technologies,conjunction,resource description framework (rdf),luanyi,3
322,domain-specific ontologies,uses,resource description framework (rdf),heuristic,2
323,image annotation,conjunction,semantic web services,heuristic,1
324,feature space,conjunction,semantic search engines,luanyi,1
325,speech recognition,conjunction,semantic search engines,luanyi,1
326,grid services,uses,web ontology language,luanyi,2
327,resource description framework (rdf),conjunction,optimization,luanyi,1
328,linked data,conjunction,cloud services,luanyi,1
329,semantic web services,conjunction,social networks,luanyi,6
330,semantic search engines,conjunction,agent technology,luanyi,1
331,web ontology language,supports,knowledge-sharing,heuristic,3
332,semantic search engines,conjunction,text mining,luanyi,1
333,language acquisition,uses,linked data,heuristic,1
334,ontology alignment,conjunction,semantic similarity measures,luanyi,2
335,semantic search engines,conjunction,ontology evolution,luanyi,1
336,ontology technology,conjunction,semantic web services,heuristic,2
337,knowledge representation,uses,resource description framework (rdf),luanyi,4
338,semantic search engines,requires,verification,openie,1
339,software development life cycle,uses,semantic web services,luanyi,1
340,semantic search engines,conjunction,information fusion,luanyi,1
341,semantic search engines,uses,resource description framework (rdf),heuristic,5
342,linked data,conjunction,twitter,heuristic,1
343,semantic web services,uses,ontology evolution,luanyi,1
344,schema integration,conjunction,ontology alignment,luanyi,2
345,semantic description,produces,engine,heuristic,16
346,component-based software engineering,is,ontology alignment,openie,1
347,web crawlers,is,semantic search engine,heuristic,1
348,social relationships,uses,semantic search engines,luanyi,1
349,semantic web services,conjunction,p2p computing,luanyi,1
350,ontology alignment,uses,decision tables,heuristic,1
351,investments,uses,linked data,heuristic,1
352,data integration,conjunction,semantic web services,luanyi,2
353,semantic search engines,uses,semantic relationships,heuristic,8
354,learning,improves,ontology alignment,heuristic,11
355,machine translation systems,conjunction,semantic search engines,luanyi,1
356,component-based software engineering,links,linked data,heuristic,14
357,ontology alignment,conjunction,data management,heuristic,1
358,validation,uses,resource description framework (rdf),heuristic,1
359,semantic search engines,uses,social networks,luanyi,2
360,semantic search engines,uses,mobile agents,luanyi,1
361,semantic web services,uses,collaborative filtering algorithms,luanyi,1
362,semantic web services,provides,engineering,heuristic,10
363,ontology alignment,conjunction,evaluation system,luanyi,1
364,semantic web services,uses,answering queries,heuristic,1
365,information retrieval,is,semantic web services,luanyi,2
366,ontologies,conjunction,ontology alignment,luanyi,6
367,knowledge representation,uses,semantic search engines,heuristic,9
368,knowledge management systems,uses,linked data,luanyi,1
369,visualization,links,linked data,heuristic,17
370,answering queries,uses,linked data,luanyi,1
371,semantic search engines,uses,named entity recognition,luanyi,1
372,information retrieval,uses,semantic search engine,luanyi,1
373,ontology alignment,uses,semantic relationships,luanyi,1
374,semantic web services,uses,semantic web services,luanyi,18
375,semantic search engines,conjunction,adaptive hypermedia,luanyi,1
376,knowledge bases,uses,web ontology language,heuristic,8
377,semantic search engines,conjunction,vector space models,luanyi,1
378,semantic descriptions,uses,heterogeneous databases,luanyi,1
379,ontology alignment,uses,background knowledge,luanyi,1
380,agent technology,uses,semantic description,luanyi,1
381,database systems,includes,semantic descriptions,luanyi,1
382,linked data,supports,dialogue,openie,1
383,semantic search engine,uses,description logics,luanyi,1
384,learning,uses,resource description framework (rdf),heuristic,6
385,star schema,uses,web ontology language,luanyi,1
386,linked data,conjunction,resource description framework (rdf),luanyi,1
387,ontology integration,includes,ontology alignment,luanyi,1
388,user query,uses,ontology alignment,luanyi,1
389,semantic search engines,conjunction,wiki,heuristic,1
390,network management,uses,semantic web services,heuristic,1
391,semantic search engines,conjunction,ontology learning,luanyi,2
392,logistics,uses,semantic web services,heuristic,11
393,artificial intelligence,is,linked data,luanyi,2
394,access control,uses,web ontology language,heuristic,12
395,semantic descriptions,uses,semantic web technologies,openie,1
396,linked data,produces,learning,heuristic,27
397,wordnet,is,web ontology language,luanyi,2
398,schema integration,conjunction,ontology alignment,heuristic,1
399,content management systems,uses,semantic web services,heuristic,2
400,ontology alignment,conjunction,word sense disambiguation,heuristic,1
401,ontology alignment,uses,distributed environments,luanyi,1
402,web contents,uses,resource description framework (rdf),heuristic,8
403,resource description framework (rdf),uses,abstract syntax,luanyi,1
404,ajax,conjunction,resource description framework (rdf),heuristic,1
405,linked data,conjunction,machine learning techniques,luanyi,1
406,information retrieval,uses,linked data,luanyi,1
407,web services discovery,uses,semantic web services,luanyi,3
408,semantic web services,supports,intelligent agents,heuristic,9
409,semantic data,uses,ontology alignment,luanyi,1
410,service execution,is,semantic web services,luanyi,1
411,service ontology,uses,web ontology language,heuristic,1
412,information retrieval,uses,semantic search engines,luanyi,2
413,semantic descriptions,conjunction,verification,luanyi,2
414,ontology alignment,uses,machine learning techniques,heuristic,7
415,affective computing,uses,semantic description,luanyi,1
416,community detection,conjunction,semantic search engines,luanyi,2
417,web services discovery,uses,semantic description,luanyi,1
418,semantic web services,uses,agent technology,luanyi,2
419,linked data,conjunction,representational state transfer,heuristic,1
420,ontology alignment,conjunction,ontology evaluation,heuristic,1
421,knowledge representation,provides,semantic description,heuristic,9
422,supervised machine learning,uses,web ontology language,heuristic,1
423,ajax,conjunction,resource description framework (rdf),luanyi,1
424,automated reasoning,uses,semantic web services,luanyi,1
425,resource description framework (rdf),is,semantic interoperability,luanyi,1
426,information extraction,conjunction,semantic search engines,luanyi,5
427,web ontology language,uses,description logics,luanyi,8
428,resource description framework (rdf),is,standard model,openie,1
429,ajax,conjunction,linked data,luanyi,1
430,semantic web services,acquires,petri nets,heuristic,10
431,resource description framework (rdf),extends,knowledge bases,heuristic,12
432,semantic search engines,executes,information extraction,heuristic,9
433,natural language processing systems,uses,web ontology language,luanyi,1
434,knowledge bases,uses,web ontology language,luanyi,2
435,service matching,uses,semantic web services,luanyi,2
436,telecommunications industry,uses,semantic web services,luanyi,2
437,ontology alignment,supports,knowledge discovery,heuristic,2
438,linked data,provides,semantic data,heuristic,20
439,linked data,conjunction,multilingualism,heuristic,1
440,clustering algorithms,conjunction,ontology alignment,luanyi,1
441,knowledge management systems,uses,resource description framework (rdf),luanyi,1
442,semantic web services,uses,semantic search engines,luanyi,1
443,sparql,conjunction,web ontology language,luanyi,7
444,resource description framework (rdf),conjunction,dublin core,luanyi,1
445,linked open data,conjunction,semantic web services,luanyi,1
446,agent technology,conjunction,semantic search engines,heuristic,1
447,semantic relationships,uses,web ontology language,heuristic,1
448,linked data,conjunction,clustering algorithms,heuristic,1
449,mashup,selects,semantic web services,openie,1
450,information retrieval,uses,semantic search engine,heuristic,7
451,spatial databases,conjunction,ontology alignment,heuristic,1
452,data publishing,uses,resource description framework (rdf),openie,1
453,on-line learning,conjunction,linked data,luanyi,1
454,semantic desktop,uses,linked data,heuristic,1
455,digital libraries,conjunction,resource description framework (rdf),luanyi,1
456,question answering systems,conjunction,semantic search engines,luanyi,4
457,cloud computing,conjunction,linked data,heuristic,1
458,knowledge acquisition,conjunction,ontology alignment,luanyi,1
459,ontology language,defines,semantic web services,heuristic,18
460,semantic search engines,uses,map-reduce,heuristic,1
461,linked data,conjunction,mobile web,heuristic,1
462,query expansion,uses,ontology alignment,luanyi,1
463,microdata,uses,linked data,heuristic,1
464,mse,uses,web ontology language,heuristic,1
465,ontology alignment,conjunction,text mining,heuristic,1
466,linked data,uses,mobile devices,luanyi,2
467,semantic web services,uses,automatic composition,luanyi,1
468,linked data,provides,semantic interoperability,heuristic,6
469,semantic description,uses,ontology language,heuristic,4
470,semantic web services,uses,service-oriented computing,luanyi,3
471,semantic search engines,conjunction,education,luanyi,1
472,electronic commerce,conjunction,semantic web services,heuristic,1
473,software agents,publishes,web ontology language,heuristic,11
474,learning,uses,semantic search engine,heuristic,1
475,recommender systems,uses,linked data,luanyi,1
476,semantic web services,conjunction,knowledge representation,luanyi,1
477,semantic web services,uses,information theory,heuristic,1
478,resource description framework (rdf),includes,semantic data,luanyi,1
479,information extraction,uses,linked data,luanyi,1
480,semantic search engines,conjunction,document classification,heuristic,1
481,knowledge bases,uses,semantic search engine,heuristic,3
482,resource description framework (rdf),supports,software agents,heuristic,2
483,cloud computing,conjunction,linked data,luanyi,1
484,semantic search engines,conjunction,personalizations,luanyi,2
485,domain-specific ontologies,conjunction,semantic web services,luanyi,3
486,enterprise architecture,uses,semantic web services,heuristic,1
487,semantic web services,uses,service management,heuristic,5
488,semantic description,uses,knowledge bases,luanyi,1
489,search engines,includes,semantic search engines,luanyi,4
490,cellular,uses,web ontology language,heuristic,3
491,semantic search engines,conjunction,linked data,luanyi,1
492,ontology construction,conjunction,ontology alignment,heuristic,1
493,linked data,provides,semantic interoperability,openie,2
494,semantic search engines,conjunction,database systems,luanyi,1
495,resource description framework (rdf),conjunction,xml schemas,heuristic,1
496,natural language processing systems,conjunction,semantic web services,luanyi,1
497,semantic search engines,uses,mobile phones,luanyi,2
498,education,conjunction,resource description framework (rdf),luanyi,1
499,ontology alignment,conjunction,automatic classification,luanyi,1
500,ontology construction,conjunction,ontology alignment,luanyi,2
501,data publishing,uses,linked data,heuristic,4
502,cloud storages,conjunction,semantic search engines,luanyi,1
503,semantic web services,uses,web 2.0,luanyi,1
504,ontology alignment,uses,machine learning techniques,luanyi,1
505,service compositions,conjunction,ontology alignment,luanyi,3
506,semantic description,uses,parallel programming,heuristic,2
507,clustering algorithms,conjunction,semantic search engines,luanyi,1
508,data mining,provides,semantic web services,heuristic,10
509,ontology alignment,supports,web applications,heuristic,9
510,ontology building,conjunction,ontology alignment,heuristic,2
511,knowledge representation,provides,semantic descriptions,heuristic,1
512,semantic web services,uses,distributed systems,luanyi,1
513,re-engineering,uses,linked data,heuristic,4
514,linked data,conjunction,digital preservation,luanyi,1
515,resource description framework (rdf),represents,user profiles,heuristic,2
516,natural language understanding,conjunction,semantic search engines,luanyi,2
517,semantic web services,uses,service compositions,luanyi,2
518,mobile services,uses,linked data,luanyi,1
519,knowledge acquisition,conjunction,ontology alignment,heuristic,2
520,service compositions,proposes,semantic web services,heuristic,9
521,data exchange,uses,resource description framework (rdf),luanyi,1
522,semantic search engines,conjunction,audio,luanyi,2
523,semantic wikis,conjunction,semantic search engines,luanyi,3
524,programming languages,uses,semantic description,heuristic,1
525,linked data,uses,semantic web technologies,luanyi,4
526,extensible markup language,conjunction,resource description framework (rdf),luanyi,13
527,collaborative designs,uses,web ontology language,luanyi,1
528,semantic description,uses,component-based software engineering,heuristic,11
529,question answering systems,uses,linked data,luanyi,3
530,reasoning algorithms,uses,web ontology language,luanyi,1
531,semantic search engines,conjunction,wiki,luanyi,1
532,resource description framework (rdf),provides,internet,heuristic,15
533,vocabulary,converts,web ontology language,heuristic,7
534,software maintenance,uses,ontology alignment,luanyi,1
535,web ontology language,is,semantic web technologies,luanyi,6
536,service ontology,proposes,semantic web services,heuristic,13
537,data mining,conjunction,ontology alignment,luanyi,1
538,web ontology language,represents,internet,heuristic,18
539,resource description framework (rdf),represents,web contents,openie,1
540,ontology alignment,conjunction,web service composition,luanyi,1
541,linked data,conjunction,text mining,heuristic,2
542,ontology alignment,uses,rough sets theory,luanyi,1
543,ontology alignment,conjunction,ontology evolution,luanyi,3
544,ontologies,conjunction,resource description framework (rdf),luanyi,9
545,ontology modeling,uses,web ontology language,luanyi,1
546,semantic web services,conjunction,shape optimization,luanyi,1
547,knowledge-sharing,conjunction,ontology alignment,luanyi,1
548,data integration,conjunction,semantic search engines,luanyi,2
549,context modeling,conjunction,ontology alignment,heuristic,1
550,resource description framework (rdf),conjunction,description logics,luanyi,1
551,database systems,includes,semantic description,luanyi,1
552,semantic search engines,provides,speech recognition,heuristic,10
553,semantic search engines,uses,sparql,luanyi,2
554,ontology alignment,supports,knowledge exchange,openie,1
555,validation,conjunction,semantic search engines,heuristic,1
556,semantic web services,uses,system architectures,luanyi,1
557,semantic description,uses,digital libraries,luanyi,1
558,engineering,conjunction,semantic web services,luanyi,2
