,s,p,o,source,support
403,mutual informations,includes,ontology alignment,openie,1
404,description logics,includes,semantic search engine,openie,1
405,linked data,includes,pattern,openie,1
406,semantic search engines,includes,personalizations,openie,2
407,web ontology language,includes,reasoning algorithms,openie,2
408,xml schemas,includes,resource description framework (rdf),openie,2
409,web ontology language,includes,knowledge-sharing,openie,1
410,linked data,includes,hierarchical models,openie,1
411,semantic web services,uses,ontology-based,openie,1
412,semantic web services,combines,semantic web technologies,openie,1
413,semantic search engines,includes,machine learning techniques,openie,1
414,linked open data,includes,linked data,openie,1
415,linked data,is,component-based software engineering,openie,1
416,semantic search engines,includes,user query,openie,1
417,programming languages,includes,resource description framework (rdf),openie,1
418,web ontology language,includes,grid services,openie,1
419,semantic web technologies,includes,semantic description,openie,1
420,clustering algorithms,includes,linked data,openie,1
421,semantic data,includes,linked data,openie,1
422,web ontology language,uses,pattern,openie,1
423,question answering systems,includes,ontology alignment,openie,2
424,user query,includes,semantic web services,openie,1
425,semantic search engines,includes,ontology evolution,openie,1
426,linked data,includes,ontology alignment,openie,1
427,ontology evolution,includes,ontology alignment,openie,1
428,vector space models,includes,semantic search engines,openie,1
429,ontology-based,includes,ontology alignment,openie,3
430,resource description framework (rdf),is,standard model,openie,1
431,ontology evolution,includes,semantic descriptions,openie,2
432,web ontology language,includes,resource description framework (rdf),openie,37
433,testing and debugging,includes,web ontology language,openie,1
434,recommendation,includes,semantic web services,openie,1
435,resource description framework (rdf),includes,version management,openie,1
436,linked data,includes,controlled vocabulary,openie,7
437,semantic description,includes,mass customization,openie,1
438,semantic search engines,requires,verification,openie,1
439,semantic web services,includes,information sharing,openie,1
440,semantic web technologies,includes,resource description framework (rdf),openie,1
441,parallelism,includes,semantic search engines,openie,1
442,data publishing,uses,resource description framework (rdf),openie,1
443,semantic web services,includes,web service description,openie,8
444,ontology alignment,includes,ontology-based,openie,9
445,sparql,includes,web ontology language,openie,7
446,cloud computing,includes,resource description framework (rdf),openie,1
447,knowledge acquisition,includes,ontology alignment,openie,1
448,distributed ledgers,includes,linked data,openie,1
449,web ontology language,produces,domain-specific ontologies,openie,1
450,linked data,includes,text mining,openie,1
451,ontology learning,includes,ontology alignment,openie,2
452,ontology alignment,includes,ontology construction,openie,1
453,domain-specific ontologies,includes,ontology alignment,openie,2
454,semantic search engines,includes,data integration,openie,1
455,semantic search engines,includes,knowledge construction,openie,1
456,web ontology language,includes,ontology technology,openie,1
457,web ontology language,includes,semantic interoperability,openie,1
458,web contents,includes,web ontology language,openie,1
459,ontology alignment,includes,ontology evaluation,openie,1
460,semantic web services,includes,social networks,openie,6
461,ontology alignment,includes,inference,openie,1
462,resource description framework (rdf),includes,process modelling,openie,1
463,semantic search engines,includes,multimedia contents,openie,2
464,resource description framework (rdf),includes,semantic web technologies,openie,8
465,semantic search engine,includes,natural languages,openie,1
466,semantic search engines,uses,recommendation,openie,1
467,semantic web services,includes,information technology,openie,1
468,ontology alignment,includes,knowledge exchange,openie,1
469,linked data,includes,semantic search engines,openie,2
470,linked open data,includes,ontology alignment,openie,1
471,semantic web services,includes,communication,openie,3
472,verification,includes,semantic descriptions,openie,1
473,hierarchical structures,includes,semantic search engines,openie,1
474,ontology alignment,includes,concept lattices,openie,1
475,semantic descriptions,includes,ontology-based,openie,2
476,formal specifications,includes,web ontology language,openie,3
477,semantic web services,includes,supply chain coordination,openie,2
478,linked data,includes,software engineering,openie,1
479,ontology alignment,includes,machine learning techniques,openie,1
480,ontology alignment,includes,semantic heterogeneity,openie,4
481,resource description framework (rdf),includes,web applications,openie,2
482,internet,includes,semantic web services,openie,1
483,ontology alignment,includes,user query,openie,1
484,semantic relationships,includes,semantic descriptions,openie,2
485,resource description framework (rdf),includes,extensible markup language,openie,3
486,ontology alignment,includes,web service composition,openie,1
487,linked data,includes,semantic metadata,openie,1
488,software architectures,includes,semantic search engines,openie,1
489,linked data,includes,digital preservation,openie,1
490,resource description framework (rdf),includes,data mining,openie,1
491,semantic search engine,includes,information retrieval,openie,3
492,semantic search engines,analyzes,information needs,openie,1
493,web ontology language,includes,semantic similarity measures,openie,1
494,semantic web technologies,includes,web ontology language,openie,5
495,ontology alignment,includes,model transformations,openie,1
496,description logics,includes,semantic description,openie,1
497,ontology alignment,includes,semantic web technologies,openie,2
498,semantic web technologies,uses,linked data,openie,1
499,semantic distance,includes,semantic web services,openie,2
500,semantic search engines,includes,web-searching,openie,1
501,ontology alignment,includes,learning,openie,2
502,web ontology language,includes,resource description framework (rdf),openie,7
503,resource description framework (rdf),represents,web information,openie,1
504,word sense disambiguation,includes,semantic search engines,openie,2
505,semantic search engines,includes,ontology alignment,openie,1
506,python,includes,linked data,openie,1
507,ontology alignment,includes,semantic search engines,openie,1
508,semantic web services,includes,intelligent agents,openie,2
509,ontology alignment,includes,concept similarity,openie,1
510,linked data,includes,semantic search engine,openie,1
511,ontology alignment,includes,ontology integration,openie,1
512,resource description framework (rdf),includes,web ontology language,openie,264
513,ontology alignment,includes,semantic interoperability,openie,2
514,semantic search engines,produces,ontology-based,openie,1
515,information retrieval technology,includes,semantic search engine,openie,1
516,semantic heterogeneity,includes,ontology alignment,openie,1
517,natural language interfaces,includes,ontology alignment,openie,1
518,linked data,includes,semantic relationships,openie,2
519,knowledge-sharing,includes,ontology alignment,openie,1
520,ontology alignment,includes,artificial intelligence,openie,1
521,resource description framework (rdf),includes,named entity recognition,openie,1
522,shortest paths,includes,semantic web services,openie,1
523,ontology building,includes,semantic search engines,openie,2
524,information fusion,includes,semantic search engines,openie,1
525,resource description framework (rdf),includes,information retrieval,openie,1
526,linked data,includes,database systems,openie,4
527,web ontology language,includes,semantic web rule languages,openie,50
528,semantic descriptions,includes,verification,openie,2
529,wordnet,includes,ontology alignment,openie,1
530,user query,includes,semantic search engines,openie,1
531,formal models,includes,semantic search engines,openie,1
532,inference,includes,semantic search engines,openie,1
533,linked data,includes,data visualization,openie,1
534,ontology evaluation,includes,ontology alignment,openie,1
535,graphical models,includes,semantic descriptions,openie,2
536,system architectures,includes,semantic web services,openie,1
537,digital libraries,includes,resource description framework (rdf),openie,1
538,linked data,includes,information needs,openie,1
539,linked data,supports,dialogue,openie,1
540,web ontology language,includes,security policies,openie,1
541,web crawlers,includes,semantic search engine,openie,1
542,web ontology language,includes,knowledge acquisition,openie,1
543,web ontology language,includes,semantic descriptions,openie,1
544,semantic web rule languages,includes,web ontology language,openie,5
545,linked data,includes,web 2.0,openie,1
546,wordnet,includes,web ontology language,openie,1
547,linked data,includes,answering queries,openie,1
548,semantic search engine,includes,recommendation systems,openie,1
549,semantic search engine,includes,semantic search engines,openie,2
550,semantic web services,includes,semantic web technologies,openie,2
551,semantic web services,includes,information systems,openie,1
552,semantic web services,includes,enterprise information systems,openie,1
553,semantic search engines,includes,ontology design,openie,1
554,dbpedia,includes,semantic search engine,openie,2
555,linked data,includes,web browsing,openie,1
556,ontology alignment,reuses,ontology-based,openie,2
557,voicexml,includes,web ontology language,openie,4
558,extensible markup language,includes,resource description framework (rdf),openie,15
559,linked data,includes,question answering systems,openie,2
560,question answering systems,uses,linked data,openie,1
561,resource description framework (rdf),includes,data exchange,openie,5
562,ontology alignment,includes,engineering,openie,2
563,image annotation,includes,semantic web services,openie,1
564,context models,includes,linked data,openie,1
565,artificial intelligence,includes,semantic search engine,openie,1
566,semantic descriptions,includes,semantic relationships,openie,1
567,web ontology language,includes,description logics,openie,4
568,text classification,includes,semantic search engines,openie,1
569,semantic description,includes,semantic relationships,openie,1
570,linked data,includes,visualization,openie,1
571,semantic description,uses,ontology-based,openie,1
572,natural language processing systems,includes,web ontology language,openie,2
573,service compositions,includes,semantic web services,openie,2
574,linked data,includes,user interfaces,openie,1
575,semantic web services,includes,knowledge representation,openie,1
576,ontology alignment,includes,computer science,openie,1
577,web ontology language,includes,ontology modeling,openie,1
578,semantic web services,includes,ontology technology,openie,1
579,authentication mechanisms,includes,semantic search engines,openie,1
580,resource description framework (rdf),includes,microdata,openie,1
581,logic programming,includes,web ontology language,openie,1
582,linked data,includes,keyword search,openie,2
583,information fusion,includes,ontology alignment,openie,1
584,semantic web services,includes,ontology alignment,openie,2
585,semantic search engines,includes,knowledge-sharing,openie,1
586,artificial intelligence,includes,semantic web services,openie,1
587,web ontology language,includes,knowledge engineering,openie,2
588,wordnet,includes,semantic search engines,openie,1
589,semantic search engines,includes,smart phones,openie,1
590,web ontology language,includes,star schema,openie,1
591,probabilistic models,includes,resource description framework (rdf),openie,1
592,ontology alignment,includes,information systems,openie,1
593,service compositions,includes,ontology alignment,openie,3
594,semantic search engines,includes,data mining,openie,2
595,description logics,includes,semantic web services,openie,6
596,ontology alignment,includes,knowledge acquisition,openie,2
597,linked data,includes,query processing,openie,2
598,linked open data,includes,semantic search engines,openie,3
599,description logics,includes,web ontology language,openie,10
600,ontology alignment,includes,semantic descriptions,openie,2
601,web ontology language,includes,software design patterns,openie,1
602,semantic description,includes,web services discovery,openie,1
603,web ontology language,includes,knowledge management,openie,2
604,resource description framework (rdf),includes,inference,openie,2
605,data integration,includes,ontology alignment,openie,3
606,ontology learning,includes,semantic descriptions,openie,1
607,resource description framework (rdf),includes,policy specification,openie,1
608,user interfaces,includes,semantic search engine,openie,1
609,ontology alignment,includes,ontology alignment,openie,28
610,semantic interoperability,includes,semantic web services,openie,3
611,ontology development,includes,ontology alignment,openie,2
612,semantic web services,includes,ontology-based,openie,4
613,knowledge representation,includes,semantic web services,openie,1
614,ontology-based,uses,web ontology language,openie,7
615,ontology language,includes,web ontology language,openie,1
616,web 2.0,includes,linked data,openie,5
617,semantic web technologies,includes,ontology alignment,openie,2
618,ontology alignment,includes,change detection,openie,1
619,resource description framework (rdf),includes,knowledge acquisition,openie,1
