;s;p;o;annotation (y or n)
186;image search;uses;semantic description;
187;index structure;provides;resource description framework (rdf);
188;index structure;proposes;semantic search engines;
189;inference;uses;resource description framework (rdf);
190;inference;skos:broader/is/hyponym-of;semantic search engine;
191;inference;based-on;web ontology language;
192;inference;uses;web ontology language;
193;information acquisitions;uses;semantic search engines;
194;information communications technology (ict);uses;semantic web services;
195;information extraction;links;linked data;
196;information extraction;uses;linked data;
197;information extraction;skos:broader/is/hyponym-of;ontology alignment;
198;information extraction;includes;resource description framework (rdf);
199;information filtering;uses;semantic description;
200;information fusion;uses;linked data;
201;information integration;uses;linked data;
202;information integration;uses;ontology alignment;
203;information needs;uses;linked data;
204;information retrieval;uses;linked data;
205;information retrieval;maintains;ontology alignment;
206;information retrieval;uses;ontology alignment;
207;information retrieval;represents;resource description framework (rdf);
208;information retrieval;uses;resource description framework (rdf);
209;information retrieval;uses;semantic description;
210;information retrieval;uses;semantic search engine;
211;information retrieval;uses;semantic search engines;
212;information retrieval;skos:broader/is/hyponym-of;semantic web services;
213;information sharing;skos:broader/is/hyponym-of;resource description framework (rdf);
214;information systems;uses;linked data;
215;information systems;matches;ontology alignment;
216;information systems;produces;semantic web services;
217;intelligent agents;uses;semantic web services;
218;intelligent tutoring systems;uses;web ontology language;
219;internet;represents;resource description framework (rdf);
220;internet;uses;semantic description;
221;internet;converts-to;semantic search engines;
222;investments;uses;linked data;
223;java;includes;resource description framework (rdf);
224;java;supports;semantic web services;
225;java;converts-to;web ontology language;
226;keyword search;uses;linked data;
227;knowledge bases;uses;linked data;
228;knowledge bases;defines;resource description framework (rdf);
229;knowledge bases;acquires;semantic description;
230;knowledge bases;uses;semantic search engine;
231;knowledge bases;based-on;web ontology language;
232;knowledge bases;uses;web ontology language;
233;knowledge discovery;links;linked data;
234;knowledge discovery;uses;linked data;
235;knowledge discovery;uses;resource description framework (rdf);
236;knowledge discovery;supports;semantic search engines;
237;knowledge engineering;uses;linked data;
238;knowledge exchange;uses;ontology alignment;
239;knowledge exchange;uses;resource description framework (rdf);
240;knowledge management;uses;semantic search engines;
242;knowledge management;provides;semantic web services;
241;knowledge management;skos:broader/is/hyponym-of;semantic web services;
243;knowledge management;based-on;web ontology language;
244;knowledge management;uses;web ontology language;
245;knowledge management systems;uses;linked data;
246;knowledge management systems;uses;resource description framework (rdf);
247;knowledge management systems;uses;semantic search engines;
248;knowledge management systems;uses;web ontology language;
249;knowledge representation;extends;resource description framework (rdf);
250;knowledge representation;uses;resource description framework (rdf);
251;knowledge representation;based-on;web ontology language;
252;knowledge representation;uses;web ontology language;
253;knowledge representation and reasoning;uses;resource description framework (rdf);
254;knowledge-sharing;uses;ontology alignment;
255;lan;provides;resource description framework (rdf);
256;language acquisition;uses;linked data;
257;learning objects;uses;ontology alignment;
258;learning objects;uses;semantic search engines;
259;learning objects;learns;semantic web services;
260;learning organizations;includes;semantic search engine;
261;legacy systems;acquires;resource description framework (rdf);
262;libraries;links;linked data;
263;libraries;uses;linked data;
264;libraries;uses;resource description framework (rdf);
265;linked data;supports;access control;
266;linked data;includes;augmented reality;
267;linked data;improves;automatic classification;
268;linked data;provides;background knowledge;
269;linked data;improves;bibliographic data;
270;linked data;supports;big data;
271;linked data;produces;communication;
272;linked data;skos:broader/is/hyponym-of;component-based software engineering;
273;linked data;uses;concept lattices;
274;linked data;links;cycle;
275;linked data;proposes;data exchange;
276;linked data;provides;data integration;
277;linked data;provides;data mining;
278;linked data;combines;data warehouses;
279;linked data;provides;database systems;
280;linked data;produces;dbpedia;
281;linked data;supports;dialogue;
282;linked data;includes;digital libraries;
283;linked data;publishes;domain-specific ontologies;
284;linked data;links;e-business models;
285;linked data;uses;emotion recognition;
286;linked data;uses;engine;
287;linked data;uses;extensible markup language (xml);
288;linked data;publishes;geospatial data;
289;linked data;executes;graph theory;
290;linked data;publishes;hypertext;
291;linked data;uses;hypertext transfer protocol (http);
292;linked data;produces;information dissemination;
293;linked data;requires;information fusion;
294;linked data;supports;information needs;
295;linked data;improves;information retrieval;
296;linked data;supports;information systems;
297;linked data;produces;internet;
298;linked data;produces;java;
299;linked data;provides;knowledge bases;
300;linked data;provides;knowledge discovery;
301;linked data;produces;knowledge engineering;
302;linked data;extends;knowledge representation;
303;linked data;proposes;knowledge-sharing;
304;linked data;produces;learning;
305;linked data;provides;libraries;
306;linked data;provides;linked open data;
307;linked data;based-on;machine learning techniques;
308;linked data;uses;mobile devices;
309;linked data;uses;natural languages;
310;linked data;provides;ontologies;
311;linked data;supports;ontologies;
312;linked data;improves;ontology development;
313;linked data;supports;parsing algorithm;
314;linked data;supports;privacy;
315;linked data;provides;python;
316;linked data;uses;query execution;
317;linked data;produces;query rewritings;
318;linked data;proposes;question answering systems;
319;linked data;uses;question answering systems;
320;linked data;uses;rdf data;
321;linked data;uses;recommender systems;
322;linked data;converts-to;relational data;
323;linked data;uses;relational database systems;
324;linked data;uses;resource description framework (rdf);
325;linked data;uses;rule engine;
326;linked data;provides;semantic data;
327;linked data;produces;semantic description;
328;linked data;executes;semantic distance;
329;linked data;provides;semantic interoperability;
331;linked data;produces;semantic relationships;
330;linked data;skos:broader/is/hyponym-of;semantic relationships;
332;linked data;improves;semantic search engine;
333;linked data;improves;semantic similarity measures;
335;linked data;provides;semantic web technologies;
334;linked data;skos:broader/is/hyponym-of;semantic web technologies;
336;linked data;uses;semantic web technologies;
337;linked data;includes;sensor networks;
338;linked data;includes;social sciences;
339;linked data;uses;software design patterns;
340;linked data;provides;sparql;
341;linked data;supports;sparql;
342;linked data;uses;sparql;
343;linked data;produces;spatial data;
344;linked data;links;stream data;
345;linked data;includes;streaming data;
346;linked data;improves;user experience;
347;linked data;skos:broader/is/hyponym-of;user interfaces;
348;linked data;uses;user profiles;
349;linked data;supports;visualization;
350;linked data;uses;vocabulary;
351;linked data;improves;web contents;
352;linked data;produces;web of data;
353;linked data;supports;web ontology language;
355;linked data;produces;world wide web;
354;linked data;skos:broader/is/hyponym-of;world wide web;
356;linked open data;links;linked data;
357;linked open data;publishes;resource description framework (rdf);
358;linked open data;supports;semantic search engines;
359;logic programming;uses;linked data;
360;logic programming;skos:broader/is/hyponym-of;web ontology language;
361;logistics;uses;semantic search engine;
362;logistics;uses;semantic web services;
363;machine learning techniques;improves;ontology alignment;
364;machine learning techniques;requires;ontology alignment;
365;machining;uses;web ontology language;
366;manets;includes;semantic description;
367;map-reduce;requires;resource description framework (rdf);
368;mashup;publishes;linked data;
369;mashup;selects;semantic web services;
370;mass customization;uses;semantic description;
371;matching algorithm;based-on;semantic web services;
372;microdata;uses;linked data;
373;mobile applications;uses;linked data;
374;mobile applications;uses;semantic description;
375;mobile devices;proposes;web ontology language;
376;mobile services;uses;linked data;
377;model transformations;uses;ontology alignment;
378;model transformations;converts-to;web ontology language;
379;modeling languages;uses;web ontology language;
380;mse;uses;web ontology language;
381;multimedia contents;uses;web ontology language;
382;music recommendation;links;linked data;
383;named entity recognition;uses;linked data;
384;named entity recognition;skos:broader/is/hyponym-of;resource description framework (rdf);
385;natural language interfaces;uses;ontology alignment;
386;natural language processing systems;publishes;linked data;
387;natural language processing systems;uses;semantic description;
388;natural language processing systems;uses;semantic search engines;
389;natural language processing systems;uses;web ontology language;
390;natural languages;converts-to;web ontology language;
391;network management;produces;resource description framework (rdf);
392;network management;uses;semantic web services;
393;on-line learning;produces;linked data;
394;ontologies;provides;linked data;
395;ontologies;supports;linked data;
396;ontologies;proposes;ontology alignment;
397;ontologies;uses;ontology alignment;
398;ontologies;represents;resource description framework (rdf);
399;ontologies;uses;resource description framework (rdf);
400;ontologies;produces;semantic description;
401;ontologies;provides;semantic description;
402;ontologies;uses;semantic search engine;
403;ontologies;executes;semantic search engines;
404;ontologies;provides;semantic search engines;
405;ontologies;uses;semantic web services;
406;ontologies;uses;web ontology language;
407;ontology alignment;supports;access control;
408;ontology alignment;uses;answering queries;
409;ontology alignment;uses;argumentation;
410;ontology alignment;uses;automated reasoning;
411;ontology alignment;based-on;background knowledge;
412;ontology alignment;uses;background knowledge;
413;ontology alignment;uses;bayesian networks;
414;ontology alignment;executes;belief propagation;
415;ontology alignment;uses;clone detection;
416;ontology alignment;proposes;clustering algorithms;
418;ontology alignment;produces;communication;
417;ontology alignment;skos:broader/is/hyponym-of;communication;
419;ontology alignment;supports;communication;
420;ontology alignment;uses;communication;
421;ontology alignment;skos:broader/is/hyponym-of;computer science;
422;ontology alignment;executes;concept similarity;
423;ontology alignment;uses;controlled natural language;
425;ontology alignment;provides;data integration;
424;ontology alignment;skos:broader/is/hyponym-of;data integration;
426;ontology alignment;provides;data mining;
427;ontology alignment;uses;decision tables;
428;ontology alignment;uses;description logics;
429;ontology alignment;proposes;design knowledge;
430;ontology alignment;uses;distributed environments;
431;ontology alignment;requires;domain knowledge;
432;ontology alignment;uses;domain knowledge;
433;ontology alignment;produces;domain-specific ontologies;
434;ontology alignment;selects;domain-specific ontologies;
435;ontology alignment;uses;domain-specific ontologies;
436;ontology alignment;produces;education;
437;ontology alignment;uses;electronic commerce;
438;ontology alignment;produces;engineering;
439;ontology alignment;uses;engineering;
440;ontology alignment;proposes;extensible markup language (xml);
441;ontology alignment;represents;faculty;
442;ontology alignment;uses;formal concept analysis (fca);
443;ontology alignment;uses;fuzzy logics;
444;ontology alignment;uses;fuzzy sets theory;
445;ontology alignment;proposes;graph theory;
446;ontology alignment;uses;grid environments;
447;ontology alignment;uses;hownet;
448;ontology alignment;uses;image retrieval;
449;ontology alignment;improves;inference;
451;ontology alignment;represents;information integration;
450;ontology alignment;skos:broader/is/hyponym-of;information integration;
452;ontology alignment;converts-to;information retrieval;
453;ontology alignment;skos:broader/is/hyponym-of;information sharing;
454;ontology alignment;skos:broader/is/hyponym-of;information systems;
455;ontology alignment;uses;interactive visualizations;
456;ontology alignment;uses;knowledge bases;
457;ontology alignment;provides;knowledge exchange;
458;ontology alignment;supports;knowledge exchange;
459;ontology alignment;skos:broader/is/hyponym-of;knowledge management;
460;ontology alignment;supports;knowledge-sharing;
461;ontology alignment;uses;linked data;
462;ontology alignment;publishes;linked open data;
463;ontology alignment;supports;linked open data;
464;ontology alignment;uses;machine learning techniques;
465;ontology alignment;defines;matching algorithm;
466;ontology alignment;skos:broader/is/hyponym-of;modeling languages;
467;ontology alignment;uses;mutual informations;
468;ontology alignment;based-on;natural language processing systems;
470;ontology alignment;reuses;ontologies;
469;ontology alignment;skos:broader/is/hyponym-of;ontologies;
471;ontology alignment;uses;ontologies;
472;ontology alignment;provides;ontology building;
473;ontology alignment;skos:broader/is/hyponym-of;ontology construction;
474;ontology alignment;uses;ontology construction;
475;ontology alignment;combines;ontology evolution;
476;ontology alignment;uses;ontology integration;
477;ontology alignment;skos:broader/is/hyponym-of;ontology merging;
478;ontology alignment;uses;ontology technology;
479;ontology alignment;uses;particle swarm optimization algorithms;
480;ontology alignment;includes;pervasive computing environments;
481;ontology alignment;uses;posterior probability;
482;ontology alignment;proposes;product design;
483;ontology alignment;executes;reasoning algorithms;
484;ontology alignment;matches;reasoning algorithms;
485;ontology alignment;provides;reasoning algorithms;
486;ontology alignment;uses;relational database systems;
487;ontology alignment;uses;rough sets theory;
488;ontology alignment;provides;semantic data;
489;ontology alignment;skos:broader/is/hyponym-of;semantic description;
490;ontology alignment;limits;semantic heterogeneity;
491;ontology alignment;provides;semantic interoperability;
492;ontology alignment;supports;semantic interoperability;
493;ontology alignment;uses;semantic interoperability;
494;ontology alignment;includes;semantic relationships;
495;ontology alignment;uses;semantic relationships;
496;ontology alignment;executes;semantic similarity measures;
497;ontology alignment;proposes;semantic web services;
498;ontology alignment;skos:broader/is/hyponym-of;semantic web technologies;
499;ontology alignment;uses;semantic web technologies;
500;ontology alignment;represents;sensor data;
501;ontology alignment;skos:broader/is/hyponym-of;text categorization;
502;ontology alignment;uses;vector space models;
504;ontology alignment;provides;web of data;
503;ontology alignment;skos:broader/is/hyponym-of;web of data;
505;ontology alignment;provides;web ontology language;
506;ontology alignment;converts-to;web service composition;
507;ontology alignment;improves;web services discovery;
508;ontology alignment;uses;wordnet;
509;ontology building;proposes;web ontology language;
510;ontology construction;uses;linked data;
511;ontology construction;acquires;ontology alignment;
512;ontology construction;supports;resource description framework (rdf);
513;ontology construction;uses;resource description framework (rdf);
514;ontology construction;uses;semantic description;
515;ontology construction;supports;web ontology language;
516;ontology construction;uses;web ontology language;
517;ontology design;uses;web ontology language;
518;ontology development;supports;resource description framework (rdf);
519;ontology development;uses;web ontology language;
520;ontology evolution;skos:broader/is/hyponym-of;semantic description;
521;ontology integration;includes;ontology alignment;
522;ontology integration;provides;semantic web services;
523;ontology language;uses;resource description framework (rdf);
524;ontology language;defines;semantic web services;
525;ontology language;proposes;web ontology language;
526;ontology language;provides;web ontology language;
527;ontology learning;uses;resource description framework (rdf);
528;ontology learning;skos:broader/is/hyponym-of;semantic description;
529;ontology merging;produces;ontology alignment;
530;ontology modeling;matches;web ontology language;
531;ontology modeling;uses;web ontology language;
532;open source software;uses;linked data;
533;optimization;learns;ontology alignment;
534;organizational memory;uses;resource description framework (rdf);
535;parsing algorithm;uses;linked data;
536;pattern;produces;linked data;
537;pattern;supports;semantic description;
538;pervasive;combines;semantic web services;
539;pervasive computing;uses;web ontology language;
540;petri nets;uses;semantic web services;
541;policy specification;uses;resource description framework (rdf);
542;privacy;uses;web ontology language;
543;product configuration;uses;web ontology language;
544;product family design;uses;web ontology language;
545;programming languages;uses;semantic description;
546;propositional logic;uses;web ontology language;
547;query execution;executes;linked data;
548;query expansion;uses;ontology alignment;
549;query processing;links;linked data;
550;query processing;uses;ontology alignment;
551;question answering systems;links;linked data;
552;question answering systems;uses;linked data;
553;question answering systems;uses;ontology alignment;
554;question answering systems;uses;semantic search engine;
555;question answering systems;acquires;semantic search engines;
556;question answering systems;links;semantic search engines;
557;radio frequency identification technology;combines;semantic web services;
558;rdf data;interacts-with;linked data;
559;rdf data;uses;resource description framework (rdf);
560;rdf data;converts-to;semantic search engine;
561;rdf data;uses;semantic search engine;
562;rdf data;converts-to;semantic search engines;
563;rdf data;provides;web ontology language;
564;rdf graph;maintains;linked data;
565;rdf graph;includes;resource description framework (rdf);
566;re-engineering;uses;linked data;
567;reasoning algorithms;executes;ontology alignment;
568;reasoning algorithms;represents;ontology alignment;
569;reasoning algorithms;supports;ontology alignment;
570;reasoning algorithms;produces;semantic description;
571;reasoning algorithms;skos:broader/is/hyponym-of;web ontology language;
572;reasoning algorithms;uses;web ontology language;
573;recommendation;skos:broader/is/hyponym-of;linked data;
574;recommendation;uses;linked data;
575;recommendation;defines;resource description framework (rdf);
576;recommendation;uses;web ontology language;
577;recommender systems;uses;linked data;
578;recommender systems;includes;semantic web services;
579;relation extraction;uses;semantic search engine;
580;relational database systems;uses;ontology alignment;
581;relational database systems;uses;resource description framework (rdf);
582;relational database systems;produces;semantic description;
583;relevance feedback;acquires;linked data;
584;resource description framework (rdf);uses;abstract syntax;
585;resource description framework (rdf);supports;access control;
586;resource description framework (rdf);uses;access control;
587;resource description framework (rdf);uses;bdd;
588;resource description framework (rdf);affects;bibliographic data;
589;resource description framework (rdf);uses;cloud computing;
590;resource description framework (rdf);improves;collaborative work;
591;resource description framework (rdf);produces;compilers;
592;resource description framework (rdf);includes;component-based software engineering;
594;resource description framework (rdf);provides;component-based software engineering;
593;resource description framework (rdf);skos:broader/is/hyponym-of;component-based software engineering;
595;resource description framework (rdf);acquires;computer graphics equipment;
596;resource description framework (rdf);uses;computer science;
597;resource description framework (rdf);provides;data integration;
598;resource description framework (rdf);supports;data integration;
599;resource description framework (rdf);produces;database systems;
600;resource description framework (rdf);uses;database systems;
601;resource description framework (rdf);interacts-with;dbpedia;
602;resource description framework (rdf);uses;dbpedia;
603;resource description framework (rdf);uses;description logics;
604;resource description framework (rdf);uses;digital libraries;
605;resource description framework (rdf);represents;domain knowledge;
606;resource description framework (rdf);proposes;education;
607;resource description framework (rdf);supports;engineering;
608;resource description framework (rdf);based-on;extensible markup language;
609;resource description framework (rdf);uses;extensible markup language (xml);
610;resource description framework (rdf);uses;fuzzy cognitive maps;
611;resource description framework (rdf);converts-to;graph matchings;
612;resource description framework (rdf);executes;hash;
613;resource description framework (rdf);provides;hypertext transfer protocol (http);
614;resource description framework (rdf);evaluates;index structure;
615;resource description framework (rdf);produces;inference;
616;resource description framework (rdf);supports;inference;
617;resource description framework (rdf);requires;information fusion;
618;resource description framework (rdf);skos:broader/is/hyponym-of;intelligent agents;
619;resource description framework (rdf);selects;knowledge acquisition;
620;resource description framework (rdf);provides;knowledge bases;
621;resource description framework (rdf);supports;knowledge management;
622;resource description framework (rdf);uses;knowledge management;
623;resource description framework (rdf);guides;knowledge representation;
624;resource description framework (rdf);skos:broader/is/hyponym-of;knowledge representation;
625;resource description framework (rdf);learns;learning;
626;resource description framework (rdf);learns;learning objects;
627;resource description framework (rdf);uses;libraries;
629;resource description framework (rdf);links;linked data;
630;resource description framework (rdf);produces;linked data;
628;resource description framework (rdf);skos:broader/is/hyponym-of;linked data;
631;resource description framework (rdf);skos:broader/is/hyponym-of;linked open data;
632;resource description framework (rdf);uses;linked open data;
633;resource description framework (rdf);acquires;mobile applications;
634;resource description framework (rdf);provides;modeling languages;
635;resource description framework (rdf);selects;natural language processing systems;
636;resource description framework (rdf);defines;ontologies;
637;resource description framework (rdf);skos:broader/is/hyponym-of;ontology language;
638;resource description framework (rdf);provides;ontology modeling;
639;resource description framework (rdf);improves;query execution;
640;resource description framework (rdf);uses;query optimization;
641;resource description framework (rdf);includes;rdf data;
642;resource description framework (rdf);queries;rdf data;
643;resource description framework (rdf);uses;rdf data;
644;resource description framework (rdf);uses;rdf graph;
645;resource description framework (rdf);produces;reasoning algorithms;
646;resource description framework (rdf);provides;reasoning algorithms;
647;resource description framework (rdf);supports;reasoning algorithms;
648;resource description framework (rdf);skos:broader/is/hyponym-of;recommendation;
649;resource description framework (rdf);produces;relational data;
650;resource description framework (rdf);uses;relational data;
651;resource description framework (rdf);converts-to;relational database systems;
652;resource description framework (rdf);matches;relational database systems;
653;resource description framework (rdf);produces;resource discovery;
654;resource description framework (rdf);provides;retrieval performance;
655;resource description framework (rdf);acquires;semantic data;
656;resource description framework (rdf);includes;semantic data;
658;resource description framework (rdf);provides;semantic interoperability;
657;resource description framework (rdf);skos:broader/is/hyponym-of;semantic interoperability;
659;resource description framework (rdf);skos:broader/is/hyponym-of;semantic relationships;
660;resource description framework (rdf);supports;semantic search engines;
661;resource description framework (rdf);converts-to;semantic web technologies;
663;resource description framework (rdf);provides;semantic web technologies;
662;resource description framework (rdf);skos:broader/is/hyponym-of;semantic web technologies;
664;resource description framework (rdf);uses;semantic web technologies;
665;resource description framework (rdf);skos:broader/is/hyponym-of;semantic wikis;
666;resource description framework (rdf);skos:broader/is/hyponym-of;social networks;
667;resource description framework (rdf);includes;social sciences;
668;resource description framework (rdf);represents;sparql;
669;resource description framework (rdf);uses;sparql;
670;resource description framework (rdf);uses;sparql inferencing notation (spin);
671;resource description framework (rdf);skos:broader/is/hyponym-of;standard model;
672;resource description framework (rdf);produces;structured query language (sql);
673;resource description framework (rdf);automates;validation;
675;resource description framework (rdf);provides;vocabulary;
674;resource description framework (rdf);skos:broader/is/hyponym-of;vocabulary;
677;resource description framework (rdf);provides;web applications;
676;resource description framework (rdf);skos:broader/is/hyponym-of;web applications;
678;resource description framework (rdf);includes;web contents;
679;resource description framework (rdf);represents;web contents;
680;resource description framework (rdf);skos:broader/is/hyponym-of;web engineering;
681;resource description framework (rdf);represents;web information;
682;resource description framework (rdf);interacts-with;web of data;
683;resource description framework (rdf);skos:broader/is/hyponym-of;web ontology language;
684;resource description framework (rdf);uses;web ontology language;
685;resource description framework (rdf);supports;wordnet;
686;resource description framework (rdf);includes;xml data;
687;resource discovery;uses;linked data;
688;resource discovery;uses;web ontology language;
689;resource sharing;based-on;web ontology language;
690;robots;uses;semantic description;
691;robots;uses;semantic web services;
692;satisfiability;includes;web ontology language;
693;schema matching;uses;ontology alignment;
694;scientific data;uses;linked data;
695;search engines;based-on;resource description framework (rdf);
696;search engines;selects;resource description framework (rdf);
697;search engines;includes;semantic search engines;
698;search engines;provides;semantic search engines;
699;search engines;uses;semantic web services;
700;search engines;uses;web ontology language;
701;security models;uses;resource description framework (rdf);
702;security policies;based-on;web ontology language;
703;security policies;uses;web ontology language;
704;semantic concept;supports;semantic search engines;
705;semantic data;links;linked data;
706;semantic data;uses;ontology alignment;
707;semantic data;improves;semantic search engines;
708;semantic data;uses;web ontology language;
