;s;p;o;source;support;pipeline;Danilo
922;digital preservation;contributes;linked data;['heuristic'];[5.0];no;y
1012;distributed architectures;base;semantic web services;['heuristic'];[4.0];no;y
1155;distributed hash table;supports;semantic search engines;['heuristic'];[3.0];no;y
567;distributed hash table;includes;semantic web services;['luanyi'];[1];yes;n
337;distributed query processing;uses;linked data;['luanyi'];[1];yes;y
363;document clustering;uses;semantic search engines;['luanyi'];[1];yes;y
728;domain knowledge;uses;resource description framework (rdf);['heuristic'];[1];yes;y
324;domain knowledge;uses;semantic description;['luanyi'];[1];yes;y
1156;domain knowledge;produces;semantic search engines;['heuristic'];[3.0];no;n
573;domain knowledge;uses;semantic search engines;['luanyi'];[1];yes;y
122;domain knowledge;uses;semantic web services;['luanyi'];[1];yes;y
810;domain knowledge;converts;web ontology language;['heuristic'];[7.0];no;n
238;domain knowledge;includes;web ontology language;['luanyi'];[2];yes;y
71;domain knowledge;uses;web ontology language;['luanyi'];[3];yes;n
778;domain-specific ontologies;supports;linked data;['heuristic'];[8.0];no;y
16;domain-specific ontologies;uses;ontology alignment;['luanyi'];[2];yes;y
639;domain-specific ontologies;uses;resource description framework (rdf);['heuristic'];[2];yes;y
1157;domain-specific ontologies;includes;semantic description;['heuristic'];[3.0];no;y
923;domain-specific ontologies;proposes;web ontology language;['heuristic'];[5.0];no;y
274;domain-specific ontologies;uses;web ontology language;['openie', 'luanyi', 'luanyi'];[1, 2, 3];yes;y
198;dublin core;is;resource description framework (rdf);['luanyi'];[1];yes;n
1013;dublin core;selects;resource description framework (rdf);['heuristic'];[4.0];no;n
1158;dublin core;learns;web ontology language;['heuristic'];[3.0];no;n
852;education;links;linked data;['heuristic'];[6.0];no;n
1014;education;uses;resource description framework (rdf);['heuristic'];[4.0];no;y
769;education;uses;web ontology language;['heuristic'];[1];yes;n
607;electronic commerce;requires;ontology alignment;['openie'];[1];yes;y
40;electronic commerce;uses;ontology alignment;['luanyi'];[1];yes;n
727;electronic health record (ehr);uses;semantic search engine;['heuristic'];[1];yes;y
693;electronic health record (ehr);uses;semantic search engines;['heuristic'];[3];yes;y
1159;engine;converts;ontology alignment;['heuristic'];[3.0];no;n
340;engine;provides;semantic search engines;['heuristic'];[56];yes;y
668;engine;produces;web ontology language;['heuristic'];[5];yes;y
853;engineering;supports;resource description framework (rdf);['heuristic'];[6.0];no;y
779;engineering;proposes;semantic description;['heuristic'];[8.0];no;y
924;engineering;automates;semantic web services;['heuristic'];[5.0];no;y
811;engineering;supports;web ontology language;['heuristic'];[7.0];no;y
140;enterprise architecture;uses;resource description framework (rdf);['openie', 'luanyi', 'heuristic'];[1, 1, 1];yes;y
628;enterprise information systems;uses;semantic web services;['heuristic'];[7];yes;y
854;extensible markup language;uses;resource description framework (rdf);['heuristic'];[6.0];no;n
1015;extensible markup language (xml);converts;linked data;['heuristic'];[4.0];no;n
736;extensible markup language (xml);uses;ontology alignment;['heuristic'];[4];yes;n
229;extensible markup language (xml);converts;resource description framework (rdf);['heuristic'];[149];yes;n
247;extensible markup language (xml);uses;resource description framework (rdf);['heuristic'];[25];yes;n
210;extensible markup language (xml);uses;semantic search engine;['luanyi'];[1];yes;n
925;extensible markup language (xml);proposes;semantic search engines;['heuristic'];[5.0];no;n
204;extensible markup language (xml);defines;web ontology language;['heuristic'];[22];yes;n
1160;extensible stylesheet language (xslt);converts;resource description framework (rdf);['heuristic'];[3.0];no;y
1016;extract-transform-load (etl) process;proposes;web ontology language;['heuristic'];[4.0];no;n
113;facebook;is;semantic search engines;['luanyi'];[1];yes;n
707;facial expressions;uses;linked data;['heuristic'];[1];yes;n
669;financial statement ontology (fso);uses;web ontology language;['heuristic'];[1];yes;y
1161;fingerprints;learns;linked data;['heuristic'];[3.0];no;n
697;formal concept analysis (fca);uses;ontology alignment;['heuristic'];[1];yes;y
743;formal models;uses;semantic web services;['heuristic'];[7];yes;y
713;formal specifications;uses;resource description framework (rdf);['heuristic'];[1];yes;y
855;fuzzy description logic;extends;web ontology language;['heuristic'];[6.0];no;y
1162;fuzzy logics;maintains;semantic description;['heuristic'];[3.0];no;y
1163;fuzzy ontology;proposes;resource description framework (rdf);['heuristic'];[3.0];no;n
6;fuzzy ontology;uses;semantic search engine;['luanyi'];[1];yes;n
57;geographic information system;uses;linked data;['luanyi'];[1];yes;y
137;geospatial data;uses;semantic description;['luanyi'];[2];yes;y
1164;graphical models;learns;semantic description;['heuristic'];[3.0];no;y
484;grid computing;is;semantic web services;['luanyi'];[1];yes;y
503;grid services;uses;semantic description;['luanyi'];[1];yes;y
1017;grid services;defines;web ontology language;['heuristic'];[4.0];no;n
107;grid services;uses;web ontology language;['luanyi'];[2];yes;y
716;hadoop;uses;semantic search engines;['heuristic'];[1];yes;y
812;hash;links;linked data;['heuristic'];[7.0];no;n
1165;heterogeneous databases;includes;semantic search engines;['heuristic'];[3.0];no;y
771;hierarchical structures;uses;resource description framework (rdf);['heuristic'];[1];yes;y
780;hypertext markup language (html);produces;resource description framework (rdf);['heuristic'];[8.0];no;n
1166;hypertext markup language (html);provides;semantic search engines;['heuristic'];[3.0];no;n
1167;hypertext markup language (html);is;web ontology language;['heuristic'];[3.0];no;n
738;hypertext transfer protocol (http);uses;linked data;['heuristic'];[19];yes;n
1168;hypertext transfer protocol (http);produces;semantic search engines;['heuristic'];[3.0];no;n
574;hypervisor;is;linked data;['luanyi'];[1];yes;n
477;image retrieval;uses;ontology alignment;['luanyi'];[1];yes;y
856;image retrieval;base;semantic description;['heuristic'];[6.0];no;y
1169;image retrieval;supports;semantic search engines;['heuristic'];[3.0];no;y
647;image search;uses;semantic description;['heuristic'];[1];yes;y
1170;index structure;provides;resource description framework (rdf);['heuristic'];[3.0];no;n
1018;index structure;proposes;semantic search engines;['heuristic'];[4.0];no;n
379;inference;uses;resource description framework (rdf);['luanyi', 'heuristic'];[2, 26];yes;y
371;inference;is;semantic search engine;['luanyi'];[1];yes;n
926;inference;base;web ontology language;['heuristic'];[5.0];no;y
327;inference;uses;web ontology language;['openie', 'heuristic'];[1, 15];yes;y
76;information acquisitions;uses;semantic search engines;['luanyi'];[1];yes;y
670;information communications technology (ict);uses;semantic web services;['heuristic'];[1];yes;y
813;information extraction;links;linked data;['heuristic'];[7.0];no;y
420;information extraction;uses;linked data;['luanyi'];[1];yes;y
1171;information extraction;is;ontology alignment;['heuristic'];[3.0];no;y
1172;information extraction;includes;resource description framework (rdf);['heuristic'];[3.0];no;n
192;information filtering;uses;semantic description;['luanyi'];[1];yes;y
30;information fusion;uses;linked data;['luanyi'];[1];yes;y
711;information integration;uses;linked data;['heuristic'];[3];yes;y
227;information integration;uses;ontology alignment;['luanyi'];[2];yes;y
586;information needs;uses;linked data;['luanyi'];[1];yes;n
604;information retrieval;uses;linked data;['luanyi'];[1];yes;y
1173;information retrieval;maintains;ontology alignment;['heuristic'];[3.0];no;n
156;information retrieval;uses;ontology alignment;['luanyi', 'luanyi'];[7, 1];yes;n
1174;information retrieval;represents;resource description framework (rdf);['heuristic'];[3.0];no;n
551;information retrieval;uses;resource description framework (rdf);['luanyi'];[1];yes;y
692;information retrieval;uses;semantic description;['heuristic'];[1];yes;y
508;information retrieval;uses;semantic search engine;['luanyi', 'heuristic'];[1, 7];yes;y
334;information retrieval;uses;semantic search engines;['luanyi', 'heuristic'];[2, 41];yes;y
594;information retrieval;is;semantic web services;['luanyi'];[2];yes;y
56;information sharing;is;resource description framework (rdf);['luanyi'];[1];yes;n
370;information systems;uses;linked data;['luanyi'];[1];yes;y
857;information systems;matches;ontology alignment;['heuristic'];[6.0];no;n
927;information systems;produces;semantic web services;['heuristic'];[5.0];no;y
553;intelligent agents;uses;semantic web services;['luanyi'];[2];yes;y
410;intelligent tutoring systems;uses;web ontology language;['luanyi', 'heuristic'];[1, 1];yes;y
1175;internet;represents;resource description framework (rdf);['heuristic'];[3.0];no;n
676;internet;uses;semantic description;['heuristic'];[4];yes;y
1176;internet;converts;semantic search engines;['heuristic'];[3.0];no;n
705;investments;uses;linked data;['heuristic'];[1];yes;n
928;java;includes;resource description framework (rdf);['heuristic'];[5.0];no;y
1019;java;supports;semantic web services;['heuristic'];[4.0];no;y
929;java;converts;web ontology language;['heuristic', 'heuristic'];[5.0, 4.0];no;n
92;keyword search;uses;linked data;['luanyi'];[2];yes;n
458;knowledge bases;uses;linked data;['luanyi'];[1];yes;y
1177;knowledge bases;defines;resource description framework (rdf);['heuristic'];[3.0];no;n
1020;knowledge bases;acquires;semantic description;['heuristic'];[4.0];no;y
1178;knowledge bases;uses;semantic search engine;['heuristic'];[3.0];no;y
930;knowledge bases;base;web ontology language;['heuristic'];[5.0];no;y
39;knowledge bases;uses;web ontology language;['openie', 'luanyi', 'heuristic'];[1, 2, 8];yes;y
1021;knowledge discovery;links;linked data;['heuristic'];[4.0];no;y
243;knowledge discovery;uses;linked data;['luanyi'];[3];yes;y
148;knowledge discovery;uses;resource description framework (rdf);['luanyi'];[1];yes;y
1022;knowledge discovery;supports;semantic search engines;['heuristic'];[4.0];no;y
350;knowledge engineering;uses;linked data;['luanyi'];[2];yes;y
185;knowledge exchange;uses;ontology alignment;['luanyi'];[1];yes;y
457;knowledge exchange;uses;resource description framework (rdf);['luanyi'];[1];yes;y
931;knowledge management;uses;semantic search engines;['heuristic'];[5.0];no;y
306;knowledge management;is;semantic web services;['luanyi'];[2];yes;y
1179;knowledge management;provides;semantic web services;['heuristic'];[3.0];no;y
1023;knowledge management;base;web ontology language;['heuristic'];[4.0];no;y
745;knowledge management;uses;web ontology language;['heuristic'];[1];yes;y
150;knowledge management systems;uses;linked data;['luanyi'];[1];yes;y
323;knowledge management systems;uses;resource description framework (rdf);['luanyi'];[1];yes;y
648;knowledge management systems;uses;semantic search engines;['heuristic'];[1];yes;y
626;knowledge management systems;uses;web ontology language;['heuristic'];[1];yes;y
814;knowledge representation;extends;resource description framework (rdf);['heuristic'];[7.0];no;n
177;knowledge representation;uses;resource description framework (rdf);['luanyi', 'luanyi'];[4, 1];yes;y
358;knowledge representation;base;web ontology language;['heuristic'];[20];yes;y
293;knowledge representation;uses;web ontology language;['luanyi', 'openie', 'heuristic', 'luanyi'];[1, 1, 21, 3];yes;y
434;knowledge representation and reasoning;uses;resource description framework (rdf);['luanyi'];[1];yes;y
429;knowledge-sharing;uses;ontology alignment;['luanyi'];[3];yes;y
1180;lan;provides;resource description framework (rdf);['heuristic'];[3.0];no;n
756;language acquisition;uses;linked data;['heuristic'];[1];yes;n
446;learning;produces;linked data;['heuristic'];[23];yes;n
1024;learning;requires;ontology alignment;['heuristic'];[4.0];no;y
643;learning;uses;resource description framework (rdf);['heuristic', 'heuristic'];[6, 9];yes;n
1025;learning;requires;semantic description;['heuristic'];[4.0];no;n
667;learning;uses;semantic search engine;['heuristic'];[1];yes;n
631;learning objects;uses;ontology alignment;['heuristic'];[1];yes;y
355;learning objects;uses;semantic search engines;['luanyi'];[1];yes;y
932;learning objects;learns;semantic web services;['heuristic'];[5.0];no;n
100;learning organizations;includes;semantic search engine;['luanyi'];[1];yes;y
933;legacy systems;acquires;resource description framework (rdf);['heuristic'];[5.0];no;y
55;libraries;links;linked data;['heuristic'];[63];yes;y
144;libraries;uses;linked data;['luanyi'];[1];yes;n
591;libraries;uses;resource description framework (rdf);['openie'];[1];yes;n
1026;linked data;supports;access control;['heuristic'];[4.0];no;y
934;linked data;includes;augmented reality;['heuristic'];[5.0];no;y
1181;linked data;improves;automatic classification;['heuristic'];[3.0];no;y
119;linked data;provides;background knowledge;['openie', 'heuristic'];[1, 5];yes;y
151;linked data;improves;bibliographic data;['openie'];[3];yes;y
935;linked data;supports;big data;['heuristic'];[5.0];no;n
1027;linked data;produces;communication;['heuristic'];[4.0];no;n
94;linked data;is;component-based software engineering;['openie'];[1];yes;y
517;linked data;uses;concept lattices;['luanyi'];[1];yes;n
1028;linked data;links;cycle;['heuristic'];[4.0];no;n
858;linked data;proposes;data exchange;['heuristic'];[6.0];no;n
459;linked data;provides;data integration;['openie', 'heuristic'];[1, 23];yes;y
859;linked data;provides;data mining;['heuristic'];[6.0];no;n
1182;linked data;combines;data warehouses;['heuristic'];[3.0];no;n
815;linked data;provides;database systems;['heuristic'];[7.0];no;n
22;linked data;produces;dbpedia;['heuristic'];[37];yes;y
35;linked data;supports;dialogue;['openie'];[1];yes;y
261;linked data;includes;digital libraries;['luanyi'];[2];yes;y
1183;linked data;publishes;domain-specific ontologies;['heuristic'];[3.0];no;n
816;linked data;links;e-business models;['heuristic'];[7.0];no;y
757;linked data;uses;emotion recognition;['heuristic'];[2];yes;n
659;linked data;uses;engine;['heuristic'];[3];yes;n
722;linked data;uses;extensible markup language (xml);['heuristic'];[4];yes;y
1029;linked data;publishes;geospatial data;['heuristic'];[4.0];no;n
1184;linked data;executes;graph theory;['heuristic'];[3.0];no;n
781;linked data;publishes;hypertext;['heuristic'];[8.0];no;n
674;linked data;uses;hypertext transfer protocol (http);['heuristic'];[12];yes;n
1185;linked data;produces;information dissemination;['heuristic'];[3.0];no;n
1186;linked data;requires;information fusion;['heuristic'];[3.0];no;n
698;linked data;supports;information needs;['heuristic'];[1];yes;n
860;linked data;improves;information retrieval;['heuristic'];[6.0];no;y
1187;linked data;supports;information systems;['heuristic'];[3.0];no;y
236;linked data;produces;internet;['heuristic'];[23];yes;n
1188;linked data;produces;java;['heuristic'];[3.0];no;n
407;linked data;provides;knowledge bases;['heuristic'];[20];yes;y
861;linked data;provides;knowledge discovery;['heuristic'];[6.0];no;n
817;linked data;produces;knowledge engineering;['heuristic'];[7.0];no;n
862;linked data;extends;knowledge representation;['heuristic'];[6.0];no;y
1030;linked data;proposes;knowledge-sharing;['heuristic'];[4.0];no;n
359;linked data;produces;learning;['heuristic'];[27];yes;n
367;linked data;provides;libraries;['heuristic'];[52];yes;n
540;linked data;provides;linked open data;['heuristic'];[22];yes;n
1189;linked data;base;machine learning techniques;['heuristic'];[3.0];no;n
462;linked data;uses;mobile devices;['luanyi'];[2];yes;n
193;linked data;uses;natural languages;['luanyi', 'openie'];[1, 1];yes;y
506;linked data;provides;ontologies;['heuristic'];[101];yes;n
268;linked data;supports;ontologies;['openie'];[2];yes;y
1190;linked data;improves;ontology development;['heuristic'];[3.0];no;y
549;linked data;supports;parsing algorithm;['openie'];[1];yes;y
863;linked data;supports;privacy;['heuristic'];[6.0];no;y
1031;linked data;provides;python;['heuristic'];[4.0];no;n
818;linked data;uses;query execution;['heuristic'];[7.0];no;n
1032;linked data;produces;query rewritings;['heuristic'];[4.0];no;n
1033;linked data;proposes;question answering systems;['heuristic'];[4.0];no;n
158;linked data;uses;question answering systems;['luanyi'];[1];yes;n
3;linked data;uses;rdf data;['heuristic'];[27];yes;n
936;linked data;uses;recommender systems;['heuristic'];[5.0];no;n
1191;linked data;converts;relational data;['heuristic'];[3.0];no;n
606;linked data;uses;relational database systems;['luanyi'];[1];yes;n
136;linked data;uses;resource description framework (rdf);['heuristic', 'openie', 'heuristic'];[21, 1, 54];yes;y
104;linked data;uses;rule engine;['luanyi'];[1];yes;n
191;linked data;provides;semantic data;['heuristic'];[20];yes;y
1034;linked data;produces;semantic description;['heuristic'];[4.0];no;n
937;linked data;executes;semantic distance;['heuristic'];[5.0];no;n
74;linked data;provides;semantic interoperability;['openie', 'heuristic'];[2, 6];yes;y
938;linked data;is;semantic relationships;['heuristic'];[5.0];no;y
1035;linked data;produces;semantic relationships;['heuristic'];[4.0];no;y
1192;linked data;improves;semantic search engine;['heuristic'];[3.0];no;y
1193;linked data;improves;semantic similarity measures;['heuristic'];[3.0];no;n
605;linked data;is;semantic web technologies;['luanyi'];[11];yes;y
264;linked data;provides;semantic web technologies;['heuristic', 'heuristic'];[251, 53];yes;y
62;linked data;uses;semantic web technologies;['luanyi', 'openie', 'openie', 'luanyi'];[2, 2, 1, 4];yes;n
1194;linked data;includes;sensor networks;['heuristic'];[3.0];no;n
479;linked data;includes;social sciences;['luanyi'];[1];yes;y
328;linked data;uses;software design patterns;['luanyi', 'heuristic'];[1, 1];yes;y
599;linked data;provides;sparql;['openie'];[1];yes;n
51;linked data;supports;sparql;['heuristic'];[74];yes;y
95;linked data;uses;sparql;['luanyi'];[5];yes;n
939;linked data;produces;spatial data;['heuristic'];[5.0];no;n
940;linked data;links;stream data;['heuristic'];[5.0];no;y
1195;linked data;includes;streaming data;['heuristic'];[3.0];no;y
941;linked data;improves;user experience;['heuristic'];[5.0];no;n
782;linked data;is;user interfaces;['heuristic'];[8.0];no;n
682;linked data;uses;user profiles;['heuristic'];[4];yes;n
819;linked data;supports;visualization;['heuristic'];[7.0];no;n
468;linked data;uses;vocabulary;['heuristic'];[25];yes;y
18;linked data;improves;web contents;['openie'];[1];yes;y
43;linked data;produces;web of data;['heuristic'];[58];yes;n
1036;linked data;supports;web ontology language;['heuristic'];[4.0];no;n
259;linked data;is;world wide web;['luanyi'];[1];yes;n
513;linked data;produces;world wide web;['openie'];[1];yes;n
72;linked open data;links;linked data;['heuristic'];[29];yes;y
864;linked open data;publishes;resource description framework (rdf);['heuristic'];[6.0];no;n
391;linked open data;supports;semantic search engines;['openie'];[2];yes;y
720;logic programming;uses;linked data;['heuristic'];[1];yes;y
66;logic programming;is;web ontology language;['luanyi'];[1];yes;n
637;logistics;uses;semantic search engine;['heuristic'];[1];yes;y
661;logistics;uses;semantic web services;['heuristic'];[11];yes;n
865;machine learning techniques;improves;ontology alignment;['heuristic'];[6.0];no;y
1196;machine learning techniques;requires;ontology alignment;['heuristic'];[3.0];no;y
772;machining;uses;web ontology language;['heuristic'];[1];yes;y
118;manets;includes;semantic descriptions;['luanyi'];[2];yes;y
1197;map-reduce;requires;resource description framework (rdf);['heuristic'];[3.0];no;y
1037;mashup;publishes;linked data;['heuristic'];[4.0];no;n
475;mashup;selects;semantic web services;['openie'];[1];yes;y
46;mass customization;uses;semantic description;['luanyi'];[1];yes;n
942;matching algorithm;base;semantic web services;['heuristic'];[5.0];no;y
665;microdata;uses;linked data;['heuristic'];[1];yes;y
619;mobile applications;uses;linked data;['heuristic'];[2];yes;y
755;mobile applications;uses;semantic description;['heuristic'];[1];yes;y
1198;mobile devices;proposes;web ontology language;['heuristic'];[3.0];no;n
601;mobile services;uses;linked data;['luanyi'];[1];yes;y
263;model transformations;uses;ontology alignment;['luanyi'];[1];yes;y
1199;model transformations;converts;web ontology language;['heuristic'];[3.0];no;n
308;modeling languages;uses;web ontology language;['luanyi'];[4];yes;y
717;mse;uses;web ontology language;['heuristic'];[1];yes;n
726;multimedia contents;uses;web ontology language;['heuristic'];[1];yes;y
1038;music recommendation;links;linked data;['heuristic'];[4.0];no;n
770;named entity recognition;uses;linked data;['heuristic'];[2];yes;y
450;named entity recognition;is;resource description framework (rdf);['luanyi'];[1];yes;n
240;natural language interfaces;uses;ontology alignment;['luanyi'];[1];yes;y
820;natural language processing systems;publishes;linked data;['heuristic'];[7.0];no;n
634;natural language processing systems;uses;semantic description;['heuristic'];[1];yes;y
943;natural language processing systems;uses;semantic search engines;['heuristic'];[5.0];no;y
354;natural language processing systems;uses;web ontology language;['luanyi'];[1];yes;y
1200;natural languages;converts;web ontology language;['heuristic'];[3.0];no;n
1201;network management;produces;resource description framework (rdf);['heuristic', 'heuristic'];[3.0, 2.0];no;n
715;network management;uses;semantic web services;['heuristic'];[1];yes;y
821;on-line learning;produces;linked data;['heuristic'];[7.0];no;y
4;ontologies;provides;linked data;['heuristic'];[108];yes;y
304;ontologies;supports;linked data;['openie'];[1];yes;y
199;ontologies;proposes;ontology alignment;['openie'];[1];yes;n
99;ontologies;uses;ontology alignment;['heuristic', 'heuristic', 'luanyi'];[204, 338, 2];yes;n
322;ontologies;represents;resource description framework (rdf);['heuristic'];[159];yes;n
438;ontologies;uses;resource description framework (rdf);['openie', 'heuristic'];[2, 91];yes;y
537;ontologies;produces;semantic description;['heuristic'];[56];yes;y
451;ontologies;produces;semantic descriptions;['openie'];[1];yes;y
499;ontologies;provides;semantic descriptions;['heuristic'];[23];yes;y
777;ontologies;uses;semantic search engine;['heuristic'];[15];yes;y
545;ontologies;executes;semantic search engines;['openie'];[2];yes;n
115;ontologies;provides;semantic search engines;['heuristic'];[151];yes;n
312;ontologies;uses;semantic web services;['heuristic'];[226];yes;y
