,s,p,o,source,support
230,adaptive hypermedia,includes,semantic search engines,openie,1
231,ontology alignment,combines,ontology construction,heuristic,1
232,information retrieval,includes,ontology alignment,openie,1
233,semantic web services,provides,information sharing,heuristic,2
234,semantic data,produces,resource description framework (rdf),heuristic,1
235,description logics,provides,web ontology language,heuristic,26
236,linked data,conjunction,explicit knowledge,heuristic,1
237,semantic search engine,extends,text mining,heuristic,1
238,evolutionary algorithms,supports,ontology alignment,heuristic,2
239,resource description framework (rdf),produces,semantic web services,heuristic,10
240,natural language processing systems,publishes,linked data,heuristic,6
241,resource description framework (rdf),includes,ontology-based,openie,9
242,verification,represents,semantic description,heuristic,3
243,linked data,base,fuzzy sets theory,heuristic,1
244,email,includes,semantic search engines,openie,2
245,semantic relationships,includes,semantic search engines,openie,14
246,reasoning algorithms,produces,semantic description,heuristic,5
247,semantic search engines,includes,cloud computing,openie,1
248,semantic web services,includes,matching algorithm,openie,1
249,semantic web technologies,includes,resource description framework (rdf),openie,3
250,semantic web technologies,provides,semantic web services,heuristic,103
251,resource description framework (rdf),represents,enterprise architecture,heuristic,1
252,semantic web services,automates,service compositions,heuristic,1
253,word sense disambiguation,conjunction,ontology alignment,heuristic,1
254,semantic search engines,uses,semantic similarity measures,heuristic,7
255,business logic,includes,semantic web services,openie,1
256,web ontology language,provides,web ontology language,heuristic,36
257,semantic search engines,produces,description logics,heuristic,1
258,resource description framework (rdf),includes,web ontology language,openie,8
259,semantic wikis,conjunction,semantic web services,heuristic,2
260,quality of information,limits,semantic search engines,heuristic,2
261,semantic web services,conjunction,image annotation,heuristic,1
262,sparql,includes,semantic descriptions,openie,1
263,semantic descriptions,uses,semantic web technologies,openie,1
264,domain-specific ontologies,includes,semantic web services,openie,6
265,intelligent agents,queries,semantic description,heuristic,1
266,web ontology language,provides,validation,heuristic,2
267,sparql,includes,resource description framework (rdf),openie,13
268,resource description framework (rdf),represents,web engineering,heuristic,1
269,dbpedia,produces,resource description framework (rdf),heuristic,13
270,web ontology language,includes,linked data,openie,1
271,web ontology language,provides,testing and debugging,heuristic,1
272,mobile devices,includes,semantic web services,openie,1
273,supervised machine learning,uses,web ontology language,heuristic,1
274,web ontology language,lacks,cooperative works,heuristic,1
275,linked data,supports,mashup,heuristic,9
276,web contents,selects,semantic description,heuristic,2
277,web ontology language,includes,reasoning algorithms,openie,2
278,linked data,includes,hierarchical models,openie,1
279,semantic web services,combines,semantic web technologies,openie,1
280,natural language processing systems,converts,web ontology language,heuristic,1
281,semantic search engines,includes,machine learning techniques,openie,1
282,web ontology language,is,resource description framework (rdf),heuristic,4
283,dbpedia,uses,ontology alignment,heuristic,1
284,semantic web services,provides,automatic composition,heuristic,6
285,ontology alignment,is,semantic concept,heuristic,2
286,probability,converts,web ontology language,heuristic,1
287,linked data,includes,ontology alignment,openie,1
288,clustering algorithms,includes,linked data,openie,1
289,semantic data,includes,linked data,openie,1
290,semantic web services,automates,verification,heuristic,1
291,web ontology language,uses,pattern,openie,1
292,data mining process,proposes,semantic web services,heuristic,2
293,semantic descriptions,is,content management systems,heuristic,2
294,database systems,affects,resource description framework (rdf),heuristic,4
295,linked data,provides,python,heuristic,4
296,resource description framework (rdf),is,standard model,openie,1
297,web ontology language,includes,resource description framework (rdf),openie,37
298,testing and debugging,includes,web ontology language,openie,1
299,recommendation,includes,semantic web services,openie,1
300,resource description framework (rdf),includes,version management,openie,1
301,ontology alignment,matches,communication,heuristic,3
302,resource description framework (rdf),is,community of practice,heuristic,1
303,universities,is,resource description framework (rdf),heuristic,4
304,domain-specific ontologies,proposes,ontology alignment,heuristic,3
305,resource description framework (rdf),base,vocabulary,heuristic,1
306,semantic search engines,requires,verification,openie,1
307,routing algorithms,uses,semantic web services,heuristic,1
308,information exchanges,is,resource description framework (rdf),heuristic,3
309,linked data,provides,javascript,heuristic,8
310,data publishing,uses,resource description framework (rdf),openie,1
311,ontology alignment,conjunction,information systems,heuristic,1
312,sparql,includes,web ontology language,openie,7
313,web ontology language,improves,information retrieval,heuristic,2
314,semantic search engines,includes,data integration,openie,1
315,semantic search engines,includes,knowledge construction,openie,1
316,web applications,base,resource description framework (rdf),heuristic,9
317,resource description framework (rdf),produces,information contents,heuristic,2
318,ontology learning,conjunction,ontology alignment,heuristic,1
319,ontology alignment,includes,inference,openie,1
320,web ontology language,defines,autonomous agents,heuristic,2
321,semantic search engines,includes,multimedia contents,openie,2
322,resource description framework (rdf),includes,semantic web technologies,openie,8
323,semantic search engine,includes,natural languages,openie,1
324,semantic search engines,uses,recommendation,openie,1
325,linked data,includes,semantic search engines,openie,2
326,question answering systems,links,linked data,heuristic,8
327,resource description framework (rdf),uses,mobile devices,heuristic,1
328,linked data,includes,web ontology language,heuristic,3
329,resource description framework (rdf),base,ubiquitous environments,heuristic,2
330,semantic relationships,converts,resource description framework (rdf),heuristic,2
331,ontology alignment,includes,semantic heterogeneity,openie,4
332,description logics,uses,resource description framework (rdf),heuristic,4
333,semantic relationships,includes,semantic descriptions,openie,2
334,semantic description,base,semantic descriptions,heuristic,1
335,software architectures,includes,semantic search engines,openie,1
336,linked data,conjunction,knowledge-sharing,heuristic,1
337,database systems,selects,linked data,heuristic,9
338,resource description framework (rdf),base,product design,heuristic,1
339,ontology alignment,uses,decision tables,heuristic,1
340,semantic search engine,includes,information retrieval,openie,3
341,semantic search engines,analyzes,information needs,openie,1
342,semantic web technologies,includes,web ontology language,openie,5
343,ontology alignment,includes,model transformations,openie,1
344,ontology alignment,includes,semantic web technologies,openie,2
345,pattern,includes,semantic description,heuristic,3
346,semantic search engines,conjunction,user profiling,heuristic,1
347,mediawiki,supports,semantic web services,heuristic,1
348,process modelling,conjunction,linked data,heuristic,1
349,web ontology language,includes,resource description framework (rdf),openie,7
350,semantic web services,provides,web service composition,heuristic,11
351,linked data,base,routing algorithms,heuristic,1
352,linked data,affects,query processing,heuristic,3
353,ontology alignment,includes,concept similarity,openie,1
354,ontology alignment,includes,ontology integration,openie,1
355,linked data,provides,question answering systems,heuristic,10
356,semantic search engines,produces,ontology-based,openie,1
357,ontology alignment,conjunction,linked data,heuristic,1
358,search engines,selects,resource description framework (rdf),heuristic,2
359,semantic web services,supports,ambient intelligence,heuristic,1
360,semantic search engines,conjunction,information fusion,heuristic,1
361,semantic web rule languages,automates,semantic search engine,heuristic,2
362,information fusion,includes,semantic search engines,openie,1
363,resource description framework (rdf),represents,ontology-based,heuristic,36
364,semantic descriptions,includes,verification,openie,2
365,geometry,matches,web ontology language,heuristic,3
366,wordnet,includes,ontology alignment,openie,1
367,digital libraries,includes,resource description framework (rdf),openie,1
368,linked data,provides,resource description framework (rdf),heuristic,63
369,web ontology language,provides,rdf graph,heuristic,1
370,ontology-based,acquires,ontology alignment,heuristic,81
371,semantic search engines,uses,ontology-based,heuristic,53
372,semantic web services,provides,user experience,heuristic,3
373,semantic web services,includes,information systems,openie,1
374,ontology alignment,uses,domain-specific ontologies,heuristic,7
375,semantic descriptions,links,dbpedia,heuristic,1
376,semantic web services,includes,enterprise information systems,openie,1
377,ontology alignment,supports,student performance,heuristic,1
378,access control mechanism,uses,web ontology language,heuristic,1
379,dbpedia,includes,semantic search engine,openie,2
380,son,links,linked data,heuristic,2
381,linked data,includes,web browsing,openie,1
382,business process modelling,base,semantic web services,heuristic,1
383,web ontology language,is,extensible markup language,heuristic,1
384,resource description framework (rdf),queries,semantic metadata,heuristic,2
385,voicexml,includes,web ontology language,openie,4
386,extensible markup language,includes,resource description framework (rdf),openie,15
387,ontology alignment,conjunction,information extraction,heuristic,2
388,question answering systems,uses,linked data,openie,1
389,ontology alignment,includes,engineering,openie,2
390,semantic web services,provides,hash,heuristic,1
391,web servers,links,linked data,heuristic,1
392,text classification,includes,semantic search engines,openie,1
393,semantic description,includes,semantic relationships,openie,1
394,web ontology language,provides,reasoning algorithms,heuristic,80
395,semantic web services,is,intelligibility,heuristic,3
396,libraries,uses,resource description framework (rdf),heuristic,4
397,semantic search engine,provides,user experience,heuristic,2
398,authentication mechanisms,includes,semantic search engines,openie,1
399,resource description framework (rdf),includes,microdata,openie,1
400,resource description framework (rdf),represents,user profiles,heuristic,4
401,linked open data,conjunction,semantic search engines,heuristic,2
402,clustering algorithms,proposes,semantic web services,heuristic,4
403,formal modelling,is,resource description framework (rdf),heuristic,2
404,web ontology language,includes,knowledge engineering,openie,2
405,semantic web services,uses,pattern,heuristic,1
406,clustering algorithms,conjunction,linked data,heuristic,1
407,web ontology language,acquires,product families,heuristic,2
408,ontology alignment,includes,information systems,openie,1
409,semantic web services,conjunction,semantic wikis,heuristic,2
410,resource description framework (rdf),provides,recommendation,heuristic,5
411,description logics,includes,semantic web services,openie,6
412,linked data,includes,query processing,openie,2
413,description logics,includes,web ontology language,openie,10
414,semantic description,includes,web services discovery,openie,1
415,semantic description,produces,mobile applications,heuristic,1
416,data integration,includes,ontology alignment,openie,3
417,communication,provides,web ontology language,heuristic,3
418,resource description framework (rdf),supports,wordnet,heuristic,3
419,knowledge representation,provides,semantic description,heuristic,7
420,uml profiles,base,resource description framework (rdf),heuristic,2
421,engineering,converts,linked data,heuristic,4
422,pervasive,guides,semantic description,heuristic,1
423,semantic web services,includes,ontology-based,openie,4
424,web ontology language,uses,communication,heuristic,6
425,description logics,improves,semantic search engine,heuristic,1
426,knowledge representation,includes,semantic web services,openie,1
427,ontology-based,uses,web ontology language,openie,7
428,web 2.0,includes,linked data,openie,5
429,ontology alignment,includes,change detection,openie,1
430,web ontology language,provides,resource description framework (rdf),heuristic,245
431,resource description framework (rdf),includes,knowledge acquisition,openie,1
432,intelligent agents,includes,semantic web services,openie,3
433,semantic search engines,improves,user navigation,heuristic,1
434,enterprise information systems,includes,semantic web services,openie,1
435,linked data,analyzes,user-generated content,heuristic,3
436,web ontology language,supports,inference,heuristic,10
437,ontology modeling,conjunction,ontology alignment,heuristic,1
438,cache,links,linked data,heuristic,1
439,data exchange,includes,ontology alignment,openie,1
440,semantic web services,requires,authentication,heuristic,1
441,multi-threaded,queries,resource description framework (rdf),heuristic,2
442,semantic web services,uses,answering queries,heuristic,1
443,recommendation,conjunction,semantic web services,heuristic,1
444,software agents,includes,semantic web services,openie,5
445,resource description framework (rdf),guides,undirected graph,heuristic,1
446,data integration,includes,semantic web services,openie,2
447,document classification,conjunction,semantic search engines,heuristic,1
448,semantic description,learns,e-learning environment,heuristic,4
449,semantic search engines,conjunction,question answering systems,heuristic,7
450,recommendation,conjunction,semantic search engines,heuristic,3
451,semantic web services,includes,efficient algorithm,heuristic,3
452,web ontology language,is,mass customization,heuristic,2
453,content management,includes,resource description framework (rdf),openie,1
454,linked data,is,education,heuristic,4
455,sparql,includes,resource description framework (rdf),openie,5
456,verification,includes,ontology alignment,openie,1
457,linked data,includes,information integration,openie,1
458,semantic web services,analyzes,resource description framework (rdf),heuristic,12
459,user experience,converts,semantic web services,heuristic,1
460,semantic web services,includes,semantic description,openie,2
461,knowledge acquisition,links,linked data,heuristic,1
462,ontology technology,includes,semantic web services,openie,2
463,ontology alignment,is,knowledge-sharing,heuristic,2
464,linked data,improves,mobile services,heuristic,2
465,semantic web services,proposes,web ontology language,heuristic,7
466,semantic search engines,includes,web applications,openie,3
467,semantic web technologies,conjunction,semantic descriptions,heuristic,2
468,ontology alignment,conjunction,ontology development,heuristic,1
469,domain-specific ontologies,proposes,semantic web services,heuristic,11
470,resource description framework (rdf),includes,data exchange,openie,1
471,linked data,includes,background knowledge,openie,3
472,semantic web technologies,includes,semantic web services,openie,19
473,semantic search engines,acquires,multimedia contents,heuristic,3
474,semantic web services,requires,authentication,openie,1
475,semantic search engines,is,semantic search engine,heuristic,2
476,description logics,uses,ontology alignment,heuristic,2
477,privacy,is,semantic web services,heuristic,1
478,machine translation systems,includes,ontology alignment,openie,1
479,natural language processing systems,uses,linked data,openie,1
480,semantic web services,includes,intelligent software agent,openie,1
481,semantic descriptions,includes,manets,openie,2
482,internet,provides,web ontology language,heuristic,4
483,parsing algorithm,produces,resource description framework (rdf),heuristic,2
484,semantic web services,conjunction,cloud computing,heuristic,1
485,web ontology language,supports,inference,openie,1
486,data visualization,conjunction,linked data,heuristic,1
487,ontology alignment,base,argumentation,heuristic,1
488,semantic search engines,analyzes,mobile agents,heuristic,1
489,resource description framework (rdf),includes,sparql,openie,78
490,ontology alignment,selects,ontology-based,heuristic,205
491,semantic search engines,supports,information contents,heuristic,1
492,resource description framework (rdf),links,linked data,heuristic,74
493,electronic commerce,requires,ontology alignment,openie,1
494,validation,includes,ontology alignment,openie,1
495,extreme programming,proposes,resource description framework (rdf),heuristic,1
496,ontology-based,represents,resource description framework (rdf),heuristic,175
497,web services discovery,includes,semantic web services,openie,2
498,linked data,improves,semantic search engine,heuristic,3
499,semantic search engines,includes,ontology learning,openie,3
500,ontology integration,includes,ontology alignment,openie,3
501,semantic description,includes,intelligent agents,openie,2
502,internet,represents,resource description framework (rdf),heuristic,1
503,semantic search engines,includes,semantic search engines,openie,4
504,resource description framework (rdf),includes,web ontology language,heuristic,9
505,knowledge representation,includes,semantic search engines,openie,1
506,linked data,is,engineering,heuristic,8
507,linked data,includes,artificial intelligence,openie,1
508,semantic web services,uses,electronic commerce,heuristic,3
509,data management,base,web ontology language,heuristic,1
510,web ontology language,provides,semantic heterogeneity,heuristic,1
511,resource description framework (rdf),supports,tool support,heuristic,1
512,natural languages,includes,semantic descriptions,openie,1
513,semantic web technologies,uses,web ontology language,openie,2
514,semantic search engines,conjunction,ontology construction,heuristic,1
515,ontology alignment,includes,semantic web technologies,openie,10
516,shortest paths,produces,web ontology language,heuristic,1
517,ontology alignment,conjunction,ontology integration,heuristic,1
518,semantic web services,automates,formal verifications,heuristic,1
519,digital libraries,links,resource description framework (rdf),heuristic,1
520,web ontology language,provides,natural language processing systems,heuristic,4
521,personalizations,includes,semantic search engines,openie,1
522,semantic search engines,selects,domain-specific ontologies,heuristic,4
523,optimization,is,resource description framework (rdf),heuristic,2
524,ontology language,includes,semantic web services,openie,1
525,social software,includes,semantic search engines,openie,1
526,knowledge representation,includes,web ontology language,openie,1
527,extreme programming,defines,web ontology language,openie,1
528,semantic web technologies,includes,ontology alignment,heuristic,3
529,resource description framework (rdf),includes,authentication,openie,1
530,conceptual design,matches,web ontology language,heuristic,3
531,ontology alignment,provides,ontology integration,heuristic,14
532,semantic relationships,includes,web ontology language,openie,1
533,communication,conjunction,semantic search engines,heuristic,1
534,linked data,uses,resource description framework (rdf),openie,1
535,uml profiles,guides,semantic web services,heuristic,4
536,linked data,provides,rdf graph,heuristic,1
537,resource description framework (rdf),includes,data management,openie,1
538,semantic web service discovery,conjunction,semantic search engines,heuristic,1
539,ontology-based,includes,semantic descriptions,openie,4
540,semantic desktop,uses,linked data,heuristic,1
541,sparql,proposes,ontology alignment,heuristic,2
542,word sense disambiguation,includes,ontology alignment,openie,1
543,mashup,includes,semantic web services,openie,1
544,ontology alignment,includes,text mining,openie,1
545,semantic web service discovery,selects,semantic description,heuristic,2
546,display,affects,resource description framework (rdf),heuristic,1
547,semantic concept,is,semantic search engines,heuristic,7
548,linked data,conjunction,html5,heuristic,1
549,resource description framework (rdf),includes,intelligent agents,openie,1
550,kernel functions,includes,ontology alignment,openie,1
551,linked data,includes,schema mappings,openie,1
552,semantic web services,includes,process modelling,openie,1
553,semantic web services,is,component-based software engineering,heuristic,13
554,document classification,includes,semantic search engines,openie,2
555,ontology alignment,base,semantic desktop,heuristic,1
556,ontology alignment,includes,semantic data,openie,1
557,resource description framework (rdf),includes,knowledge representation,openie,6
558,domain knowledge,includes,web ontology language,openie,1
559,ontology alignment,conjunction,schema integration,heuristic,1
560,semantic description,links,dbpedia,heuristic,1
561,ontology-based,proposes,ontology alignment,openie,1
562,ontology-based,uses,resource description framework (rdf),heuristic,44
563,linked data,uses,recommender systems,heuristic,5
564,sparql,includes,linked data,openie,3
565,semantic search engines,improves,information acquisitions,heuristic,3
566,intelligent agents,conjunction,semantic descriptions,heuristic,4
567,visualization,uses,resource description framework (rdf),heuristic,2
568,semantic descriptions,supports,prototyping,heuristic,2
569,web ontology language,includes,semantic relationships,openie,2
570,ontology alignment,is,semantic data,heuristic,1
571,web ontology language,includes,collaborative designs,openie,1
572,web ontology language,provides,context information,heuristic,2
573,reasoning algorithms,uses,web ontology language,heuristic,35
574,linked data,improves,web contents,openie,1
575,search engines,includes,semantic web services,openie,1
576,web information extraction,is,ontology alignment,heuristic,1
577,web ontology language,is,resource description framework (rdf),openie,1
578,semantic web services,includes,automation,openie,1
579,privacy policies,combines,semantic web services,heuristic,1
580,linked data,provides,background knowledge,heuristic,3
581,ontology alignment,provides,semantic description,heuristic,1
582,business processes,converts,resource description framework (rdf),heuristic,2
583,ontology alignment,includes,semantic web services,openie,2
