,s,p,o,source,support
41,semantic search engine,uses,semantic web technologies,heuristic,1
42,semantic search engines,improves,keyword search,heuristic,9
43,semantic search engines,uses,relational data models,heuristic,1
44,keyword search,produces,semantic search engines,heuristic,6
45,ontology alignment,provides,ontology integration,heuristic,14
46,ontology integration,interacts,ontology alignment,heuristic,5
47,semantic similarity measures,is,ontology alignment,heuristic,6
48,ontology alignment,is,knowledge representation,heuristic,1
49,ontology alignment,is,information retrieval,heuristic,9
50,search engines,includes,semantic search engine,heuristic,9
51,semantic search engines,is,semantic search engine,heuristic,2
52,search engines,provides,semantic search engines,heuristic,19
53,ontology-based,produces,ontology alignment,heuristic,35
54,semantic search engines,selects,undirected graph,heuristic,3
55,smart phones,proposes,semantic search engines,heuristic,1
56,semantic search engines,conjunction,ontology construction,heuristic,1
57,ontology construction,conjunction,semantic search engines,heuristic,1
58,ontology alignment,is,information systems,heuristic,5
59,ontology alignment,is,semantic interoperability,heuristic,9
60,linked data,provides,semantic web technologies,heuristic,136
61,ontology alignment,uses,domain knowledge,heuristic,5
62,ontology alignment,is,semantic data,heuristic,1
63,semantic description,improves,digital libraries,heuristic,6
64,enterprise architecture,uses,resource description framework (rdf),heuristic,1
65,semantic web services,automates,verification,heuristic,1
66,semantic web services,automates,formal verifications,heuristic,1
67,web ontology language,defines,ontology-based,heuristic,183
68,social networks,provides,linked data,heuristic,7
69,linked data,produces,internet,heuristic,19
70,dbpedia,publishes,linked data,heuristic,21
71,ontology language,supports,resource description framework (rdf),heuristic,13
72,ontology language,defines,web ontology language,heuristic,41
73,knowledge bases,represents,resource description framework (rdf),heuristic,16
74,ontology alignment,analyzes,semantic similarity measures,heuristic,6
75,semantic similarity measures,is,ontology alignment,heuristic,4
76,ontology-based,provides,semantic search engines,heuristic,48
77,broadcast,base,semantic search engines,heuristic,1
78,linked data,uses,resource description framework (rdf),heuristic,13
79,linked data,provides,resource description framework (rdf),heuristic,63
80,resource description framework (rdf),guides,knowledge representation,heuristic,27
81,data management,uses,resource description framework (rdf),heuristic,2
82,ontology alignment,matches,libraries,heuristic,1
83,description logics,provides,web ontology language,heuristic,22
84,linked data,analyzes,semantic web technologies,heuristic,10
85,semantic web technologies,supports,linked data,heuristic,14
86,component-based software engineering,is,web ontology language,heuristic,3
87,web ontology language,is,world wide web,heuristic,15
88,resource description framework (rdf),provides,ontology language,heuristic,15
89,ontology-based,defines,web ontology language,heuristic,176
90,web ontology language,provides,web ontology language,heuristic,36
91,web ontology language,supports,web ontology language,heuristic,27
92,web ontology language,uses,component repository,heuristic,3
93,web ontology language,uses,component repository,heuristic,3
94,service compositions,conjunction,ontology alignment,heuristic,3
95,ontology alignment,conjunction,service compositions,heuristic,3
96,semantic web services,improves,automation,heuristic,26
97,resource description framework (rdf),provides,world wide web,heuristic,22
98,classification performances,uses,resource description framework (rdf),heuristic,1
99,ontology learning,uses,resource description framework (rdf),heuristic,1
100,map-reduce,requires,resource description framework (rdf),heuristic,3
101,web ontology language,base,sparql,heuristic,22
102,sparql,queries,web ontology language,heuristic,20
103,web ontology language,provides,ontology alignment,heuristic,5
104,resource description framework (rdf),improves,document representation,heuristic,1
105,web ontology language,provides,knowledge representation,heuristic,13
106,semantic search engines,uses,ontology-based,heuristic,53
107,semantic search engines,uses,inference,heuristic,3
108,ontology-based,acquires,ontology alignment,heuristic,81
109,ontology alignment,provides,semantic interoperability,heuristic,8
110,web ontology language,provides,description logics,heuristic,57
111,description logics,provides,web ontology language,heuristic,26
112,web ontology language,provides,semantic web technologies,heuristic,114
113,linked data,produces,semantic metadata,heuristic,2
114,linked open data,includes,resource description framework (rdf),heuristic,10
115,relational database systems,uses,resource description framework (rdf),heuristic,33
116,linked data,conjunction,machine learning techniques,heuristic,1
117,machine learning techniques,conjunction,linked data,heuristic,1
118,linked data,provides,user experience,heuristic,3
119,linked data,supports,inference,heuristic,1
120,resource description framework (rdf),conjunction,programming languages,heuristic,1
121,programming languages,conjunction,resource description framework (rdf),heuristic,1
122,resource description framework (rdf),conjunction,content management,heuristic,1
123,linked open data,links,linked data,heuristic,15
124,linked data,analyzes,linked open data,heuristic,8
125,ontology alignment,analyzes,concept similarity,heuristic,15
126,linked data,selects,learning objects,heuristic,2
127,cloud services,improves,semantic description,heuristic,1
128,semantic description,supports,knowledge discovery,heuristic,1
129,ontology alignment,provides,data integration,heuristic,5
130,data integration,is,ontology alignment,heuristic,5
131,ontology alignment,matches,information retrieval,heuristic,4
132,ontology alignment,automates,query rewritings,heuristic,2
133,semantic description,uses,web ontology language,heuristic,5
134,web ontology language,combines,semantic web rule languages,heuristic,7
135,web ontology language,is,extreme programming,heuristic,4
136,extreme programming,defines,web ontology language,heuristic,8
137,web ontology language,produces,internet,heuristic,7
138,internet,provides,web ontology language,heuristic,4
139,knowledge representation,produces,web ontology language,heuristic,14
140,web ontology language,provides,reasoning algorithms,heuristic,24
141,resource description framework (rdf),is,semantic web technologies,heuristic,87
142,saam,publishes,linked data,heuristic,1
143,web ontology language,provides,reasoning algorithms,heuristic,80
144,linked data,is,relational database systems,heuristic,8
145,linked data,uses,software design patterns,heuristic,1
146,ontology development,supports,resource description framework (rdf),heuristic,2
147,web ontology language,produces,knowledge bases,heuristic,5
148,testing and debugging,base,ontology alignment,heuristic,1
149,resource description framework (rdf),provides,linked open data,heuristic,10
150,linked open data,includes,web ontology language,heuristic,1
151,resource description framework (rdf),uses,semantic web technologies,heuristic,6
152,semantic web technologies,includes,resource description framework (rdf),heuristic,7
153,semantic web technologies,includes,web ontology language,heuristic,4
154,semantic web rule languages,represents,web ontology language,heuristic,74
155,reasoning algorithms,uses,web ontology language,heuristic,35
156,resource description framework (rdf),defines,xml schemas,heuristic,13
157,resource description framework (rdf),improves,libraries,heuristic,9
158,resource description framework (rdf),is,linked data,heuristic,13
159,data integration,proposes,ontology alignment,heuristic,14
160,ontology alignment,is,data integration,heuristic,6
161,web ontology language,provides,semantic web technologies,heuristic,56
162,resource description framework (rdf),acquires,semantic relationships,heuristic,2
163,resource description framework (rdf),acquires,semantic relationships,heuristic,16
164,resource description framework (rdf),acquires,semantic relationships,heuristic,9
165,web ontology language,is,resource description framework (rdf),heuristic,4
166,web ontology language,represents,undirected graph,heuristic,1
167,speech recognition,base,semantic search engines,heuristic,12
168,semantic search engines,requires,verification,heuristic,2
169,semantic web technologies,provides,semantic search engines,heuristic,18
170,semantic search engines,is,semantic web technologies,heuristic,30
171,information retrieval,includes,ontology alignment,heuristic,6
172,ontology alignment,conjunction,knowledge acquisition,heuristic,2
173,knowledge acquisition,conjunction,ontology alignment,heuristic,2
174,description logics,uses,resource description framework (rdf),heuristic,4
175,resource description framework (rdf),is,constraint language,heuristic,1
176,semantic web technologies,provides,resource description framework (rdf),heuristic,72
177,web ontology language,base,modeling languages,heuristic,1
178,reasoning algorithms,uses,web ontology language,heuristic,10
179,web ontology language,uses,computer science,heuristic,1
180,knowledge discovery,conjunction,semantic search engines,heuristic,2
181,semantic interoperability,uses,web ontology language,heuristic,5
182,web ontology language,includes,component-based software engineering,heuristic,1
183,ontology language,is,web ontology language,heuristic,3
184,web ontology language,produces,model-checking,heuristic,2
185,web ontology language,uses,communication,heuristic,6
186,sensors,uses,web ontology language,heuristic,4
187,web ontology language,converts,xml schemas,heuristic,12
188,xml schemas,provides,web ontology language,heuristic,9
189,fuzzy extension,produces,web ontology language,heuristic,3
190,web ontology language,produces,domain-specific ontologies,heuristic,3
191,web ontology language,proposes,semantic web rule languages,heuristic,75
192,ontology alignment,uses,domain-specific ontologies,heuristic,7
193,web ontology language,is,ontology language,heuristic,29
194,ontology development,conjunction,ontology alignment,heuristic,1
195,resource description framework (rdf),is,world wide web,heuristic,11
196,ontology alignment,provides,collaborative designs,heuristic,1
197,web ontology language,is,ontology construction,heuristic,1
198,semantic description,improves,image retrieval,heuristic,1
199,resource description framework (rdf),provides,dbpedia,heuristic,14
200,caching,uses,resource description framework (rdf),heuristic,1
201,semantic descriptions,links,dbpedia,heuristic,1
202,ontology alignment,is,web applications,heuristic,6
203,domain-specific ontologies,acquires,ontology alignment,heuristic,4
204,linked data,improves,semantic search engine,heuristic,3
205,information retrieval,uses,semantic search engines,heuristic,15
206,semantic search engines,is,reasoning algorithms,heuristic,11
207,data management,base,web ontology language,heuristic,1
208,semantic search engine,provides,user experience,heuristic,2
209,semantic relationships,represents,semantic search engines,heuristic,15
210,linked open data,conjunction,semantic search engines,heuristic,2
211,semantic search engines,base,linked open data,heuristic,3
212,semantic search engine,requires,semantic metadata,heuristic,1
213,semantic search engine,provides,ontology-based,heuristic,19
214,vocabulary,proposes,linked data,heuristic,23
215,world wide web,recommends,web ontology language,heuristic,6
216,universities,extends,web ontology language,heuristic,2
217,semantic descriptions,is,semantic web technologies,heuristic,5
218,semantic web technologies,provides,semantic descriptions,heuristic,7
219,visualization,uses,semantic search engine,heuristic,1
220,resource description framework (rdf),base,education,heuristic,1
221,hashing,supports,semantic search engines,heuristic,1
222,distributed hash table,supports,semantic search engines,heuristic,1
223,semantic search engines,uses,semantic similarity measures,heuristic,7
224,semantic web services,produces,ontology-based,heuristic,130
225,web services discovery,proposes,semantic web services,heuristic,16
226,database systems,affects,resource description framework (rdf),heuristic,4
227,reasoning algorithms,base,resource description framework (rdf),heuristic,1
228,domain knowledge,base,resource description framework (rdf),heuristic,1
229,resource description framework (rdf),acquires,domain knowledge,heuristic,9
230,knowledge representation,analyzes,resource description framework (rdf),heuristic,14
231,knowledge representation,analyzes,resource description framework (rdf),heuristic,5
232,text document,selects,resource description framework (rdf),heuristic,2
233,text document,selects,resource description framework (rdf),heuristic,2
234,ontology alignment,conjunction,ontology construction,heuristic,1
235,ontology construction,proposes,ontology alignment,heuristic,2
236,ontology alignment,proposes,ontology merging,heuristic,20
237,ontology merging,conjunction,ontology alignment,heuristic,7
238,ontology alignment,uses,query expansion,heuristic,2
239,ontology alignment,uses,image retrieval,heuristic,1
240,ontology modeling,conjunction,ontology alignment,heuristic,1
241,ontology alignment,conjunction,ontology modeling,heuristic,1
242,web ontology language,represents,ontology construction,heuristic,6
243,linked data,provides,data integration,heuristic,20
244,semantic search engines,base,semantic relationships,heuristic,7
245,semantic search engines,base,wordnet,heuristic,1
246,semantic search engines,uses,web ontology language,heuristic,4
247,web ontology language,proposes,semantic relationships,heuristic,2
248,security policies,base,web ontology language,heuristic,2
249,web ontology language,produces,security policies,heuristic,2
250,web ontology language,defines,domain knowledge,heuristic,11
251,web ontology language,produces,domain knowledge,heuristic,12
252,dbpedia,produces,resource description framework (rdf),heuristic,2
253,dbpedia,produces,resource description framework (rdf),heuristic,13
254,web ontology language,is,haptics,heuristic,1
255,semantic search engines,is,component-based software engineering,heuristic,1
256,ontology alignment,is,data integration,heuristic,15
257,resource description framework (rdf),conjunction,xpath,heuristic,1
258,xpath,conjunction,resource description framework (rdf),heuristic,1
259,ontology alignment,supports,student performance,heuristic,1
260,ontology alignment,provides,ontology building,heuristic,3
261,ontology building,conjunction,ontology alignment,heuristic,2
262,ontology alignment,is,semantic interoperability,heuristic,18
263,linked data,uses,sparql,heuristic,15
264,resource description framework (rdf),produces,knowledge bases,heuristic,15
265,sparql,links,linked data,heuristic,18
266,database systems,selects,linked data,heuristic,9
267,clustering algorithms,conjunction,linked data,heuristic,1
268,linked data,conjunction,clustering algorithms,heuristic,1
269,semantic similarity measures,conjunction,linked data,heuristic,1
270,linked data,conjunction,semantic similarity measures,heuristic,1
271,query processing,is,resource description framework (rdf),heuristic,2
272,data mining process,conjunction,linked data,heuristic,1
273,linked data,conjunction,data mining process,heuristic,1
274,resource description framework (rdf),produces,semantic web technologies,heuristic,3
275,semantic web technologies,provides,resource description framework (rdf),heuristic,42
276,resource description framework (rdf),converts,relational database systems,heuristic,36
277,ontology-based,uses,resource description framework (rdf),heuristic,44
278,fuzzy ontology,includes,web ontology language,heuristic,2
279,uml profiles,base,resource description framework (rdf),heuristic,2
280,web ontology language,provides,tool support,heuristic,3
281,knowledge bases,uses,web ontology language,heuristic,9
282,web ontology language,uses,reasoning algorithms,heuristic,5
283,web ontology language,uses,recommendation,heuristic,3
284,automation,is,semantic description,heuristic,3
285,web ontology language,uses,wordnet,heuristic,4
286,dialogue,conjunction,linked data,heuristic,1
287,linked data,conjunction,dialogue,heuristic,1
288,ontology alignment,produces,product design,heuristic,4
289,ontology alignment,improves,information integration,heuristic,4
290,semantic search engine,proposes,search engines,heuristic,16
291,ontology alignment,analyzes,document similarity,heuristic,2
292,semantic interoperability,guides,ontology alignment,heuristic,8
293,ontology alignment,uses,answering queries,heuristic,6
294,ontology alignment,is,ontology learning,heuristic,4
295,ontology learning,conjunction,ontology alignment,heuristic,3
296,web contents,provides,semantic search engines,heuristic,10
297,semantic concept,is,semantic search engines,heuristic,7
298,automated reasoning,converts,linked data,heuristic,3
299,semantic search engine,acquires,web contents,heuristic,4
300,semantic search engines,supports,knowledge management,heuristic,2
301,agent technology,conjunction,semantic search engines,heuristic,1
302,semantic search engines,conjunction,agent technology,heuristic,1
303,distributed computing,supports,linked data,heuristic,1
304,explicit knowledge,conjunction,linked data,heuristic,1
305,linked data,conjunction,explicit knowledge,heuristic,1
306,linked data,includes,reasoning algorithms,heuristic,2
307,semantic search engines,is,internet,heuristic,4
308,document classification,conjunction,semantic search engines,heuristic,1
309,semantic search engines,conjunction,document classification,heuristic,1
310,internet,proposes,resource description framework (rdf),heuristic,6
311,component-based software engineering,defines,web ontology language,heuristic,7
312,context models,proposes,web ontology language,heuristic,5
313,web ontology language,includes,context reasoning,heuristic,4
314,recommendation,uses,web ontology language,heuristic,6
315,collaborative designs,uses,web ontology language,heuristic,1
316,web crawlers,is,semantic search engine,heuristic,1
317,knowledge bases,uses,semantic search engine,heuristic,3
318,resource description framework (rdf),uses,cloud computing,heuristic,7
319,web ontology language,improves,data management,heuristic,3
320,web ontology language,is,ontology language,heuristic,8
321,web ontology language,converts,description logics,heuristic,21
322,fuzzy description logic,extends,web ontology language,heuristic,6
323,web ontology language,acquires,conditional probabilities,heuristic,1
324,web 2.0,conjunction,ontology alignment,heuristic,1
325,ontology alignment,conjunction,web 2.0,heuristic,1
326,linked data,uses,natural languages,heuristic,7
327,question answering systems,links,linked data,heuristic,8
328,web 2.0,selects,resource description framework (rdf),heuristic,2
329,communication,conjunction,semantic search engines,heuristic,1
330,semantic search engines,conjunction,communication,heuristic,1
331,relational database systems,uses,resource description framework (rdf),heuristic,3
332,resource description framework (rdf),provides,inference,heuristic,6
333,natural languages,supports,semantic descriptions,heuristic,3
334,service ontology,supports,semantic descriptions,heuristic,3
335,semantic descriptions,includes,service ontology,heuristic,5
336,pattern,supports,semantic descriptions,heuristic,4
337,semantic descriptions,acquires,parsing algorithm,heuristic,1
338,user interfaces,represents,linked data,heuristic,9
339,ontology alignment,is,spatial data infrastructure,heuristic,2
340,linked data,conjunction,html5,heuristic,1
341,html5,conjunction,linked data,heuristic,1
342,facebook,publishes,resource description framework (rdf),heuristic,1
343,resource description framework (rdf),selects,social networks,heuristic,6
344,social networks,publishes,resource description framework (rdf),heuristic,2
345,schema matching,is,ontology alignment,heuristic,5
346,product design,is,semantic search engines,heuristic,2
347,resource description framework (rdf),supports,information filtering,heuristic,1
348,contracts,proposes,web ontology language,heuristic,2
349,rdf graph,proposes,resource description framework (rdf),heuristic,10
350,electronic documents,represents,resource description framework (rdf),heuristic,1
351,electronic documents,represents,resource description framework (rdf),heuristic,1
352,resource description framework (rdf),selects,web data mining,heuristic,2
353,resource description framework (rdf),selects,web-mining,heuristic,1
354,domain-specific ontologies,supports,semantic search engines,heuristic,5
355,linked data,analyzes,semantic distance,heuristic,1
356,web ontology language,uses,knowledge representation,heuristic,6
357,web ontology language,proposes,knowledge-sharing,heuristic,4
358,web ontology language,supports,inference,heuristic,10
359,information needs,proposes,web ontology language,heuristic,2
360,web ontology language,uses,fuzzy logics,heuristic,1
361,web ontology language,provides,data integration,heuristic,2
362,web ontology language,provides,semantic interoperability,heuristic,3
363,user interfaces,supports,resource description framework (rdf),heuristic,3
364,user interfaces,supports,web ontology language,heuristic,1
365,resource description framework (rdf),provides,reasoning algorithms,heuristic,22
366,xquery,provides,resource description framework (rdf),heuristic,2
367,linked data,provides,question answering systems,heuristic,10
368,linked data,contributes,learning,heuristic,5
369,linked data,is,engineering,heuristic,8
370,component-based software engineering,is,ontology alignment,heuristic,1
371,linked data,selects,web contents,heuristic,3
372,natural language processing systems,publishes,linked data,heuristic,6
373,linked data,conjunction,natural language processing systems,heuristic,4
374,data mining,uses,linked data,heuristic,4
375,linked data,extends,data mining,heuristic,3
376,multi-threaded,queries,resource description framework (rdf),heuristic,2
377,multi-threaded,queries,resource description framework (rdf),heuristic,2
378,sensors,proposes,linked data,heuristic,5
379,linked data,produces,database systems,heuristic,8
380,linked data,guides,domain knowledge,heuristic,4
381,linked data,provides,libraries,heuristic,83
382,linked data,is,component-based software engineering,heuristic,3
383,background knowledge,uses,linked data,heuristic,5
384,linked data,provides,background knowledge,heuristic,3
385,digital libraries,links,resource description framework (rdf),heuristic,1
386,link prediction,is,semantic search engines,heuristic,2
387,question answering systems,reuses,semantic search engines,heuristic,8
388,semantic search engines,conjunction,question answering systems,heuristic,7
389,semantic search engines,selects,digital libraries,heuristic,2
390,cloud computing,conjunction,semantic search engines,heuristic,1
391,computer science,is,semantic search engines,heuristic,1
392,semantic search engines,represents,semantic concept,heuristic,2
393,semantic search engines,is,information retrieval,heuristic,9
394,semantic search engines,is,web-mining,heuristic,2
395,routing algorithms,uses,semantic web services,heuristic,1
396,storage systems,matches,semantic web services,heuristic,1
397,embedded,provides,ontology alignment,heuristic,1
398,data mining,produces,web ontology language,heuristic,2
399,controlled vocabulary,conjunction,linked data,heuristic,7
400,linked data,conjunction,controlled vocabulary,heuristic,7
401,libraries,provides,linked data,heuristic,95
402,linked data,proposes,computer science,heuristic,3
403,linked data,produces,universities,heuristic,13
404,knowledge representation,selects,linked data,heuristic,2
405,linked data,uses,knowledge representation,heuristic,2
406,ontology technology,analyzes,semantic description,heuristic,1
407,parsing algorithm,produces,resource description framework (rdf),heuristic,2
408,semantic relationships,uses,ontology alignment,heuristic,3
409,recommendation,uses,ontology alignment,heuristic,3
410,visualization,supports,ontology alignment,heuristic,4
411,ajax,conjunction,resource description framework (rdf),heuristic,2
412,resource description framework (rdf),conjunction,ajax,heuristic,2
413,universities,is,resource description framework (rdf),heuristic,4
414,recommendation,is,resource description framework (rdf),heuristic,8
415,semantic relationships,proposes,linked data,heuristic,1
416,resource description framework (rdf),conjunction,testing and debugging,heuristic,1
417,testing and debugging,conjunction,resource description framework (rdf),heuristic,1
418,information exchanges,is,resource description framework (rdf),heuristic,3
419,resource description framework (rdf),includes,web contents,heuristic,10
420,resource description framework (rdf),defines,distributed systems,heuristic,3
421,user profiles,defines,resource description framework (rdf),heuristic,1
422,linked data,improves,information retrieval,heuristic,3
423,linked data,extends,web searches,heuristic,1
424,linked data,annotates,social networks,heuristic,3
425,constraint language,uses,resource description framework (rdf),heuristic,3
426,on-line analytical processing,proposes,linked data,heuristic,2
427,resource description framework (rdf),provides,vocabulary,heuristic,9
428,education,uses,linked data,heuristic,1
429,linked data,is,education,heuristic,4
430,semantic search engines,conjunction,ontology learning,heuristic,2
431,ontology learning,conjunction,semantic search engines,heuristic,2
432,semantic search engines,conjunction,machine learning techniques,heuristic,1
433,machine learning techniques,conjunction,semantic search engines,heuristic,1
434,recommendation,conjunction,semantic search engines,heuristic,3
435,semantic search engines,uses,recommendation,heuristic,4
436,ontology alignment,conjunction,social networks,heuristic,1
437,information retrieval,is,semantic search engine,heuristic,6
438,digital contents,provides,semantic search engines,heuristic,1
439,knowledge representation,uses,semantic search engines,heuristic,7
440,semantic search engines,base,hierarchical models,heuristic,2
441,user navigation,supports,semantic search engines,heuristic,1
442,semantic search engines,improves,user navigation,heuristic,1
443,semantic search engines,improves,semantic search engines,heuristic,2
444,investments,base,linked data,heuristic,3
445,linked data,produces,recommendation,heuristic,3
446,linked data,base,fuzzy sets theory,heuristic,1
447,display,is,linked data,heuristic,1
448,resource description framework (rdf),provides,semantic data,heuristic,5
449,semantic data,produces,resource description framework (rdf),heuristic,4
450,ontology language,proposes,semantic description,heuristic,1
451,web ontology language,produces,grid services,heuristic,3
452,grid services,publishes,web ontology language,heuristic,1
453,software agents,publishes,web ontology language,heuristic,9
454,semantic relationships,defines,resource description framework (rdf),heuristic,5
455,resource description framework (rdf),represents,user profiles,heuristic,4
456,web applications,produces,linked data,heuristic,8
457,linked data,conjunction,knowledge-sharing,heuristic,1
458,knowledge-sharing,conjunction,linked data,heuristic,1
459,ontology alignment,uses,heterogeneous databases,heuristic,1
460,ontology alignment,uses,sensors,heuristic,1
461,linked data,affects,query processing,heuristic,3
462,re-engineering,uses,linked data,heuristic,4
463,linked data,provides,digital contents,heuristic,2
464,relational database systems,is,linked data,heuristic,2
465,linked data,is,user interfaces,heuristic,7
466,semantic search engines,uses,automatic image annotation,heuristic,1
467,automatic image annotation,supports,semantic search engines,heuristic,1
468,vocabulary,uses,semantic search engines,heuristic,1
469,resource description framework (rdf),acquires,domain knowledge,heuristic,10
470,component-based software engineering,proposes,resource description framework (rdf),heuristic,1
471,component-based software engineering,proposes,resource description framework (rdf),heuristic,1
472,linked data,improves,sensors,heuristic,1
473,query expansion,acquires,linked data,heuristic,1
474,linked data,requires,information fusion,heuristic,5
475,resource description framework (rdf),supports,tool support,heuristic,1
476,dynamic environments,produces,resource description framework (rdf),heuristic,2
477,semantic desktop,uses,linked data,heuristic,1
478,visualization,links,linked data,heuristic,3
479,resource description framework (rdf),is,rule engine,heuristic,3
480,automated reasoning,is,web ontology language,heuristic,2
481,ontology merging,automates,web ontology language,heuristic,2
482,web ontology language,produces,search engines,heuristic,3
483,resource description framework (rdf),produces,inference,heuristic,14
484,linked data,provides,digital preservation,heuristic,1
485,data publishing,uses,resource description framework (rdf),heuristic,1
486,semantic data,uses,linked data,heuristic,3
487,linked data,analyzes,semantic data,heuristic,5
488,linked data,supports,information needs,heuristic,2
489,ontology alignment,conjunction,schema integration,heuristic,1
490,schema integration,conjunction,ontology alignment,heuristic,1
491,ontology alignment,conjunction,knowledge acquisition,heuristic,1
492,knowledge acquisition,conjunction,ontology alignment,heuristic,1
493,resource description framework (rdf),analyzes,complex networks,heuristic,2
494,formal models,produces,linked data,heuristic,2
495,linked data,is,image processing,heuristic,2
496,ontology-based,uses,semantic search engine,heuristic,7
497,ontology alignment,conjunction,information extraction,heuristic,2
498,information extraction,conjunction,ontology alignment,heuristic,2
499,clustering algorithms,analyzes,ontology alignment,heuristic,2
500,natural languages,includes,semantic search engines,heuristic,4
501,semantic search engines,acquires,background knowledge,heuristic,3
502,web ontology language,provides,automated reasoning,heuristic,7
503,resource description framework (rdf),improves,knowledge exchange,heuristic,1
504,resource description framework (rdf),uses,formal models,heuristic,1
505,resource description framework (rdf),provides,abstract syntax,heuristic,1
506,knowledge bases,proposes,web ontology language,heuristic,4
507,semantic description,proposes,linked data,heuristic,4
508,text mining,conjunction,linked data,heuristic,1
509,linked data,conjunction,text mining,heuristic,1
510,linked data,uses,recommender systems,heuristic,5
511,linked data,improves,information exchanges,heuristic,4
512,linked data,provides,probability,heuristic,2
513,engine,uses,resource description framework (rdf),heuristic,1
514,engine,uses,resource description framework (rdf),heuristic,1
515,service architecture,base,linked data,heuristic,1
516,son,links,linked data,heuristic,2
517,reasoning algorithms,uses,resource description framework (rdf),heuristic,13
518,resource description framework (rdf),provides,recommendation,heuristic,5
519,pattern,represents,web ontology language,heuristic,4
520,libraries,produces,web ontology language,heuristic,2
521,linked data,provides,search engines,heuristic,4
522,named entity recognition,is,linked data,heuristic,2
523,inference,is,linked data,heuristic,2
524,resource description framework (rdf),proposes,reusability,heuristic,2
525,web ontology language,proposes,reusability,heuristic,2
526,resource description framework (rdf),represents,knowledge management systems,heuristic,2
527,ontology integration,conjunction,ontology alignment,heuristic,1
528,ontology alignment,conjunction,ontology integration,heuristic,1
529,linked data,proposes,data exchange,heuristic,6
530,linked data,proposes,extreme programming,heuristic,2
531,classifiers,links,linked data,heuristic,1
532,data warehouses,uses,ontology alignment,heuristic,3
533,user experience,proposes,resource description framework (rdf),heuristic,2
534,internet,uses,semantic descriptions,heuristic,1
535,user interfaces,uses,semantic descriptions,heuristic,1
536,ternary content addressable memories,links,linked data,heuristic,1
537,linked data,represents,ternary content addressable memories,heuristic,1
538,linked data,provides,computability,heuristic,1
539,data management,requires,linked data,heuristic,2
540,resource description framework (rdf),represents,ontology-based,heuristic,36
541,web applications,base,resource description framework (rdf),heuristic,9
542,world wide web,acquires,resource description framework (rdf),heuristic,18
543,world wide web,publishes,resource description framework (rdf),heuristic,9
544,world wide web,converts,web ontology language,heuristic,12
545,web ontology language,combines,reasoning algorithms,heuristic,5
546,linked data,provides,web applications,heuristic,3
547,semantic search engines,analyzes,information needs,heuristic,10
548,semantic search engine,selects,internet,heuristic,3
549,linked data,produces,named entity recognition,heuristic,3
550,linked data,produces,parsing algorithm,heuristic,5
551,distributed ledgers,conjunction,linked data,heuristic,1
552,linked data,conjunction,distributed ledgers,heuristic,1
553,language acquisition,uses,linked data,heuristic,1
554,linked data,produces,java,heuristic,1
555,multilingualism,conjunction,linked data,heuristic,1
556,linked data,conjunction,multilingualism,heuristic,1
557,linked data,conjunction,spatial data infrastructure,heuristic,1
558,spatial data infrastructure,conjunction,linked data,heuristic,1
559,linked data,supports,mashup,heuristic,9
560,resource description framework (rdf),selects,parsing algorithm,heuristic,3
561,linked data,improves,mobile services,heuristic,2
562,semantic web technologies,provides,semantic web services,heuristic,103
