;s;p;o;source;support
951;cloud computing;is;semantic search engine;luanyi;1
168;cloud computing;conjunction;semantic search engines;luanyi;2
766;cloud computing;conjunction;semantic web services;luanyi;1
743;cloud services;uses;semantic description;luanyi;1
711;cloud storages;conjunction;semantic search engines;luanyi;1
307;clustering algorithms;conjunction;linked data;heuristic;1
246;clustering algorithms;conjunction;ontology alignment;luanyi;1
781;clustering algorithms;conjunction;semantic search engines;luanyi;1
668;collaborative designs;uses;web ontology language;luanyi;1
11;coloured petri nets;represents;semantic web services;heuristic;13
45;coloured petri nets;uses;web ontology language;luanyi;1
938;commerce;requires;ontology alignment;openie;1
396;commerce;conjunction;semantic web services;heuristic;1
106;communication;supports;resource description framework (rdf);heuristic;15
695;communication;produces;semantic web services;heuristic;16
548;community detection;conjunction;semantic search engines;luanyi;2
852;complex networks;conjunction;linked data;luanyi;2
316;component-based software engineering;links;linked data;heuristic;14
967;component-based software engineering;is;ontology alignment;openie;1
823;component-based software engineering;acquires;semantic description;heuristic;11
41;component-based software engineering;selects;semantic web services;heuristic;13
61;component-based software engineering;uses;web ontology language;heuristic;9
551;computer science;uses;linked data;luanyi;1
311;computer vision;uses;semantic description;luanyi;1
374;concept similarity;uses;ontology alignment;luanyi;1
514;constraint language;uses;resource description framework (rdf);heuristic;1
884;content management;conjunction;resource description framework (rdf);heuristic;1
603;content management systems;uses;semantic web services;heuristic;2
337;context modeling;conjunction;ontology alignment;luanyi;1
473;controlled vocabulary;uses;web ontology language;heuristic;2
770;data exchange;conjunction;ontology alignment;luanyi;1
466;data exchange;conjunction;resource description framework (rdf);luanyi;1
966;data integration;uses;linked data;luanyi;2
361;data integration;conjunction;ontology alignment;luanyi;5
495;data integration;publishes;resource description framework (rdf);heuristic;13
810;data integration;conjunction;semantic search engines;luanyi;2
44;data integration;uses;web ontology language;luanyi;1
511;data management;uses;linked data;heuristic;14
569;data management;conjunction;semantic search engines;luanyi;1
151;data mining;conjunction;ontology alignment;luanyi;1
929;data mining;provides;semantic web services;heuristic;10
940;data publishing;uses;linked data;luanyi;1
493;data publishing;uses;resource description framework (rdf);openie;1
380;data security;conjunction;semantic description;luanyi;2
861;data sparsity;uses;linked data;luanyi;1
599;data visualization;conjunction;linked data;heuristic;1
534;data warehousing;conjunction;ontology alignment;luanyi;1
292;database systems;includes;semantic description;luanyi;1
818;database systems;includes;semantic descriptions;luanyi;1
777;database systems;conjunction;semantic search engines;luanyi;1
736;dbpedia;is;linked data;luanyi;4
450;dbpedia;produces;resource description framework (rdf);heuristic;9
278;deontic logic;is;web ontology language;luanyi;1
113;description logics;proposes;semantic web services;heuristic;9
322;description logics;uses;web ontology language;luanyi;7
652;digital contents;uses;linked data;luanyi;1
726;digital libraries;uses;linked data;luanyi;1
836;digital libraries;conjunction;resource description framework (rdf);luanyi;1
40;digital libraries;conjunction;semantic search engines;heuristic;1
815;digital libraries;uses;semantic web services;luanyi;2
464;distributed hash table;includes;semantic web services;luanyi;1
780;distributed ledgers;conjunction;linked data;luanyi;1
887;distributed query processing;uses;linked data;luanyi;1
880;document classification;conjunction;semantic search engines;luanyi;1
700;document clustering;uses;semantic search engines;luanyi;1
590;domain knowledge;uses;resource description framework (rdf);heuristic;1
211;domain knowledge;uses;semantic description;luanyi;1
745;domain knowledge;uses;semantic search engines;luanyi;1
13;domain knowledge;uses;semantic web services;luanyi;1
574;domain knowledge;uses;web ontology language;luanyi;3
820;domain-specific ontologies;uses;ontology alignment;luanyi;2
25;domain-specific ontologies;uses;resource description framework (rdf);heuristic;2
908;domain-specific ontologies;uses;semantic search engines;heuristic;13
626;domain-specific ontologies;conjunction;semantic web services;luanyi;3
481;domain-specific ontologies;uses;web ontology language;luanyi;3
594;dublin core;is;resource description framework (rdf);luanyi;1
972;dublin core;conjunction;web ontology language;luanyi;2
661;education;conjunction;resource description framework (rdf);luanyi;1
786;education;uses;web ontology language;heuristic;1
15;electrical discharge machining;conjunction;semantic search engine;luanyi;1
648;electronic commerce;uses;ontology alignment;luanyi;1
408;electronic commerce;conjunction;semantic web services;luanyi;2
684;engine;links;linked data;heuristic;13
699;engine;uses;resource description framework (rdf);heuristic;10
507;engine;provides;semantic search engines;heuristic;56
756;engine;uses;web ontology language;heuristic;13
255;engineering;converts;linked data;heuristic;10
399;engineering;conjunction;semantic web services;luanyi;2
386;engineering;produces;web ontology language;heuristic;11
704;enterprise architecture;uses;resource description framework (rdf);luanyi;1
445;enterprise architecture;uses;semantic web services;heuristic;1
228;extensible markup language;conjunction;resource description framework (rdf);luanyi;13
338;extensible markup language;conjunction;web ontology language;luanyi;2
934;extreme programming;conjunction;linked data;luanyi;1
244;facebook;is;semantic search engines;luanyi;1
619;facial expressions;uses;linked data;heuristic;1
902;feature space;conjunction;semantic search engines;luanyi;1
639;formal models;uses;semantic web services;heuristic;7
907;formal specifications;uses;resource description framework (rdf);heuristic;1
267;fuzzy clustering techniques;conjunction;semantic web services;luanyi;1
841;fuzzy ontology;uses;semantic search engine;luanyi;1
912;geographic information system;uses;linked data;luanyi;1
990;geospatial data;uses;semantic description;luanyi;2
350;grid computing;conjunction;semantic search engines;luanyi;1
997;grid computing;is;semantic web services;luanyi;1
609;grid services;uses;semantic description;luanyi;1
67;grid services;uses;web ontology language;luanyi;2
620;html5;conjunction;linked data;luanyi;1
375;hypervisor;is;linked data;luanyi;1
429;hypervisor;conjunction;web ontology language;luanyi;1
653;image annotation;conjunction;semantic web services;luanyi;1
666;image processing;conjunction;semantic web services;luanyi;1
555;image retrieval;uses;ontology alignment;luanyi;1
763;image search;uses;semantic description;heuristic;1
179;image search;conjunction;semantic search engines;heuristic;1
80;inference;conjunction;ontology alignment;heuristic;1
98;inference;uses;resource description framework (rdf);luanyi;2
707;inference;is;semantic search engine;luanyi;1
916;inference;uses;web ontology language;openie;1
298;information acquisitions;uses;semantic search engines;luanyi;1
221;information extraction;uses;linked data;luanyi;1
205;information extraction;conjunction;ontology alignment;luanyi;1
869;information filtering;uses;semantic description;luanyi;1
32;information fusion;uses;linked data;luanyi;1
773;information fusion;conjunction;ontology alignment;luanyi;1
829;information fusion;conjunction;semantic search engines;heuristic;1
802;information integration;uses;linked data;heuristic;3
416;information integration;conjunction;semantic search engines;luanyi;2
177;information integration;conjunction;semantic web services;luanyi;4
809;information integration;conjunction;web ontology language;luanyi;1
898;information needs;uses;linked data;luanyi;1
234;information retrieval;uses;linked data;luanyi;1
460;information retrieval;conjunction;ontology alignment;luanyi;2
958;information retrieval;uses;resource description framework (rdf);luanyi;1
110;information retrieval;uses;semantic description;heuristic;1
885;information retrieval;uses;semantic search engine;luanyi;1
164;information retrieval;uses;semantic search engines;luanyi;2
428;information retrieval;is;semantic web services;luanyi;2
342;information retrieval;conjunction;web ontology language;luanyi;1
303;information sharing;is;resource description framework (rdf);luanyi;1
279;information systems;uses;linked data;luanyi;1
855;information systems;conjunction;ontology alignment;heuristic;1
886;intelligent agents;conjunction;resource description framework (rdf);heuristic;1
217;intelligent agents;conjunction;semantic web services;luanyi;4
63;intelligent software agent;conjunction;semantic web services;luanyi;1
754;intelligent tutoring systems;uses;web ontology language;luanyi;1
152;internet;links;linked data;heuristic;14
674;investments;uses;linked data;heuristic;1
74;java;conjunction;resource description framework (rdf);luanyi;1
294;java;conjunction;web ontology language;luanyi;2
672;javascript;conjunction;resource description framework (rdf);luanyi;1
256;keyword search;uses;linked data;luanyi;2
552;keyword search;conjunction;semantic search engines;luanyi;5
268;knowledge acquisition;conjunction;ontology alignment;luanyi;1
632;knowledge bases;uses;linked data;luanyi;1
664;knowledge bases;conjunction;resource description framework (rdf);luanyi;2
26;knowledge bases;uses;semantic search engine;heuristic;3
998;knowledge bases;conjunction;semantic search engines;luanyi;3
108;knowledge bases;conjunction;semantic web services;luanyi;1
66;knowledge bases;uses;web ontology language;luanyi;2
329;knowledge discovery;uses;linked data;luanyi;3
544;knowledge discovery;uses;resource description framework (rdf);luanyi;1
517;knowledge engineering;uses;linked data;luanyi;2
630;knowledge exchange;uses;ontology alignment;luanyi;1
923;knowledge exchange;uses;resource description framework (rdf);luanyi;1
722;knowledge management;conjunction;semantic search engines;luanyi;1
788;knowledge management;is;semantic web services;luanyi;2
17;knowledge management systems;uses;linked data;luanyi;1
2;knowledge management systems;uses;resource description framework (rdf);luanyi;1
601;knowledge management systems;uses;web ontology language;heuristic;1
166;knowledge representation;conjunction;ontology alignment;luanyi;1
571;knowledge representation;uses;resource description framework (rdf);luanyi;1
203;knowledge representation;provides;semantic description;heuristic;9
419;knowledge representation;uses;semantic search engines;heuristic;9
224;knowledge representation;conjunction;semantic web services;luanyi;2
78;knowledge representation;uses;web ontology language;luanyi;1
592;knowledge representation and reasoning;uses;resource description framework (rdf);luanyi;1
289;knowledge-sharing;uses;ontology alignment;luanyi;3
974;knowledge-sharing;conjunction;semantic search engines;luanyi;1
51;language acquisition;uses;linked data;heuristic;1
223;learning;produces;linked data;heuristic;23
608;learning;improves;ontology alignment;heuristic;11
156;learning;uses;resource description framework (rdf);heuristic;9
837;learning;provides;semantic search engines;heuristic;10
588;learning;conjunction;semantic web services;luanyi;2
613;learning objects;uses;ontology alignment;heuristic;1
686;learning objects;uses;semantic search engines;luanyi;1
288;learning organizations;includes;semantic search engine;luanyi;1
138;libraries;uses;linked data;luanyi;1
454;libraries;uses;resource description framework (rdf);openie;1
547;libraries;conjunction;semantic search engines;heuristic;1
814;link prediction;conjunction;semantic search engines;luanyi;1
831;linked data;conjunction;adaptive hypermedia;heuristic;1
245;linked data;conjunction;artificial intelligence;luanyi;1
468;linked data;links;authentication;heuristic;11
991;linked data;provides;background knowledge;openie;1
512;linked data;improves;bibliographic data;openie;3
848;linked data;conjunction;cloud services;luanyi;1
774;linked data;conjunction;clustering algorithms;heuristic;1
832;linked data;is;component-based software engineering;openie;1
758;linked data;uses;concept lattices;luanyi;1
561;linked data;provides;data integration;openie;1
19;linked data;links;data publishing;heuristic;9
103;linked data;conjunction;data visualization;luanyi;1
808;linked data;produces;dbpedia;heuristic;37
846;linked data;supports;dialogue;openie;1
420;linked data;includes;digital libraries;luanyi;2
144;linked data;conjunction;digital preservation;luanyi;1
976;linked data;conjunction;distributed ledgers;heuristic;1
712;linked data;uses;engine;heuristic;3
352;linked data;uses;hadoop;heuristic;2
120;linked data;conjunction;html5;heuristic;1
37;linked data;supports;information integration;heuristic;2
264;linked data;improves;information retrieval;heuristic;6
677;linked data;produces;internet;heuristic;23
486;linked data;uses;javascript;heuristic;11
240;linked data;provides;knowledge bases;heuristic;20
297;linked data;conjunction;knowledge representation;luanyi;1
247;linked data;produces;learning;heuristic;27
215;linked data;provides;libraries;heuristic;52
618;linked data;conjunction;linked data;luanyi;4
860;linked data;conjunction;linked open data;luanyi;2
351;linked data;conjunction;machine learning techniques;luanyi;1
568;linked data;supports;mashup;heuristic;11
334;linked data;uses;mobile devices;luanyi;2
721;linked data;conjunction;mobile web;heuristic;1
563;linked data;conjunction;multilingualism;heuristic;1
76;linked data;conjunction;natural language processing systems;luanyi;2
792;linked data;uses;natural languages;luanyi;1
22;linked data;conjunction;ontologies;luanyi;3
212;linked data;uses;ontology alignment;heuristic;1
692;linked data;conjunction;ontology construction;luanyi;1
38;linked data;supports;parsing algorithm;openie;1
779;linked data;conjunction;process modelling;luanyi;1
739;linked data;conjunction;query processing;luanyi;2
366;linked data;uses;question answering systems;luanyi;1
787;linked data;uses;rdf data;heuristic;27
265;linked data;uses;relational database systems;luanyi;1
572;linked data;conjunction;representational state transfer;heuristic;1
742;linked data;conjunction;resource description framework (rdf);luanyi;1
804;linked data;uses;rule engine;luanyi;1
114;linked data;provides;semantic data;heuristic;20
357;linked data;provides;semantic interoperability;openie;2
753;linked data;supports;semantic metadata;heuristic;9
102;linked data;conjunction;semantic search engines;luanyi;3
266;linked data;conjunction;semantic similarity measures;luanyi;2
68;linked data;uses;semantic web technologies;luanyi;2
354;linked data;links;sensor data;heuristic;11
528;linked data;conjunction;social networks;luanyi;2
436;linked data;includes;social sciences;luanyi;1
573;linked data;uses;software design patterns;luanyi;1
992;linked data;conjunction;software development life cycle;luanyi;1
397;linked data;uses;sparql;luanyi;5
875;linked data;conjunction;spatial data infrastructure;luanyi;1
341;linked data;conjunction;text mining;luanyi;1
960;linked data;conjunction;textual data;luanyi;1
477;linked data;conjunction;twitter;heuristic;1
856;linked data;produces;universities;heuristic;15
827;linked data;conjunction;user interface designs;luanyi;1
141;linked data;uses;user profiles;heuristic;4
3;linked data;produces;user query;heuristic;11
735;linked data;acquires;user-generated content;heuristic;9
455;linked data;conjunction;vocabulary;luanyi;1
105;linked data;conjunction;web 2.0;heuristic;5
717;linked data;produces;web applications;heuristic;11
669;linked data;improves;web contents;openie;1
575;linked data;produces;web of data;heuristic;58
84;linked data;is;world wide web;luanyi;1
284;linked open data;links;linked data;heuristic;29
890;linked open data;includes;resource description framework (rdf);heuristic;9
31;linked open data;conjunction;semantic search engine;luanyi;1
714;linked open data;conjunction;semantic search engines;luanyi;2
782;linked open data;conjunction;semantic web services;luanyi;1
301;logic programming;is;web ontology language;luanyi;1
698;logistics;uses;semantic web services;heuristic;11
705;machine learning techniques;uses;linked data;heuristic;2
531;machine translation systems;conjunction;semantic search engines;luanyi;1
148;machining;uses;web ontology language;heuristic;1
694;manets;includes;semantic descriptions;luanyi;2
959;mashup;selects;semantic web services;openie;1
783;mass customization;uses;semantic description;luanyi;1
207;microdata;uses;linked data;heuristic;1
936;mobile applications;uses;linked data;heuristic;2
172;mobile applications;uses;semantic description;heuristic;1
924;mobile services;uses;linked data;luanyi;1
181;mobile web;conjunction;linked data;heuristic;1
56;model transformations;uses;ontology alignment;luanyi;1
962;modeling languages;uses;web ontology language;luanyi;4
53;mse;uses;web ontology language;heuristic;1
723;multimedia contents;uses;web ontology language;heuristic;1
816;named entity recognition;uses;linked data;heuristic;2
527;named entity recognition;is;resource description framework (rdf);luanyi;1
977;natural language interfaces;uses;ontology alignment;luanyi;1
796;natural language processing systems;conjunction;ontology alignment;luanyi;2
398;natural language processing systems;uses;semantic description;heuristic;1
201;natural language processing systems;conjunction;semantic search engines;luanyi;1
807;natural language processing systems;conjunction;semantic web services;luanyi;1
654;natural language processing systems;conjunction;web ontology language;luanyi;1
825;natural language understanding;conjunction;semantic search engines;luanyi;2
340;network management;uses;semantic web services;heuristic;1
126;on-line learning;conjunction;linked data;luanyi;1
882;ontologies;conjunction;linked data;luanyi;9
487;ontologies;conjunction;ontology alignment;luanyi;6
248;ontologies;conjunction;resource description framework (rdf);luanyi;9
778;ontologies;produces;semantic description;heuristic;56
859;ontologies;produces;semantic descriptions;openie;1
276;ontologies;uses;semantic search engine;heuristic;15
957;ontologies;executes;semantic search engines;openie;2
532;ontologies;uses;semantic web services;heuristic;226
834;ontologies;uses;web ontology language;luanyi;25
904;ontology alignment;uses;answering queries;heuristic;7
759;ontology alignment;uses;argumentation;luanyi;2
876;ontology alignment;uses;automated reasoning;luanyi;1
813;ontology alignment;conjunction;automatic classification;luanyi;1
526;ontology alignment;uses;background knowledge;luanyi;1
989;ontology alignment;uses;bayesian networks;luanyi;1
854;ontology alignment;conjunction;blogs;luanyi;1
60;ontology alignment;conjunction;change detection;luanyi;1
546;ontology alignment;uses;clone detection;heuristic;1
328;ontology alignment;conjunction;clustering algorithms;luanyi;3
718;ontology alignment;produces;communication;openie;1
583;ontology alignment;is;computer science;luanyi;1
899;ontology alignment;conjunction;concept lattices;luanyi;1
381;ontology alignment;executes;concept similarity;heuristic;21
589;ontology alignment;conjunction;context modeling;heuristic;1
263;ontology alignment;uses;controlled natural language;luanyi;1
313;ontology alignment;is;data integration;heuristic;20
744;ontology alignment;conjunction;data management;heuristic;1
243;ontology alignment;uses;decision tables;heuristic;1
283;ontology alignment;uses;description logics;heuristic;1
427;ontology alignment;uses;distributed environments;luanyi;1
641;ontology alignment;conjunction;document clustering;luanyi;1
379;ontology alignment;uses;domain-specific ontologies;luanyi;1
238;ontology alignment;conjunction;engineering;luanyi;2
46;ontology alignment;conjunction;evaluation system;luanyi;1
713;ontology alignment;conjunction;facebook;luanyi;1
730;ontology alignment;uses;fuzzy sets theory;luanyi;1
522;ontology alignment;uses;grid environments;luanyi;2
775;ontology alignment;uses;hownet;heuristic;1
537;ontology alignment;uses;image retrieval;heuristic;2
732;ontology alignment;conjunction;inference;luanyi;1
163;ontology alignment;conjunction;information extraction;luanyi;1
401;ontology alignment;conjunction;information fusion;heuristic;1
949;ontology alignment;is;information integration;luanyi;2
89;ontology alignment;conjunction;information retrieval;luanyi;1
696;ontology alignment;uses;interactive visualizations;luanyi;2
95;ontology alignment;conjunction;knowledge acquisition;luanyi;2
14;ontology alignment;uses;knowledge bases;heuristic;2
888;ontology alignment;supports;knowledge exchange;openie;1
910;ontology alignment;conjunction;learning;luanyi;2
706;ontology alignment;uses;machine learning techniques;luanyi;1
993;ontology alignment;is;modeling languages;luanyi;1
472;ontology alignment;uses;mutual informations;luanyi;1
505;ontology alignment;conjunction;ontologies;luanyi;6
348;ontology alignment;uses;ontology alignment;luanyi;4
749;ontology alignment;conjunction;ontology construction;luanyi;1
964;ontology alignment;conjunction;ontology evolution;luanyi;1
325;ontology alignment;uses;ontology integration;luanyi;1
302;ontology alignment;conjunction;ontology learning;luanyi;1
508;ontology alignment;conjunction;ontology merging;luanyi;1
258;ontology alignment;uses;ontology technology;luanyi;1
764;ontology alignment;uses;particle swarm optimization algorithms;luanyi;1
253;ontology alignment;includes;pervasive computing environments;luanyi;1
0;ontology alignment;uses;posterior probability;luanyi;1
524;ontology alignment;conjunction;question answering systems;luanyi;1
673;ontology alignment;conjunction;reasoning algorithms;luanyi;3
811;ontology alignment;uses;relational database systems;luanyi;1
913;ontology alignment;uses;rough sets theory;luanyi;1
795;ontology alignment;conjunction;schema integration;heuristic;1
129;ontology alignment;conjunction;schema mappings;luanyi;2
97;ontology alignment;conjunction;schema matching;heuristic;1
983;ontology alignment;conjunction;search engines;heuristic;1
79;ontology alignment;is;semantic descriptions;luanyi;2
536;ontology alignment;uses;semantic interoperability;luanyi;1
504;ontology alignment;conjunction;semantic relationships;luanyi;3
196;ontology alignment;conjunction;semantic similarity measures;luanyi;2
192;ontology alignment;is;semantic web technologies;luanyi;1
405;ontology alignment;conjunction;sentence similarity;luanyi;2
315;ontology alignment;conjunction;service orchestration;heuristic;1
382;ontology alignment;conjunction;social networks;luanyi;1
643;ontology alignment;conjunction;spatial databases;heuristic;1
385;ontology alignment;conjunction;testing and debugging;luanyi;1
274;ontology alignment;conjunction;text mining;luanyi;1
435;ontology alignment;uses;vector space models;luanyi;1
503;ontology alignment;conjunction;web 2.0;luanyi;1
33;ontology alignment;supports;web applications;heuristic;9
665;ontology alignment;is;web of data;luanyi;1
955;ontology alignment;conjunction;web service composition;luanyi;1
170;ontology alignment;conjunction;web-mining;heuristic;1
850;ontology alignment;conjunction;word sense disambiguation;heuristic;1
204;ontology alignment;uses;wordnet;luanyi;1
346;ontology building;conjunction;ontology alignment;luanyi;2
628;ontology building;conjunction;semantic search engines;luanyi;2
600;ontology construction;uses;linked data;luanyi;1
702;ontology construction;conjunction;ontology alignment;luanyi;2
424;ontology construction;uses;resource description framework (rdf);heuristic;1
920;ontology construction;uses;semantic descriptions;heuristic;2
733;ontology construction;conjunction;semantic search engines;heuristic;1
483;ontology construction;uses;web ontology language;luanyi;1
975;ontology development;conjunction;ontology alignment;luanyi;2
538;ontology development;conjunction;web ontology language;luanyi;1
171;ontology evaluation;conjunction;ontology alignment;luanyi;1
43;ontology evolution;conjunction;ontology alignment;luanyi;1
392;ontology evolution;is;semantic descriptions;luanyi;1
635;ontology evolution;conjunction;semantic search engines;luanyi;1
614;ontology integration;includes;ontology alignment;luanyi;1
81;ontology language;uses;resource description framework (rdf);luanyi;1
862;ontology language;defines;semantic web services;heuristic;18
797;ontology language;conjunction;web ontology language;luanyi;1
149;ontology learning;conjunction;ontology alignment;luanyi;1
169;ontology learning;uses;resource description framework (rdf);heuristic;1
71;ontology learning;is;semantic descriptions;luanyi;2
681;ontology learning;conjunction;semantic search engines;heuristic;1
27;ontology merging;conjunction;ontology alignment;luanyi;2
290;ontology modeling;conjunction;ontology alignment;luanyi;1
414;ontology technology;conjunction;semantic web services;heuristic;2
291;ontology technology;conjunction;web ontology language;luanyi;2
835;open source software;uses;linked data;luanyi;1
21;organizational memory;uses;resource description framework (rdf);heuristic;1
988;orthography;conjunction;semantic search engines;luanyi;1
112;parsing algorithm;uses;linked data;luanyi;1
489;personalized services;conjunction;semantic web services;luanyi;1
157;pervasive;conjunction;semantic search engines;heuristic;1
474;petri nets;uses;semantic web services;heuristic;23
187;phonology;conjunction;semantic search engines;luanyi;1
418;policy specification;uses;resource description framework (rdf);luanyi;1
740;privacy;uses;web ontology language;heuristic;1
502;process management;combines;semantic web services;heuristic;9
491;product configuration;uses;web ontology language;heuristic;1
467;product family design;uses;web ontology language;heuristic;1
320;programming languages;conjunction;resource description framework (rdf);luanyi;1
101;propositional logic;uses;web ontology language;heuristic;1
737;query expansion;uses;ontology alignment;luanyi;1
821;query processing;links;linked data;heuristic;20
996;query processing;uses;ontology alignment;luanyi;1
968;question answering systems;uses;linked data;luanyi;3
109;question answering systems;uses;ontology alignment;luanyi;3
199;question answering systems;uses;semantic search engine;luanyi;1
413;question answering systems;conjunction;semantic search engines;luanyi;4
731;rdf data;interacts;linked data;heuristic;22
607;rdf data;uses;resource description framework (rdf);heuristic;29
838;rdf data;uses;semantic search engine;luanyi;1
230;re-engineering;uses;linked data;heuristic;4
140;reasoning algorithms;provides;linked data;heuristic;11
280;reasoning algorithms;uses;semantic web services;heuristic;19
4;reasoning algorithms;conjunction;web ontology language;luanyi;1
602;recommendation;is;linked data;luanyi;1
519;recommendation;conjunction;semantic search engine;heuristic;1
349;recommendation;conjunction;semantic web services;luanyi;1
219;recommender systems;uses;linked data;luanyi;1
174;recommender systems;includes;semantic web services;luanyi;1
900;relation extraction;uses;semantic search engine;luanyi;1
158;relational database systems;uses;ontology alignment;heuristic;1
178;relational database systems;conjunction;resource description framework (rdf);luanyi;2
373;relational database systems;acquires;web ontology language;heuristic;12
388;representational state transfer;conjunction;web ontology language;luanyi;1
30;resource description framework (rdf);uses;abstract syntax;luanyi;1
701;resource description framework (rdf);conjunction;ajax;luanyi;1
200;resource description framework (rdf);conjunction;caching;luanyi;1
729;resource description framework (rdf);includes;component-based software engineering;luanyi;1
139;resource description framework (rdf);is;constraint language;heuristic;1
725;resource description framework (rdf);conjunction;content management;heuristic;1
585;resource description framework (rdf);uses;data exchange;heuristic;10
49;resource description framework (rdf);conjunction;data integration;luanyi;1
851;resource description framework (rdf);conjunction;data mining;luanyi;1
927;resource description framework (rdf);uses;database systems;luanyi;3
100;resource description framework (rdf);conjunction;dbpedia;luanyi;2
482;resource description framework (rdf);conjunction;description logics;luanyi;1
400;resource description framework (rdf);uses;digital libraries;luanyi;1
650;resource description framework (rdf);acquires;domain knowledge;heuristic;9
842;resource description framework (rdf);conjunction;dublin core;luanyi;1
70;resource description framework (rdf);uses;engine;heuristic;9
525;resource description framework (rdf);conjunction;extensible markup language;luanyi;4
687;resource description framework (rdf);uses;formal specifications;heuristic;5
703;resource description framework (rdf);produces;inference;heuristic;26
529;resource description framework (rdf);conjunction;intelligent agents;luanyi;1
980;resource description framework (rdf);proposes;internet;heuristic;11
521;resource description framework (rdf);extends;knowledge bases;heuristic;12
918;resource description framework (rdf);conjunction;learning object metadata;luanyi;1
371;resource description framework (rdf);uses;libraries;heuristic;12
833;resource description framework (rdf);conjunction;linked data;luanyi;7
391;resource description framework (rdf);is;linked open data;luanyi;8
931;resource description framework (rdf);conjunction;microdata;luanyi;1
36;resource description framework (rdf);conjunction;natural language processing systems;luanyi;1
791;resource description framework (rdf);conjunction;ontologies;luanyi;4
73;resource description framework (rdf);is;ontology language;luanyi;11
173;resource description framework (rdf);provides;ontology modeling;openie;1
335;resource description framework (rdf);conjunction;optimization;luanyi;1
77;resource description framework (rdf);uses;query optimization;luanyi;1
90;resource description framework (rdf);includes;rdf data;luanyi;1
679;resource description framework (rdf);uses;rdf graph;heuristic;21
257;resource description framework (rdf);conjunction;reasoning algorithms;luanyi;1
395;resource description framework (rdf);is;recommendation;openie;2
55;resource description framework (rdf);uses;relational data;luanyi;1
324;resource description framework (rdf);matches;relational database systems;heuristic;29
20;resource description framework (rdf);uses;search engines;heuristic;16
545;resource description framework (rdf);includes;semantic data;luanyi;1
651;resource description framework (rdf);is;semantic interoperability;luanyi;1
321;resource description framework (rdf);is;semantic relationships;luanyi;2
806;resource description framework (rdf);conjunction;semantic web rule languages;luanyi;7
378;resource description framework (rdf);produces;semantic web services;heuristic;10
939;resource description framework (rdf);is;semantic web technologies;luanyi;68
978;resource description framework (rdf);is;semantic wikis;luanyi;1
387;resource description framework (rdf);provides;service ontology;heuristic;1
909;resource description framework (rdf);is;social networks;luanyi;1
540;resource description framework (rdf);includes;social sciences;luanyi;1
480;resource description framework (rdf);conjunction;sparql;luanyi;63
803;resource description framework (rdf);conjunction;spatial data;luanyi;1
963;resource description framework (rdf);supports;tool support;heuristic;1
330;resource description framework (rdf);is;vocabulary;luanyi;2
849;resource description framework (rdf);is;web applications;luanyi;8
638;resource description framework (rdf);represents;web contents;openie;1
327;resource description framework (rdf);is;web engineering;luanyi;1
584;resource description framework (rdf);represents;web information;openie;1
394;resource description framework (rdf);conjunction;web ontology language;luanyi;233
189;resource description framework (rdf);conjunction;web-searching;luanyi;1
539;resource description framework (rdf);conjunction;world wide web;luanyi;1
760;resource description framework (rdf);includes;xml data;openie;1
308;resource description framework (rdf);conjunction;xpath;luanyi;1
96;resource discovery;uses;linked data;heuristic;1
