;s;p;o;source;support;Danilo;
540;data integration;uses;semantic web services;luanyi;1;y;
654;data integration;uses;web ontology language;luanyi;1;y;
568;data management;uses;linked data;heuristic;14;y;
1027;data management;conjunction;semantic search engines;luanyi;1;y;
10;data mining;conjunction;ontology alignment;luanyi;1;y;
881;data mining;provides;semantic web services;heuristic;10;y;
1028;data publishing;uses;linked data;luanyi;1;y;
940;data publishing;uses;resource description framework (rdf);openie;1;y;
604;data security;conjunction;semantic description;luanyi;2;y;
379;data sparsity;uses;linked data;luanyi;1;n;
335;data visualization;conjunction;linked data;heuristic;1;y;
556;data warehousing;conjunction;ontology alignment;luanyi;1;y;
226;database systems;includes;semantic description;luanyi;1;y;
712;database systems;includes;semantic descriptions;luanyi;1;y;
246;database systems;conjunction;semantic search engines;luanyi;1;y;
839;dbpedia;is;linked data;luanyi;4;y;
560;dbpedia;produces;resource description framework (rdf);heuristic;9;n;
188;deontic logic;is;web ontology language;luanyi;1;y;
786;description logics;proposes;semantic web services;heuristic;9;n;
294;description logics;uses;web ontology language;luanyi;7;y;
511;digital contents;uses;linked data;luanyi;1;y;
476;digital libraries;uses;linked data;luanyi;1;y;
376;digital libraries;conjunction;resource description framework (rdf);luanyi;1;y;
569;digital libraries;conjunction;semantic search engines;heuristic;1;y;
564;digital libraries;uses;semantic web services;luanyi;2;y;
437;distributed hash table;includes;semantic web services;luanyi;1;n;
884;distributed ledgers;conjunction;linked data;luanyi;1;y;
578;distributed query processing;uses;linked data;luanyi;1;y;
209;document classification;conjunction;semantic search engines;luanyi;1;y;
295;document clustering;uses;semantic search engines;luanyi;1;y;
217;domain knowledge;uses;resource description framework (rdf);heuristic;1;y;
239;domain knowledge;uses;semantic description;luanyi;1;y;
1018;domain knowledge;uses;semantic search engines;luanyi;1;y;
482;domain knowledge;uses;semantic web services;luanyi;1;y;
207;domain knowledge;uses;web ontology language;luanyi;3;n;
478;domain-specific ontologies;uses;ontology alignment;luanyi;2;y;
33;domain-specific ontologies;uses;resource description framework (rdf);heuristic;2;y;
970;domain-specific ontologies;uses;semantic search engines;heuristic;13;n;
417;domain-specific ontologies;conjunction;semantic web services;luanyi;3;y;
769;domain-specific ontologies;uses;web ontology language;luanyi;3;y;
467;dublin core;is;resource description framework (rdf);luanyi;1;n;
456;dublin core;conjunction;web ontology language;luanyi;2;y;
495;education;conjunction;resource description framework (rdf);luanyi;1;n;
920;education;uses;web ontology language;heuristic;1;n;
352;electrical discharge machining;conjunction;semantic search engine;luanyi;1;n;
199;electronic commerce;uses;ontology alignment;luanyi;1;n;
98;electronic commerce;conjunction;semantic web services;luanyi;2;n;
978;engine;links;linked data;heuristic;13;y;
203;engine;uses;resource description framework (rdf);heuristic;10;y;
374;engine;provides;semantic search engines;heuristic;56;y;
900;engine;base;semantic web services;heuristic;17;y;
544;engine;uses;web ontology language;heuristic;13;y;
290;engineering;converts;linked data;heuristic;10;y;
677;engineering;conjunction;semantic web services;luanyi;2;n;
452;engineering;produces;web ontology language;heuristic;11;y;
315;enterprise architecture;uses;resource description framework (rdf);luanyi;1;y;
227;enterprise architecture;uses;semantic web services;heuristic;1;y;
343;extensible markup language;conjunction;resource description framework (rdf);luanyi;13;y;
254;extensible markup language;conjunction;web ontology language;luanyi;2;y;
234;extreme programming;conjunction;linked data;luanyi;1;y;
761;facebook;is;semantic search engines;luanyi;1;n;
411;facial expressions;uses;linked data;heuristic;1;n;
79;feature space;conjunction;semantic search engines;luanyi;1;n;
144;formal models;uses;semantic web services;heuristic;7;y;
915;formal specifications;uses;resource description framework (rdf);heuristic;1;y;
202;fuzzy clustering techniques;conjunction;semantic web services;luanyi;1;y;
602;fuzzy ontology;uses;semantic search engine;luanyi;1;n;
318;geographic information system;uses;linked data;luanyi;1;y;
52;geospatial data;uses;semantic description;luanyi;2;y;
123;grid computing;conjunction;semantic search engines;luanyi;1;y;
34;grid computing;is;semantic web services;luanyi;1;y;
787;grid services;uses;semantic description;luanyi;1;y;
129;grid services;uses;web ontology language;luanyi;2;y;
53;html5;conjunction;linked data;luanyi;1;n;
696;hypervisor;is;linked data;luanyi;1;n;
608;hypervisor;conjunction;web ontology language;luanyi;1;n;
89;image annotation;conjunction;semantic web services;luanyi;1;y;
265;image processing;conjunction;semantic web services;luanyi;1;n;
820;image retrieval;uses;ontology alignment;luanyi;1;y;
911;image search;uses;semantic description;heuristic;1;y;
562;image search;conjunction;semantic search engines;heuristic;1;y;
692;inference;conjunction;ontology alignment;heuristic;1;y;
678;inference;uses;resource description framework (rdf);luanyi;2;y;
832;inference;is;semantic search engine;luanyi;1;n;
228;inference;uses;web ontology language;openie;1;y;
823;information acquisitions;uses;semantic search engines;luanyi;1;y;
264;information extraction;uses;linked data;luanyi;1;y;
573;information extraction;conjunction;ontology alignment;luanyi;1;y;
21;information extraction;conjunction;semantic search engines;luanyi;5;y;
699;information filtering;uses;semantic description;luanyi;1;y;
218;information fusion;uses;linked data;luanyi;1;y;
827;information fusion;conjunction;ontology alignment;luanyi;1;y;
799;information fusion;conjunction;semantic search engines;heuristic;1;y;
238;information integration;uses;linked data;heuristic;3;y;
664;information integration;conjunction;ontology alignment;luanyi;1;y;
510;information integration;conjunction;semantic search engines;luanyi;2;y;
419;information integration;conjunction;semantic web services;luanyi;4;y;
236;information integration;conjunction;web ontology language;luanyi;1;y;
18;information needs;uses;linked data;luanyi;1;n;
512;information retrieval;uses;linked data;luanyi;1;y;
278;information retrieval;conjunction;ontology alignment;luanyi;2;y;
734;information retrieval;uses;resource description framework (rdf);luanyi;1;y;
498;information retrieval;uses;semantic description;heuristic;1;y;
388;information retrieval;uses;semantic search engine;luanyi;1;y;?
1010;information retrieval;uses;semantic search engines;luanyi;2;y;
567;information retrieval;is;semantic web services;luanyi;2;y;
158;information retrieval;conjunction;web ontology language;luanyi;1;y;
298;information sharing;is;resource description framework (rdf);luanyi;1;n;
347;information systems;uses;linked data;luanyi;1;y;
802;information systems;conjunction;ontology alignment;heuristic;1;y;
468;intelligent agents;conjunction;resource description framework (rdf);heuristic;1;y;
863;intelligent agents;conjunction;semantic web services;luanyi;4;y;
629;intelligent software agent;conjunction;semantic web services;luanyi;1;y;
267;intelligent tutoring systems;uses;web ontology language;luanyi;1;y;
916;internet;links;linked data;heuristic;14;y;
16;investments;uses;linked data;heuristic;1;n;
928;java;conjunction;resource description framework (rdf);luanyi;1;y;
718;java;conjunction;web ontology language;luanyi;2;y;
646;javascript;conjunction;resource description framework (rdf);luanyi;1;y;
29;keyword search;uses;linked data;luanyi;2;n;
727;keyword search;conjunction;semantic search engines;luanyi;5;y;
211;knowledge acquisition;conjunction;ontology alignment;luanyi;1;y;
229;knowledge bases;uses;linked data;luanyi;1;y;
1009;knowledge bases;conjunction;resource description framework (rdf);luanyi;2;y;
615;knowledge bases;uses;semantic search engine;heuristic;3;y;
593;knowledge bases;conjunction;semantic search engines;luanyi;3;y;
65;knowledge bases;conjunction;semantic web services;luanyi;1;n;
947;knowledge bases;uses;web ontology language;luanyi;2;y;
408;knowledge discovery;uses;linked data;luanyi;3;y;
463;knowledge discovery;uses;resource description framework (rdf);luanyi;1;y;
115;knowledge engineering;uses;linked data;luanyi;2;y;
416;knowledge exchange;uses;ontology alignment;luanyi;1;y;
470;knowledge exchange;uses;resource description framework (rdf);luanyi;1;y;
855;knowledge management;conjunction;semantic search engines;luanyi;1;y;
682;knowledge management;is;semantic web services;luanyi;2;y;
597;knowledge management systems;uses;linked data;luanyi;1;y;
684;knowledge management systems;uses;resource description framework (rdf);luanyi;1;y;
962;knowledge management systems;uses;web ontology language;heuristic;1;y;
566;knowledge representation;conjunction;ontology alignment;luanyi;1;y;
259;knowledge representation;uses;resource description framework (rdf);luanyi;1;y;
57;knowledge representation;provides;semantic description;heuristic;9;y;
461;knowledge representation;uses;semantic search engines;heuristic;9;y;
906;knowledge representation;conjunction;semantic web services;luanyi;2;y;
586;knowledge representation;uses;web ontology language;luanyi;1;y;
397;knowledge representation and reasoning;uses;resource description framework (rdf);luanyi;1;y;
359;knowledge-sharing;uses;ontology alignment;luanyi;3;y;
973;knowledge-sharing;conjunction;semantic search engines;luanyi;1;y;
840;language acquisition;uses;linked data;heuristic;1;n;learning
142;learning;produces;linked data;heuristic;23;n;
856;learning;improves;ontology alignment;heuristic;11;n;
959;learning;uses;resource description framework (rdf);heuristic;9;n;
750;learning;uses;semantic search engine;heuristic;1;n;
879;learning;provides;semantic search engines;heuristic;10;n;
438;learning;conjunction;semantic web services;luanyi;2;n;
97;learning objects;uses;ontology alignment;heuristic;1;y;
768;learning objects;uses;semantic search engines;luanyi;1;y;
546;learning organizations;includes;semantic search engine;luanyi;1;y;
285;libraries;uses;linked data;luanyi;1;n;
773;libraries;uses;resource description framework (rdf);openie;1;n;
1035;libraries;conjunction;semantic search engines;heuristic;1;n;
11;link prediction;conjunction;semantic search engines;luanyi;1;y;
824;linked data;conjunction;adaptive hypermedia;heuristic;1;y;
747;linked data;conjunction;artificial intelligence;luanyi;1;y;
735;linked data;links;authentication;heuristic;11;n;
988;linked data;conjunction;automated reasoning;luanyi;1;y;
54;linked data;provides;background knowledge;openie;1;y;
668;linked data;improves;bibliographic data;openie;3;y;
807;linked data;conjunction;cloud services;luanyi;1;y;
960;linked data;conjunction;clustering algorithms;heuristic;1;y;
759;linked data;produces;communication;heuristic;4;n;
110;linked data;is;component-based software engineering;openie;1;y;
945;linked data;uses;concept lattices;luanyi;1;n;
616;linked data;provides;data integration;openie;1;y;
754;linked data;links;data publishing;heuristic;9;n;
812;linked data;conjunction;data visualization;luanyi;1;y;
617;linked data;produces;dbpedia;heuristic;37;y;
957;linked data;supports;dialogue;openie;1;y;
281;linked data;includes;digital libraries;luanyi;2;y;
460;linked data;conjunction;digital preservation;luanyi;1;y;
201;linked data;conjunction;distributed ledgers;heuristic;1;n;
777;linked data;uses;engine;heuristic;3;n;
270;linked data;uses;hadoop;heuristic;2;n;
499;linked data;conjunction;html5;heuristic;1;n;
405;linked data;supports;information integration;heuristic;2;y;
685;linked data;improves;information retrieval;heuristic;6;y;
790;linked data;produces;internet;heuristic;23;n;
637;linked data;uses;javascript;heuristic;11;n;
971;linked data;provides;knowledge bases;heuristic;20;y;
998;linked data;conjunction;knowledge representation;luanyi;1;y;
877;linked data;produces;learning;heuristic;27;n;
70;linked data;provides;libraries;heuristic;52;n;
3;linked data;conjunction;linked data;luanyi;4;n;?
283;linked data;conjunction;linked open data;luanyi;2;y;
547;linked data;conjunction;machine learning techniques;luanyi;1;y;
701;linked data;supports;mashup;heuristic;11;y;
271;linked data;uses;mobile devices;luanyi;2;n;
462;linked data;conjunction;mobile web;heuristic;1;n;
813;linked data;conjunction;multilingualism;heuristic;1;y;
941;linked data;conjunction;natural language processing systems;luanyi;2;y;
331;linked data;uses;natural languages;luanyi;1;y;
1029;linked data;conjunction;ontologies;luanyi;3;y;
130;linked data;uses;ontology alignment;heuristic;1;n;
627;linked data;conjunction;ontology construction;luanyi;1;y;
686;linked data;supports;parsing algorithm;openie;1;y;
830;linked data;conjunction;process modelling;luanyi;1;y;
301;linked data;conjunction;query processing;luanyi;2;y;
177;linked data;uses;question answering systems;luanyi;1;n;
28;linked data;uses;rdf data;heuristic;27;n;
103;linked data;uses;relational database systems;luanyi;1;n;
141;linked data;conjunction;representational state transfer;heuristic;1;y;
480;linked data;conjunction;resource description framework (rdf);luanyi;1;y;
514;linked data;uses;rule engine;luanyi;1;n;
287;linked data;provides;semantic data;heuristic;20;y;
94;linked data;provides;semantic interoperability;openie;2;y;
171;linked data;supports;semantic metadata;heuristic;9;y;
310;linked data;conjunction;semantic search engines;luanyi;3;y;
822;linked data;conjunction;semantic similarity measures;luanyi;2;y;
580;linked data;uses;semantic web technologies;luanyi;2;n;
913;linked data;links;sensor data;heuristic;11;n;
212;linked data;conjunction;social networks;luanyi;2;y;
755;linked data;includes;social sciences;luanyi;1;y;
994;linked data;uses;software design patterns;luanyi;1;y;
410;linked data;conjunction;software development life cycle;luanyi;1;n;
819;linked data;uses;sparql;luanyi;5;n;
466;linked data;conjunction;spatial data infrastructure;luanyi;1;y;
749;linked data;conjunction;text mining;luanyi;1;y;
703;linked data;conjunction;textual data;luanyi;1;y;
641;linked data;conjunction;twitter;heuristic;1;n;
145;linked data;produces;universities;heuristic;15;n;
224;linked data;conjunction;user interface designs;luanyi;1;n;
396;linked data;uses;user profiles;heuristic;4;n;
380;linked data;produces;user query;heuristic;11;n;
161;linked data;acquires;user-generated content;heuristic;9;n;
274;linked data;conjunction;visualization;luanyi;1;y;
725;linked data;conjunction;vocabulary;luanyi;1;y;
164;linked data;conjunction;web 2.0;heuristic;5;y;
880;linked data;produces;web applications;heuristic;11;n;
922;linked data;improves;web contents;openie;1;y;
810;linked data;produces;web of data;heuristic;58;n;
674;linked data;is;world wide web;luanyi;1;n;
838;linked open data;links;linked data;heuristic;29;y;
190;linked open data;includes;resource description framework (rdf);heuristic;9;y;
152;linked open data;conjunction;semantic search engine;luanyi;1;y;
788;linked open data;conjunction;semantic search engines;luanyi;2;y;
96;linked open data;conjunction;semantic web services;luanyi;1;y;
204;logic programming;is;web ontology language;luanyi;1;n;
723;logistics;uses;semantic web services;heuristic;11;n;
689;machine learning techniques;uses;linked data;heuristic;2;y;
809;machine translation systems;conjunction;ontology alignment;luanyi;1;y;
592;machine translation systems;conjunction;semantic search engines;luanyi;1;y;
88;machining;uses;web ontology language;heuristic;1;y;
987;manets;includes;semantic descriptions;luanyi;2;y;
739;mashup;selects;semantic web services;openie;1;y;
862;mass customization;uses;semantic description;luanyi;1;n;
237;microdata;uses;linked data;heuristic;1;y;
504;mobile applications;uses;linked data;heuristic;2;y;
709;mobile applications;uses;semantic description;heuristic;1;y;
364;mobile services;uses;linked data;luanyi;1;y;
895;mobile web;conjunction;linked data;heuristic;1;y;
828;model transformations;uses;ontology alignment;luanyi;1;y;
526;modeling languages;uses;web ontology language;luanyi;4;y;
811;mse;uses;web ontology language;heuristic;1;n;
783;multimedia contents;uses;web ontology language;heuristic;1;y;
570;named entity recognition;uses;linked data;heuristic;2;y;
401;named entity recognition;is;resource description framework (rdf);luanyi;1;n;
136;natural language interfaces;uses;ontology alignment;luanyi;1;y;
1032;natural language processing systems;conjunction;ontology alignment;luanyi;2;y;
966;natural language processing systems;uses;semantic description;heuristic;1;y;
665;natural language processing systems;conjunction;semantic search engines;luanyi;1;y;
995;natural language processing systems;conjunction;semantic web services;luanyi;1;y;
26;natural language processing systems;conjunction;web ontology language;luanyi;1;y;
36;natural language understanding;conjunction;semantic search engines;luanyi;2;y;
968;network management;uses;semantic web services;heuristic;1;y;
109;on-line learning;conjunction;linked data;luanyi;1;y;
59;ontologies;conjunction;linked data;luanyi;9;y;
764;ontologies;conjunction;ontology alignment;luanyi;6;y;
730;ontologies;conjunction;resource description framework (rdf);luanyi;9;y;
384;ontologies;produces;semantic description;heuristic;56;y;?
483;ontologies;produces;semantic descriptions;openie;1;y;?
84;ontologies;uses;semantic search engine;heuristic;15;y;
611;ontologies;executes;semantic search engines;openie;2;y;
122;ontologies;uses;semantic web services;heuristic;226;y;
882;ontologies;uses;web ontology language;luanyi;25;y;
41;ontology alignment;uses;answering queries;heuristic;7;y;
860;ontology alignment;uses;argumentation;luanyi;2;y;
976;ontology alignment;uses;automated reasoning;luanyi;1;y;
958;ontology alignment;conjunction;automatic classification;luanyi;1;y;
210;ontology alignment;uses;background knowledge;luanyi;1;y;
427;ontology alignment;uses;bayesian networks;luanyi;1;y;
891;ontology alignment;conjunction;blogs;luanyi;1;n;
889;ontology alignment;conjunction;change detection;luanyi;1;y;
545;ontology alignment;uses;clone detection;heuristic;1;y;
154;ontology alignment;conjunction;clustering algorithms;luanyi;3;y;
851;ontology alignment;produces;communication;openie;1;n;
1006;ontology alignment;is;computer science;luanyi;1;n;
330;ontology alignment;conjunction;concept lattices;luanyi;1;n;
728;ontology alignment;executes;concept similarity;heuristic;21;y;
536;ontology alignment;conjunction;context modeling;heuristic;1;y;
875;ontology alignment;uses;controlled natural language;luanyi;1;y;
286;ontology alignment;is;data integration;heuristic;20;y;
753;ontology alignment;conjunction;data management;heuristic;1;y;
784;ontology alignment;uses;decision tables;heuristic;1;y;
477;ontology alignment;uses;description logics;heuristic;1;y;
120;ontology alignment;uses;distributed environments;luanyi;1;y;
247;ontology alignment;conjunction;document clustering;luanyi;1;y;
222;ontology alignment;uses;domain-specific ontologies;luanyi;1;y;
951;ontology alignment;uses;electronic commerce;luanyi;2;n;
829;ontology alignment;conjunction;engineering;luanyi;2;y;
309;ontology alignment;conjunction;evaluation system;luanyi;1;y;
225;ontology alignment;conjunction;facebook;luanyi;1;y;
815;ontology alignment;uses;fuzzy logics;luanyi;1;y;
870;ontology alignment;uses;fuzzy sets theory;luanyi;1;y;
162;ontology alignment;uses;grid environments;luanyi;2;y;
455;ontology alignment;uses;hownet;heuristic;1;y;
687;ontology alignment;uses;image retrieval;heuristic;2;n;
252;ontology alignment;conjunction;inference;luanyi;1;y;
603;ontology alignment;conjunction;information extraction;luanyi;1;y;
501;ontology alignment;conjunction;information fusion;heuristic;1;y;
852;ontology alignment;is;information integration;luanyi;2;y;
671;ontology alignment;conjunction;information retrieval;luanyi;1;y;
442;ontology alignment;uses;interactive visualizations;luanyi;2;n;
680;ontology alignment;conjunction;knowledge acquisition;luanyi;2;y;
867;ontology alignment;uses;knowledge bases;heuristic;2;y;
559;ontology alignment;supports;knowledge exchange;openie;1;y;
557;ontology alignment;conjunction;learning;luanyi;2;y;
796;ontology alignment;uses;machine learning techniques;luanyi;1;y;
20;ontology alignment;is;modeling languages;luanyi;1;y;
368;ontology alignment;uses;mutual informations;luanyi;1;y;
111;ontology alignment;conjunction;ontologies;luanyi;6;y;
1030;ontology alignment;uses;ontology alignment;luanyi;4;y;
927;ontology alignment;conjunction;ontology construction;luanyi;1;y;
1022;ontology alignment;conjunction;ontology evaluation;heuristic;1;y;
904;ontology alignment;conjunction;ontology evolution;luanyi;1;y;
704;ontology alignment;uses;ontology integration;luanyi;1;y;
391;ontology alignment;conjunction;ontology learning;luanyi;1;y;
43;ontology alignment;conjunction;ontology merging;luanyi;1;y;
176;ontology alignment;uses;ontology technology;luanyi;1;y;
299;ontology alignment;uses;particle swarm optimization algorithms;luanyi;1;y;
116;ontology alignment;includes;pervasive computing environments;luanyi;1;y;
738;ontology alignment;uses;posterior probability;luanyi;1;y;
60;ontology alignment;conjunction;question answering systems;luanyi;1;y;
147;ontology alignment;conjunction;reasoning algorithms;luanyi;3;y;
776;ontology alignment;uses;relational database systems;luanyi;1;y;
62;ontology alignment;uses;rough sets theory;luanyi;1;y;
173;ontology alignment;conjunction;schema integration;heuristic;1;y;
58;ontology alignment;conjunction;schema mappings;luanyi;2;y;
1002;ontology alignment;conjunction;schema matching;heuristic;1;y;
293;ontology alignment;conjunction;search engines;heuristic;1;y;
1019;ontology alignment;is;semantic descriptions;luanyi;2;n;
849;ontology alignment;uses;semantic interoperability;luanyi;1;y;
451;ontology alignment;conjunction;semantic relationships;luanyi;3;y;
513;ontology alignment;conjunction;semantic similarity measures;luanyi;2;y;
609;ontology alignment;is;semantic web technologies;luanyi;1;y;
785;ontology alignment;conjunction;sentence similarity;luanyi;2;y;
272;ontology alignment;conjunction;service orchestration;heuristic;1;n;
282;ontology alignment;conjunction;social networks;luanyi;1;n;
1012;ontology alignment;conjunction;spatial databases;heuristic;1;n;
571;ontology alignment;conjunction;testing and debugging;luanyi;1;n;
871;ontology alignment;conjunction;text mining;luanyi;1;n;
628;ontology alignment;uses;vector space models;luanyi;1;y;
702;ontology alignment;conjunction;web 2.0;luanyi;1;y;
963;ontology alignment;supports;web applications;heuristic;9;y;
771;ontology alignment;is;web of data;luanyi;1;n;
261;ontology alignment;conjunction;web service composition;luanyi;1;y;
539;ontology alignment;conjunction;web-mining;heuristic;1;y;
549;ontology alignment;conjunction;word sense disambiguation;heuristic;1;y;
465;ontology alignment;uses;wordnet;luanyi;1;y;
1021;ontology building;conjunction;ontology alignment;luanyi;2;y;
381;ontology building;conjunction;semantic search engines;luanyi;2;y;
213;ontology construction;uses;linked data;luanyi;1;y;
400;ontology construction;conjunction;ontology alignment;luanyi;2;y;
894;ontology construction;uses;resource description framework (rdf);heuristic;1;y;
160;ontology construction;uses;semantic descriptions;heuristic;2;y;
67;ontology construction;conjunction;semantic search engines;heuristic;1;y;
407;ontology construction;uses;web ontology language;luanyi;1;y;
431;ontology development;conjunction;ontology alignment;luanyi;2;y;
579;ontology development;conjunction;web ontology language;luanyi;1;y;
305;ontology evaluation;conjunction;ontology alignment;luanyi;1;y;
454;ontology evolution;conjunction;ontology alignment;luanyi;1;y;
587;ontology evolution;is;semantic descriptions;luanyi;1;n;
612;ontology evolution;conjunction;semantic search engines;luanyi;1;y;
132;ontology integration;includes;ontology alignment;luanyi;1;y;
925;ontology language;uses;resource description framework (rdf);luanyi;1;y;
38;ontology language;defines;semantic web services;heuristic;18;y;
354;ontology language;conjunction;web ontology language;luanyi;1;y;
632;ontology learning;conjunction;ontology alignment;luanyi;1;y;
577;ontology learning;uses;resource description framework (rdf);heuristic;1;y;
528;ontology learning;is;semantic descriptions;luanyi;2;n;
956;ontology learning;conjunction;semantic search engines;heuristic;1;y;
113;ontology merging;conjunction;ontology alignment;luanyi;2;y;
441;ontology modeling;conjunction;ontology alignment;luanyi;1;y;
737;ontology modeling;uses;web ontology language;luanyi;1;y;
430;ontology technology;conjunction;semantic web services;heuristic;2;y;
292;ontology technology;conjunction;web ontology language;luanyi;2;y;
651;open source software;uses;linked data;luanyi;1;y;
618;organizational memory;uses;resource description framework (rdf);heuristic;1;y;
859;orthography;conjunction;semantic search engines;luanyi;1;n;
241;parsing algorithm;uses;linked data;luanyi;1;y;
707;personalized services;conjunction;semantic web services;luanyi;1;y;
746;pervasive;conjunction;semantic search engines;heuristic;1;n;
772;petri nets;uses;semantic web services;heuristic;23;y;
892;phonology;conjunction;semantic search engines;luanyi;1;n;
774;policy specification;uses;resource description framework (rdf);luanyi;1;y;
555;privacy;uses;web ontology language;heuristic;1;n;
977;process management;combines;semantic web services;heuristic;9;y;
406;product configuration;uses;web ontology language;heuristic;1;y;
496;product family design;uses;web ontology language;heuristic;1;y;
760;programming languages;conjunction;resource description framework (rdf);luanyi;1;y;
443;propositional logic;uses;web ontology language;heuristic;1;y;
348;query expansion;uses;ontology alignment;luanyi;1;y;
706;query processing;links;linked data;heuristic;20;y;
993;query processing;uses;ontology alignment;luanyi;1;y;
527;question answering systems;uses;linked data;luanyi;3;y;
4;question answering systems;uses;ontology alignment;luanyi;3;y;
535;question answering systems;uses;semantic search engine;luanyi;1;y;
965;question answering systems;conjunction;semantic search engines;luanyi;4;y;
914;rdf data;interacts;linked data;heuristic;22;n;
219;rdf data;uses;resource description framework (rdf);heuristic;29;y;
479;rdf data;uses;semantic search engine;luanyi;1;n;
733;re-engineering;uses;linked data;heuristic;4;y;
194;reasoning algorithms;provides;linked data;heuristic;11;y;
159;reasoning algorithms;conjunction;semantic search engines;luanyi;1;y;
143;reasoning algorithms;uses;semantic web services;heuristic;19;y;
375;reasoning algorithms;conjunction;web ontology language;luanyi;1;y;
440;recommendation;is;linked data;luanyi;1;n;
475;recommendation;conjunction;semantic search engine;heuristic;1;y;
