;s;p;o;source;support;pipeline;Danilo;FRA
193;ontology alignment;uses;fuzzy logics;['luanyi'];[1];yes;y;y
194;ontology alignment;uses;fuzzy sets theory;['luanyi'];[1];yes;y;y
195;ontology alignment;uses;grid environments;['luanyi'];[2];yes;y;y
196;ontology alignment;uses;image retrieval;['heuristic'];[1];yes;y;y
197;ontology alignment;uses;interactive visualizations;['luanyi'];[2];yes;n;y
198;ontology alignment;supports;knowledge exchange;['openie', 'heuristic'];[1, 1];yes;y;y
199;ontology alignment;uses;machine learning algorithms;['luanyi'];[1];yes;;
200;ontology alignment;uses;matching algorithm;['luanyi'];[1];yes;;
201;ontology alignment;skos:broader/is/hyponym-of;modeling languages;['luanyi'];[1];yes;;
202;ontology alignment;uses;mutual informations;['luanyi'];[1];yes;y;y
203;ontology alignment;reuses;ontologies;['openie'];[1];yes;y;y
204;ontology alignment;uses;ontologies;['heuristic'];[194];yes;y;y
205;ontology alignment;uses;ontology integration;['luanyi'];[4];yes;y;y
206;ontology alignment;uses;ontology technology;['luanyi'];[1];yes;y;y
207;ontology alignment;uses;particle swarm optimization algorithms;['luanyi'];[1];yes;y;y
208;ontology alignment;includes;pervasive computing environments;['luanyi'];[1];yes;y;n
209;ontology alignment;uses;posterior probability;['luanyi'];[1];yes;y;y
210;ontology alignment;uses;query expansion;['heuristic'];[1];yes;;
211;ontology alignment;uses;relational database systems;['luanyi'];[1];yes;y;y
212;ontology alignment;uses;rough sets theory;['luanyi'];[1];yes;y;y
213;ontology alignment;skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[2];yes;;
214;ontology alignment;provides;semantic interoperability;['openie'];[5];yes;y;y
215;ontology alignment;supports;semantic interoperability;['heuristic'];[34];yes;y;y
216;ontology alignment;uses;semantic interoperability;['luanyi'];[3];yes;y;n
217;ontology alignment;includes;semantic relationships;['luanyi'];[2];yes;y;n
218;ontology alignment;skos:broader/is/hyponym-of;semantic web applications;['heuristic'];[65];yes;;
219;ontology alignment;uses;semantic web applications;['luanyi'];[7];yes;;
220;ontology alignment;uses;sensors;['heuristic'];[1];yes;;
221;ontology alignment;uses;vector space models;['luanyi'];[1];yes;y;y
222;ontology alignment;skos:broader/is/hyponym-of;web of data;['luanyi'];[1];yes;;
223;ontology alignment;uses;wordnet;['luanyi'];[1];yes;y;y
224;ontology construction;uses;semantic descriptions;['heuristic'];[2];yes;;
225;ontology construction;uses;web ontology language;['luanyi'];[2];yes;y;y
226;ontology development;uses;web ontology language;['luanyi'];[4];yes;y;y
227;ontology evolution;skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[1];yes;;
228;ontology learning;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y
229;ontology learning;skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[2];yes;;
230;ontology modeling;uses;web ontology language;['luanyi'];[2];yes;y;y
231;open source implementation;uses;linked data;['luanyi'];[1];yes;;
232;open source software;uses;linked data;['luanyi'];[1];yes;y;y
233;parsing algorithm;uses;linked data;['luanyi'];[1];yes;y;y
234;policy specification;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y
235;process execution;uses;semantic web services;['luanyi'];[2];yes;;
236;query expansion;uses;ontology alignment;['luanyi'];[1];yes;y;y
237;query processing;uses;ontology alignment;['luanyi'];[1];yes;y;y
238;question answering systems;uses;linked data;['luanyi'];[3];yes;y;y
239;rdf data;uses;semantic search engines;['openie', 'luanyi'];[1, 1];yes;;
240;re-engineering;uses;linked data;['heuristic'];[4];yes;y;y
241;reasoning algorithms;uses;web ontology language;['luanyi', 'openie', 'heuristic'];[1, 1, 12];yes;y;y
242;recommendation;skos:broader/is/hyponym-of;linked data;['luanyi'];[1];yes;;
243;recommendation;uses;web ontology language;['heuristic'];[4];yes;y;y
244;recommender systems;uses;linked data;['luanyi', 'heuristic'];[1, 5];yes;n;y
245;recommender systems;includes;semantic web services;['luanyi'];[1];yes;y;n
246;relation extraction;uses;semantic search engines;['luanyi'];[1];yes;;
247;relational database systems;uses;resource description framework (rdf);['heuristic'];[25];yes;y;y
248;resource description framework (rdf);uses;abstract syntax;['luanyi'];[1];yes;n;y
249;resource description framework (rdf);includes;component-based software engineering;['luanyi'];[1];yes;n;n
250;resource description framework (rdf);skos:broader/is/hyponym-of;component-based software engineering;['luanyi'];[1];yes;;
251;resource description framework (rdf);skos:broader/is/hyponym-of;constraint language;['heuristic'];[1];yes;;
252;resource description framework (rdf);provides;data integration;['openie'];[2];yes;n;y
253;resource description framework (rdf);uses;database systems;['luanyi'];[3];yes;n;y
254;resource description framework (rdf);uses;fuzzy cognitive maps;['luanyi'];[1];yes;n;y
255;resource description framework (rdf);uses;grid technologies;['luanyi'];[1];yes;;
256;resource description framework (rdf);skos:broader/is/hyponym-of;linked open data;['luanyi'];[8];yes;;
257;resource description framework (rdf);defines;ontologies;['openie'];[3];yes;n;y
258;resource description framework (rdf);skos:broader/is/hyponym-of;ontology language;['luanyi'];[12];yes;;
259;resource description framework (rdf);provides;ontology modeling;['openie'];[1];yes;y;y
260;resource description framework (rdf);improves;query execution;['heuristic'];[2];yes;n;y
261;resource description framework (rdf);uses;query optimization;['luanyi'];[1];yes;n;y
262;resource description framework (rdf);supports;query processing;['heuristic'];[1];yes;;
263;resource description framework (rdf);includes;rdf data;['luanyi'];[1];yes;n;y
264;resource description framework (rdf);queries;rdf data;['openie'];[1];yes;n;n
265;resource description framework (rdf);skos:broader/is/hyponym-of;rdf data;['heuristic'];[21];yes;;
266;resource description framework (rdf);provides;reasoning algorithms;['openie'];[1];yes;n;n
267;resource description framework (rdf);skos:broader/is/hyponym-of;recommendation;['openie'];[2];yes;;
268;resource description framework (rdf);uses;relational data models;['luanyi'];[1];yes;;
269;resource description framework (rdf);matches;relational database systems;['heuristic'];[21];yes;n;y
270;resource description framework (rdf);supports;reusability;['heuristic'];[2];yes;;
271;resource description framework (rdf);includes;semantic data;['luanyi'];[1];yes;n;y
272;resource description framework (rdf);skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[2];yes;;
273;resource description framework (rdf);skos:broader/is/hyponym-of;semantic interoperability;['luanyi'];[1];yes;;
274;resource description framework (rdf);skos:broader/is/hyponym-of;semantic relationships;['luanyi'];[2];yes;;
275;resource description framework (rdf);skos:broader/is/hyponym-of;semantic web applications;['luanyi', 'heuristic'];[166, 206];yes;;
276;resource description framework (rdf);uses;semantic web applications;['luanyi'];[8];yes;;
277;resource description framework (rdf);skos:broader/is/hyponym-of;semantic wikis;['luanyi'];[1];yes;;
278;resource description framework (rdf);skos:broader/is/hyponym-of;social networks;['luanyi'];[1];yes;;
279;resource description framework (rdf);includes;social sciences;['luanyi'];[1];yes;n;n
280;resource description framework (rdf);uses;sparql;['openie', 'luanyi'];[1, 11];yes;n;y
281;resource description framework (rdf);skos:broader/is/hyponym-of;standard model;['openie', 'heuristic'];[1, 1];yes;;
282;resource description framework (rdf);skos:broader/is/hyponym-of;vocabulary;['luanyi'];[2];yes;;
283;resource description framework (rdf);skos:broader/is/hyponym-of;web applications;['luanyi'];[10];yes;;
284;resource description framework (rdf);represents;web contents;['openie'];[1];yes;y;y
285;resource description framework (rdf);represents;web information;['openie'];[1];yes;y;y
286;resource description framework (rdf);includes;xml documents;['openie', 'heuristic'];[1, 5];yes;;
287;resource discovery;uses;web ontology language;['luanyi'];[1];yes;y;y
288;scientific data;uses;linked data;['luanyi'];[1];yes;y;y
289;search engines;provides;semantic search engines;['openie', 'heuristic'];[2, 24];yes;y;n
290;search engines;uses;semantic search engines;['luanyi'];[9];yes;;
291;search engines;uses;semantic web services;['luanyi'];[2];yes;y;y
292;search engines;uses;web ontology language;['luanyi'];[2];yes;y;y
293;security models;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y
294;security policies;uses;web ontology language;['luanyi'];[2];yes;y;y
295;semantic data;uses;linked data;['heuristic'];[3];yes;;
296;semantic data;uses;ontology alignment;['luanyi'];[1];yes;y;y
297;semantic descriptions;provides;automation;['heuristic'];[3];yes;;
298;semantic descriptions;supports;business services;['openie'];[1];yes;;
299;semantic descriptions;skos:broader/is/hyponym-of;component-based software engineering;['openie'];[1];yes;;
300;semantic descriptions;uses;description logics;['luanyi'];[1];yes;;
301;semantic descriptions;uses;digital libraries;['luanyi'];[1];yes;;
302;semantic descriptions;uses;formal specifications;['luanyi'];[1];yes;;
303;semantic descriptions;uses;fuzzy ahp;['luanyi'];[1];yes;;
304;semantic descriptions;uses;fuzzy logics;['luanyi'];[1];yes;;
305;semantic descriptions;uses;heterogeneous databases;['luanyi'];[1];yes;n;y
306;semantic descriptions;uses;knowledge bases;['luanyi'];[1];yes;;
307;semantic descriptions;uses;knowledge representation;['heuristic'];[1];yes;;
308;semantic descriptions;uses;model-driven architectures;['luanyi'];[1];yes;;
309;semantic descriptions;uses;natural language processing systems;['heuristic'];[1];yes;;
310;semantic descriptions;uses;ontologies;['openie', 'luanyi'];[1, 9];yes;y;y
311;semantic descriptions;uses;ontology alignment;['heuristic'];[1];yes;;
312;semantic descriptions;uses;ontology language;['luanyi'];[2];yes;;
313;semantic descriptions;supports;reasoning algorithms;['openie', 'heuristic'];[1, 3];yes;;
314;semantic descriptions;uses;resource description framework (rdf);['heuristic'];[1];yes;;
315;semantic descriptions;uses;search engines;['heuristic'];[1];yes;;
316;semantic descriptions;uses;semantic relationships;['luanyi'];[2];yes;;
317;semantic descriptions;uses;semantic web applications;['openie'];[1];yes;;
318;semantic descriptions;uses;web ontology language;['openie'];[1];yes;;
319;semantic descriptions;uses;wordnet;['luanyi'];[1];yes;;
320;semantic desktop;uses;linked data;['heuristic'];[1];yes;y;y
321;semantic desktop;uses;semantic search engines;['luanyi'];[1];yes;y;y
322;semantic distance;uses;linked data;['luanyi'];[1];yes;n;y
323;semantic heterogeneity;uses;ontology alignment;['luanyi'];[4];yes;y;y
324;semantic heterogeneity;uses;semantic web services;['luanyi'];[1];yes;y;y
325;semantic interoperability;uses;ontology alignment;['luanyi', 'heuristic'];[16, 8];yes;n;y
326;semantic interoperability;uses;semantic web services;['luanyi'];[1];yes;y;y
327;semantic interoperability;uses;web ontology language;['luanyi', 'heuristic'];[2, 5];yes;y;y
328;semantic relationships;uses;linked data;['luanyi'];[3];yes;y;y
329;semantic relationships;uses;semantic descriptions;['luanyi'];[2];yes;;
330;semantic relationships;supports;semantic web services;['heuristic'];[21];yes;y;y
331;semantic relationships;uses;semantic web services;['luanyi'];[4];yes;n;y
332;semantic search engines;uses;automatic image annotation;['luanyi', 'heuristic'];[1, 1];yes;y;y
333;semantic search engines;includes;component-based software engineering;['luanyi'];[1];yes;;
334;semantic search engines;skos:broader/is/hyponym-of;component-based software engineering;['openie'];[1];yes;;
335;semantic search engines;uses;database systems;['luanyi'];[2];yes;y;y
336;semantic search engines;uses;description logics;['luanyi'];[2];yes;y;y
337;semantic search engines;uses;domain-specific ontologies;['luanyi'];[5];yes;y;y
338;semantic search engines;uses;electronic documents;['luanyi'];[1];yes;y;y
339;semantic search engines;uses;email;['luanyi'];[1];yes;y;y
340;semantic search engines;uses;graph matchings;['luanyi'];[1];yes;y;y
341;semantic search engines;uses;hierarchical models;['luanyi'];[2];yes;y;y
342;semantic search engines;uses;index structure;['luanyi'];[1];yes;y;y
343;semantic search engines;uses;inference;['heuristic'];[4];yes;y;y
344;semantic search engines;skos:broader/is/hyponym-of;information technology;['luanyi'];[1];yes;;
345;semantic search engines;uses;knowledge representation;['luanyi'];[1];yes;y;y
346;semantic search engines;uses;linked data;['luanyi'];[4];yes;y;y
347;semantic search engines;uses;map-reduce;['luanyi', 'heuristic'];[1, 1];yes;y;y
348;semantic search engines;uses;mobile agents;['luanyi'];[1];yes;y;y
349;semantic search engines;uses;mobile devices;['luanyi'];[2];yes;n;y
350;semantic search engines;uses;mobile phones;['openie', 'luanyi', 'heuristic'];[1, 2, 2];yes;n;y
351;semantic search engines;includes;named entity recognition;['luanyi'];[2];yes;;
352;semantic search engines;uses;natural language interfaces;['luanyi'];[4];yes;;
353;semantic search engines;skos:broader/is/hyponym-of;natural language processing systems;['luanyi'];[1];yes;;
354;semantic search engines;uses;natural language processing systems;['heuristic'];[4];yes;y;y
355;semantic search engines;requires;ontologies;['openie'];[3];yes;y;y
356;semantic search engines;uses;ontologies;['heuristic', 'luanyi'];[56, 21];yes;y;y
357;semantic search engines;combines;ontology technology;['openie'];[1];yes;;
358;semantic search engines;uses;ontology technology;['luanyi'];[1];yes;;
359;semantic search engines;uses;parallelism;['luanyi'];[1];yes;y;y
360;semantic search engines;uses;pervasive computing;['luanyi'];[1];yes;y;y
361;semantic search engines;uses;rdf data;['luanyi'];[1];yes;y;y
362;semantic search engines;uses;recommendation;['openie'];[1];yes;n;y
363;semantic search engines;uses;resource description framework (rdf);['openie', 'luanyi', 'heuristic'];[1, 2, 5];yes;y;y
364;semantic search engines;requires;search engines;['openie'];[4];yes;y;y
365;semantic search engines;uses;search engines;['luanyi'];[15];yes;y;y
366;semantic search engines;uses;semantic data;['luanyi'];[1];yes;;
367;semantic search engines;uses;semantic metadata;['heuristic'];[4];yes;;
368;semantic search engines;uses;semantic similarity measures;['heuristic'];[7];yes;y;y
369;semantic search engines;provides;semantic web applications;['heuristic'];[43];yes;;
370;semantic search engines;skos:broader/is/hyponym-of;semantic web applications;['luanyi'];[10];yes;;
371;semantic search engines;uses;semantic web applications;['luanyi'];[19];yes;;
372;semantic search engines;uses;social networks;['luanyi'];[2];yes;n;y
373;semantic search engines;uses;sparql;['luanyi'];[2];yes;y;y
374;semantic search engines;uses;spatial data infrastructure;['luanyi'];[1];yes;y;y
375;semantic search engines;uses;text mining;['luanyi'];[1];yes;y;y
376;semantic search engines;uses;user interfaces;['luanyi'];[1];yes;;
377;semantic search engines;uses;user query;['luanyi', 'heuristic'];[1, 12];yes;y;y
378;semantic search engines;requires;verification;['openie'];[1];yes;n;y
379;semantic search engines;uses;web of data;['luanyi'];[1];yes;y;y
380;semantic search engines;uses;web ontology language;['luanyi', 'heuristic'];[2, 4];yes;y;y
381;semantic search engines;improves;web searches;['openie'];[1];yes;y;y
382;semantic search engines;uses;wordnet;['luanyi'];[1];yes;;
