;s;p;o;FRA
105;knowledge management systems;uses;linked data;y
106;knowledge management systems;uses;resource description framework (rdf);y
650;knowledge representation;supports;resource description framework (rdf);
107;knowledge representation;uses;resource description framework (rdf);y
651;knowledge representation;provides;semantic descriptions;
108;knowledge representation;contributes-to;web ontology language;
109;knowledge representation;uses;web ontology language;y
110;knowledge representation and reasoning;uses;resource description framework (rdf);y
111;knowledge-sharing;uses;ontology alignment;y
112;language acquisition;uses;linked data;y
114;learning objects;uses;semantic search engines;y
652;learning objects;learns;semantic web services;n
115;learning organizations;includes;semantic search engines;
653;legacy systems;acquires;resource description framework (rdf);y
116;legacy systems;uses;semantic descriptions;
117;libraries;produces;linked data;
118;libraries;uses;linked data;y
119;libraries;uses;resource description framework (rdf);y
120;linked data;provides;background knowledge;y
121;linked data;improves;bibliographic data;y
654;linked data;links;component-based software engineering;
122;linked data;skos:broader/is/hyponym-of;component-based software engineering;
123;linked data;uses;concept lattices;y
655;linked data;proposes;data exchange;n
124;linked data;provides;data integration;y
125;linked data;links;dbpedia;
126;linked data;supports;dialogue;y
127;linked data;includes;digital libraries;y
128;linked data;uses;domain-specific ontologies;
129;linked data;uses;facebook;
656;linked data;provides;knowledge discovery;y
130;linked data;uses;knowledge representation;
657;linked data;produces;learning;n
131;linked data;provides;libraries;y
132;linked data;uses;mobile devices;y
133;linked data;uses;natural languages;y
134;linked data;uses;on-line analytical processing;
135;linked data;supports;ontologies;y
136;linked data;supports;parsing algorithm;y
137;linked data;uses;question answering systems;y
138;linked data;uses;recommender systems;n
658;linked data;acquires;relational database systems;
139;linked data;uses;relational database systems;y
140;linked data;uses;resource description framework (rdf);y
141;linked data;uses;rule engine;y
659;linked data;analyzes;semantic data;
142;linked data;provides;semantic interoperability;y
660;linked data;produces;semantic relationships;n
143;linked data;uses;semantic web technologies;y
661;linked data;includes;sensor networks;n
144;linked data;includes;social sciences;n
145;linked data;uses;software design patterns;y
146;linked data;provides;sparql;y
147;linked data;uses;sparql;y
662;linked data;improves;user experience;y
663;linked data;converts-to;user query;
148;linked data;uses;user-generated content;
149;linked data;improves;web contents;y
150;linked data;supports;web of data;
664;linked data;supports;web ontology language;y
151;linked data;produces;world wide web;y
152;linked data;skos:broader/is/hyponym-of;world wide web;
153;linked open data;supports;semantic search engines;y
154;logic programming;skos:broader/is/hyponym-of;web ontology language;
155;manets;includes;semantic descriptions;
665;map-reduce;requires;resource description framework (rdf);n
666;mashup;publishes;linked data;y
156;mashup;selects;semantic web services;y
157;mass customization;uses;semantic descriptions;
158;mobile applications;uses;semantic descriptions;
159;mobile devices;uses;linked data;
160;mobile services;uses;linked data;y
161;model transformations;uses;ontology alignment;y
162;modelling language;uses;web ontology language;
163;multimedia contents;uses;web ontology language;y
164;named entity recognition;skos:broader/is/hyponym-of;resource description framework (rdf);
165;natural language interfaces;uses;ontology alignment;y
166;natural language processing systems;uses;web ontology language;y
167;natural language text;uses;web ontology language;
168;network management;uses;semantic web services;n
169;ontologies;supports;linked data;y
170;ontologies;proposes;ontology alignment;y
171;ontologies;uses;resource description framework (rdf);y
172;ontologies;produces;semantic descriptions;
173;ontologies;provides;semantic descriptions;
174;ontologies;executes;semantic search engines;n
175;ontologies;provides;semantic search engines;n
176;ontologies;uses;web ontology language;y
177;ontology alignment;uses;answering queries;n
178;ontology alignment;uses;argumentation;y
179;ontology alignment;uses;automated reasoning;y
180;ontology alignment;uses;background knowledge;y
181;ontology alignment;uses;bayesian networks;y
182;ontology alignment;uses;clone detection;y
183;ontology alignment;produces;communication;n
668;ontology alignment;skos:broader/is/hyponym-of;communication;
184;ontology alignment;skos:broader/is/hyponym-of;computer science;
185;ontology alignment;combines;concept similarity;
186;ontology alignment;uses;controlled natural language;y
187;ontology alignment;uses;decision tables;y
188;ontology alignment;skos:broader/is/hyponym-of;distributed environments;
189;ontology alignment;uses;distributed environments;y
190;ontology alignment;uses;domain-specific ontologies;y
191;ontology alignment;uses;electronic commerce;n
192;ontology alignment;uses;evolutionary approach;
193;ontology alignment;uses;fca;
194;ontology alignment;uses;fuzzy logics;y
195;ontology alignment;uses;fuzzy sets theory;y
196;ontology alignment;uses;grid environments;y
197;ontology alignment;uses;image retrieval;y
669;ontology alignment;combines;inference;
198;ontology alignment;skos:broader/is/hyponym-of;information integration;
670;ontology alignment;supports;information systems;
199;ontology alignment;uses;interactive visualizations;y
200;ontology alignment;supports;knowledge exchange;y
671;ontology alignment;skos:broader/is/hyponym-of;knowledge-sharing;
672;ontology alignment;publishes;linked open data;n
201;ontology alignment;uses;machine learning techniques;y
202;ontology alignment;uses;matching algorithm;
203;ontology alignment;skos:broader/is/hyponym-of;modelling language;
204;ontology alignment;uses;mutual informations;y
673;ontology alignment;based-on;natural language processing systems;
205;ontology alignment;reuses;ontologies;y
206;ontology alignment;uses;ontologies;y
207;ontology alignment;uses;ontology integration;y
208;ontology alignment;uses;ontology technology;y
209;ontology alignment;uses;particle swarm optimization algorithms;y
210;ontology alignment;includes;pervasive computing environments;n
211;ontology alignment;uses;posterior probability;y
212;ontology alignment;uses;query expansion;
674;ontology alignment;automates;query rewritings;
213;ontology alignment;uses;relational database systems;y
214;ontology alignment;uses;rough sets theory;y
215;ontology alignment;skos:broader/is/hyponym-of;semantic descriptions;
216;ontology alignment;provides;semantic interoperability;y
217;ontology alignment;supports;semantic interoperability;y
218;ontology alignment;uses;semantic interoperability;n
219;ontology alignment;includes;semantic relationships;n
220;ontology alignment;executes;semantic similarity measures;y
221;ontology alignment;skos:broader/is/hyponym-of;semantic web technologies;
222;ontology alignment;uses;semantic web technologies;y
223;ontology alignment;uses;sensors;
224;ontology alignment;uses;vector space models;y
675;ontology alignment;supports;web applications;
676;ontology alignment;provides;web of data;y
225;ontology alignment;skos:broader/is/hyponym-of;web of data;
677;ontology alignment;based-on;wordnet;
226;ontology alignment;uses;wordnet;y
678;ontology construction;supports;resource description framework (rdf);n
227;ontology construction;uses;semantic descriptions;
679;ontology construction;supports;web ontology language;n
228;ontology construction;uses;web ontology language;y
229;ontology development;uses;web ontology language;y
230;ontology evolution;skos:broader/is/hyponym-of;semantic descriptions;
680;ontology integration;provides;semantic web services;n
681;ontology language;supports;resource description framework (rdf);
231;ontology language;provides;web ontology language;y
232;ontology learning;uses;resource description framework (rdf);y
233;ontology learning;skos:broader/is/hyponym-of;semantic descriptions;
682;ontology modeling;matches;web ontology language;n
234;ontology modeling;uses;web ontology language;y
235;open source implementation;uses;linked data;
236;open source software;uses;linked data;y
237;parsing algorithm;uses;linked data;y
683;pattern;supports;semantic descriptions;
238;policy specification;uses;resource description framework (rdf);y
239;process execution;uses;semantic web services;
684;program slicing;uses;semantic descriptions;
685;query execution;executes;linked data;n
240;query expansion;uses;ontology alignment;y
241;query processing;uses;ontology alignment;y
242;question answering systems;uses;linked data;y
686;rdf data;uses;linked data;
243;rdf data;uses;semantic search engines;
687;rdf graph;maintains;linked data;n
244;re-engineering;uses;linked data;y
245;reasoning algorithms;uses;semantic web services;
246;reasoning algorithms;uses;web ontology language;y
247;recommendation;skos:broader/is/hyponym-of;linked data;
248;recommendation;uses;web ontology language;y
249;recommender systems;uses;linked data;y
250;recommender systems;includes;semantic web services;n
251;relation extraction;uses;semantic search engines;
252;relational database systems;uses;resource description framework (rdf);y
688;relational database systems;matches;web ontology language;
253;resource description framework (rdf);uses;abstract syntax;y
689;resource description framework (rdf);supports;access control;y
690;resource description framework (rdf);improves;collaborative work;n
254;resource description framework (rdf);includes;component-based software engineering;n
255;resource description framework (rdf);skos:broader/is/hyponym-of;component-based software engineering;
256;resource description framework (rdf);skos:broader/is/hyponym-of;constraint language;
691;resource description framework (rdf);uses;data exchange;
257;resource description framework (rdf);provides;data integration;y
692;resource description framework (rdf);supports;data integration;y
258;resource description framework (rdf);uses;database systems;y
693;resource description framework (rdf);uses;digital libraries;y
694;resource description framework (rdf);acquires;domain knowledge;
695;resource description framework (rdf);supports;engineering;n
259;resource description framework (rdf);uses;fuzzy cognitive maps;y
260;resource description framework (rdf);uses;grid technologies;
261;resource description framework (rdf);produces;inference;n
696;resource description framework (rdf);selects;knowledge acquisition;n
697;resource description framework (rdf);extends;knowledge bases;
698;resource description framework (rdf);supports;knowledge management;y
262;resource description framework (rdf);guides;knowledge representation;y
699;resource description framework (rdf);improves;libraries;
263;resource description framework (rdf);skos:broader/is/hyponym-of;linked open data;
264;resource description framework (rdf);defines;ontologies;y
265;resource description framework (rdf);skos:broader/is/hyponym-of;ontology language;
266;resource description framework (rdf);provides;ontology modeling;y
267;resource description framework (rdf);uses;query optimization;y
268;resource description framework (rdf);supports;query processing;
269;resource description framework (rdf);includes;rdf data;y
270;resource description framework (rdf);queries;rdf data;n
271;resource description framework (rdf);skos:broader/is/hyponym-of;rdf data;
272;resource description framework (rdf);supports;rdf graph;
700;resource description framework (rdf);proposes;reasoning algorithms;
273;resource description framework (rdf);provides;reasoning algorithms;n
274;resource description framework (rdf);provides;recommendation;
275;resource description framework (rdf);skos:broader/is/hyponym-of;recommendation;
276;resource description framework (rdf);uses;relational data models;
277;resource description framework (rdf);matches;relational database systems;y
278;resource description framework (rdf);supports;reusability;
701;resource description framework (rdf);acquires;semantic data;n
279;resource description framework (rdf);includes;semantic data;y
280;resource description framework (rdf);skos:broader/is/hyponym-of;semantic descriptions;
702;resource description framework (rdf);represents;semantic interoperability;
281;resource description framework (rdf);skos:broader/is/hyponym-of;semantic interoperability;
282;resource description framework (rdf);represents;semantic relationships;
283;resource description framework (rdf);skos:broader/is/hyponym-of;semantic relationships;
703;resource description framework (rdf);includes;semantic search engines;
284;resource description framework (rdf);produces;semantic web services;
285;resource description framework (rdf);skos:broader/is/hyponym-of;semantic web technologies;
286;resource description framework (rdf);uses;semantic web technologies;y
287;resource description framework (rdf);skos:broader/is/hyponym-of;semantic wikis;
288;resource description framework (rdf);skos:broader/is/hyponym-of;social networks;
289;resource description framework (rdf);includes;social sciences;n
290;resource description framework (rdf);supports;software agents;
291;resource description framework (rdf);uses;sparql;y
292;resource description framework (rdf);skos:broader/is/hyponym-of;standard model;
293;resource description framework (rdf);represents;user profiles;
704;resource description framework (rdf);provides;vocabulary;y
294;resource description framework (rdf);skos:broader/is/hyponym-of;vocabulary;
295;resource description framework (rdf);skos:broader/is/hyponym-of;web applications;
705;resource description framework (rdf);uses;web applications;
706;resource description framework (rdf);proposes;web contents;
296;resource description framework (rdf);represents;web contents;y
297;resource description framework (rdf);represents;web information;y
707;resource description framework (rdf);interacts-with;web of data;
708;resource description framework (rdf);supports;wordnet;y
709;resource description framework (rdf);represents;world wide web;
298;resource description framework (rdf);includes;xml databases;
299;resource discovery;uses;web ontology language;y
300;scientific data;uses;linked data;y
710;search engines;based-on;resource description framework (rdf);
301;search engines;provides;semantic search engines;n
302;search engines;uses;semantic search engines;
711;search engines;based-on;semantic web services;
303;search engines;uses;semantic web services;y
304;search engines;uses;web ontology language;y
305;security models;uses;resource description framework (rdf);y
712;security policies;based-on;web ontology language;
306;security policies;uses;web ontology language;y
713;semantic concept;supports;semantic search engines;y
307;semantic data;uses;linked data;
308;semantic data;uses;ontology alignment;y
714;semantic data;produces;resource description framework (rdf);
715;semantic descriptions;supports;automated reasoning;
716;semantic descriptions;provides;automation;
309;semantic descriptions;supports;business services;
310;semantic descriptions;skos:broader/is/hyponym-of;component-based software engineering;
311;semantic descriptions;uses;description logics;
312;semantic descriptions;uses;digital libraries;
717;semantic descriptions;learns;e-learning environment;
313;semantic descriptions;uses;formal specifications;
314;semantic descriptions;uses;fuzzy ahp;
315;semantic descriptions;uses;fuzzy logics;
316;semantic descriptions;uses;heterogeneous databases;y
317;semantic descriptions;uses;knowledge bases;
318;semantic descriptions;uses;knowledge representation;
718;semantic descriptions;publishes;linked data;n
319;semantic descriptions;uses;model driven architectures;
719;semantic descriptions;includes;multimedia data;
320;semantic descriptions;uses;natural language processing systems;
321;semantic descriptions;uses;ontologies;y
322;semantic descriptions;uses;ontology alignment;
323;semantic descriptions;uses;ontology language;
324;semantic descriptions;supports;reasoning algorithms;
325;semantic descriptions;uses;resource description framework (rdf);
326;semantic descriptions;uses;search engines;
720;semantic descriptions;produces;search process;
721;semantic descriptions;extends;semantic distance;
722;semantic descriptions;provides;semantic relationships;
327;semantic descriptions;uses;semantic relationships;
328;semantic descriptions;uses;semantic web technologies;y
329;semantic descriptions;supports;software agents;
723;semantic descriptions;supports;web of data;y
724;semantic descriptions;provides;web ontology language;
330;semantic descriptions;uses;web ontology language;
331;semantic descriptions;uses;wordnet;
332;semantic desktop;uses;linked data;y
333;semantic desktop;uses;semantic search engines;y
334;semantic distance;uses;linked data;y
335;semantic heterogeneity;uses;ontology alignment;y
336;semantic heterogeneity;uses;semantic web services;y
337;semantic interoperability;uses;ontology alignment;y
725;semantic interoperability;supports;semantic search engines;y
338;semantic interoperability;uses;semantic web services;y
339;semantic interoperability;uses;web ontology language;y
340;semantic relationships;uses;linked data;y
726;semantic relationships;represents;resource description framework (rdf);n
341;semantic relationships;uses;semantic descriptions;
342;semantic relationships;supports;semantic web services;y
343;semantic relationships;uses;semantic web services;y
727;semantic relationships;proposes;web ontology language;
344;semantic search engines;uses;automatic image annotation;y
728;semantic search engines;acquires;background knowledge;y
345;semantic search engines;includes;component-based software engineering;
346;semantic search engines;skos:broader/is/hyponym-of;component-based software engineering;
729;semantic search engines;acquires;database systems;
347;semantic search engines;uses;database systems;y
348;semantic search engines;uses;description logics;y
349;semantic search engines;uses;domain-specific ontologies;y
730;semantic search engines;learns;e-learning environment;n
350;semantic search engines;uses;electronic documents;y
351;semantic search engines;uses;email;y
352;semantic search engines;uses;graph matchings;y
353;semantic search engines;uses;hierarchical models;y
354;semantic search engines;uses;index structure;y
731;semantic search engines;uses;inference;y
732;semantic search engines;supports;information acquisitions;y
355;semantic search engines;skos:broader/is/hyponym-of;information technology;
733;semantic search engines;acquires;internet;
734;semantic search engines;provides;knowledge bases;y
356;semantic search engines;uses;knowledge representation;y
735;semantic search engines;learns;learning;n
357;semantic search engines;uses;linked data;y
358;semantic search engines;uses;map-reduce;y
359;semantic search engines;uses;mobile agents;y
360;semantic search engines;uses;mobile devices;y
361;semantic search engines;uses;mobile phones;y
362;semantic search engines;includes;named entity recognition;
363;semantic search engines;uses;natural language interfaces;
364;semantic search engines;skos:broader/is/hyponym-of;natural language processing systems;
365;semantic search engines;uses;natural language processing systems;y
736;semantic search engines;provides;natural languages;
366;semantic search engines;requires;ontologies;y
367;semantic search engines;uses;ontologies;y
737;semantic search engines;acquires;ontology technology;
368;semantic search engines;combines;ontology technology;
369;semantic search engines;uses;ontology technology;
370;semantic search engines;uses;parallelism;y
371;semantic search engines;uses;pervasive computing;y
738;semantic search engines;produces;purchase;y
372;semantic search engines;uses;rdf data;y
373;semantic search engines;uses;recommendation;y
374;semantic search engines;uses;resource description framework (rdf);y
375;semantic search engines;requires;search engines;y
376;semantic search engines;uses;search engines;y
377;semantic search engines;uses;semantic data;
378;semantic search engines;uses;semantic metadata;
379;semantic search engines;uses;semantic similarity measures;y
380;semantic search engines;provides;semantic web technologies;y
381;semantic search engines;skos:broader/is/hyponym-of;semantic web technologies;
382;semantic search engines;uses;semantic web technologies;y
383;semantic search engines;uses;social networks;y
384;semantic search engines;uses;sparql;y
385;semantic search engines;uses;spatial data infrastructure;y
386;semantic search engines;provides;speech recognition;
387;semantic search engines;uses;text mining;y
388;semantic search engines;uses;user interfaces;
389;semantic search engines;uses;user query;y
390;semantic search engines;requires;verification;y
739;semantic search engines;acquires;web contents;
391;semantic search engines;uses;web of data;y
392;semantic search engines;uses;web ontology language;y
393;semantic search engines;improves;web searches;y
740;semantic search engines;produces;web-searching;y
394;semantic search engines;uses;wordnet;
741;semantic similarity measures;skos:broader/is/hyponym-of;ontology alignment;
395;semantic similarity measures;uses;ontology alignment;n
742;semantic similarity measures;skos:broader/is/hyponym-of;semantic web services;
396;semantic web rule languages;extends;web ontology language;y
397;semantic web rule languages;skos:broader/is/hyponym-of;web ontology language;
743;semantic web service discovery;based-on;ontology alignment;
398;semantic web service discovery;uses;ontology alignment;y
744;semantic web service discovery;based-on;semantic web services;
745;semantic web services;based-on;access control;
399;semantic web services;uses;access control;y
400;semantic web services;uses;agent technology;y
401;semantic web services;requires;authentication;y
402;semantic web services;supports;automated reasoning;y
403;semantic web services;produces;automatic composition;y
746;semantic web services;provides;automatic composition;
404;semantic web services;uses;automatic composition;y
405;semantic web services;provides;automation;
406;semantic web services;supports;automation;y
407;semantic web services;uses;bayesian classification;y
408;semantic web services;uses;business logic;y
409;semantic web services;uses;business process execution language;y
747;semantic web services;produces;business process modelling;n
410;semantic web services;uses;collaborative filtering techniques;
411;semantic web services;uses;collaborative tagging;y
412;semantic web services;includes;component-based software engineering;y
413;semantic web services;skos:broader/is/hyponym-of;component-based software engineering;
748;semantic web services;extends;context information;y
414;semantic web services;uses;database management;n
749;semantic web services;based-on;description logics;
415;semantic web services;uses;description logics;y
416;semantic web services;uses;distributed applications;y
417;semantic web services;uses;distributed architectures;y
418;semantic web services;uses;distributed systems;y
750;semantic web services;provides;dynamic composition;
419;semantic web services;includes;dynamic environments;
751;semantic web services;uses;dynamic environments;
752;semantic web services;matches;efficient algorithm;n
420;semantic web services;uses;electronic commerce;
421;semantic web services;uses;formal models;y
422;semantic web services;skos:broader/is/hyponym-of;information integration;
753;semantic web services;extends;information technology;y
754;semantic web services;skos:broader/is/hyponym-of;intelligibility;
423;semantic web services;uses;knowledge acquisition;y
755;semantic web services;supports;learning objects;y
424;semantic web services;uses;mashup;y
425;semantic web services;uses;matching algorithm;y
426;semantic web services;uses;mobile devices;y
427;semantic web services;uses;modelling language;
428;semantic web services;uses;ontologies;y
756;semantic web services;based-on;ontology alignment;
429;semantic web services;uses;ontology alignment;y
430;semantic web services;uses;ontology evolution;y
431;semantic web services;uses;ontology integration;y
432;semantic web services;uses;ontology language;y
433;semantic web services;uses;ontology technology;y
757;semantic web services;provides;open source software;
434;semantic web services;requires;privacy;n
435;semantic web services;represents;programming models;y
758;semantic web services;based-on;reasoning algorithms;
436;semantic web services;supports;reasoning algorithms;y
437;semantic web services;uses;reference architectures;y
438;semantic web services;uses;resource description framework (rdf);y
759;semantic web services;combines;robots;n
439;semantic web services;combines;semantic descriptions;
440;semantic web services;includes;semantic descriptions;
441;semantic web services;provides;semantic descriptions;
442;semantic web services;uses;semantic interoperability;y
443;semantic web services;provides;semantic relationships;
444;semantic web services;uses;semantic relationships;y
445;semantic web services;uses;semantic search engines;y
760;semantic web services;proposes;semantic similarity measures;
446;semantic web services;uses;semantic web service discovery;y
447;semantic web services;combines;semantic web technologies;y
448;semantic web services;skos:broader/is/hyponym-of;semantic web technologies;
449;semantic web services;uses;semantic web technologies;y
450;semantic web services;uses;semantic wikis;y
761;semantic web services;proposes;service oriented computing;
451;semantic web services;uses;service oriented computing;
452;semantic web services;uses;services composition;
453;semantic web services;includes;services selection;y
454;semantic web services;uses;shortest paths;n
455;semantic web services;supports;software agents;y
456;semantic web services;uses;software agents;y
457;semantic web services;uses;sparql;y
762;semantic web services;extends;supply chain coordination;n
458;semantic web services;supports;supply chain coordination;y
459;semantic web services;uses;system architectures;y
460;semantic web services;uses;text clustering;y
461;semantic web services;uses;tool support;n
462;semantic web services;uses;uml profiles;y
763;semantic web services;provides;user experience;y
764;semantic web services;matches;user query;n
463;semantic web services;uses;user query;y
464;semantic web services;uses;visual programming;y
465;semantic web services;uses;visualization;y
466;semantic web services;uses;web 2.0;y
467;semantic web services;uses;web of data;y
468;semantic web services;uses;web ontology language;y
765;semantic web services;improves;web service description;
469;semantic web services;uses;web service description;y
470;semantic web services;automates;web services discovery;y
471;semantic web services;proposes;web services discovery;
472;semantic web services;uses;web services discovery;y
473;semantic web services;uses;xml;
474;semantic web technologies;uses;linked data;y
475;semantic web technologies;includes;ontology alignment;y
476;semantic web technologies;uses;resource description framework (rdf);y
477;semantic web technologies;includes;semantic descriptions;y
478;semantic web technologies;provides;semantic descriptions;y
479;semantic web technologies;provides;semantic search engines;
480;semantic web technologies;produces;semantic web services;y
481;semantic web technologies;uses;web ontology language;y
482;sensor networks;uses;ontology alignment;y
766;sensors;proposes;linked data;
483;service execution;skos:broader/is/hyponym-of;semantic web services;
484;service matching;uses;semantic web services;y
485;services composition;uses;semantic descriptions;
767;services composition;proposes;semantic web services;
768;services selection;skos:broader/is/hyponym-of;semantic web services;
486;services selection;uses;semantic web services;y
487;smart phones;uses;semantic search engines;y
488;social networks;uses;web ontology language;y
489;social relationships;uses;semantic search engines;n
490;software agents;uses;semantic descriptions;
769;software agents;publishes;web ontology language;
491;software design;uses;web ontology language;y
770;software development life cycle;based-on;semantic web services;
492;software development life cycle;uses;semantic web services;y
493;software engineering;uses;linked data;y
494;software maintenance;uses;ontology alignment;n
771;source codes;proposes;linked data;n
495;sparql;represents;resource description framework (rdf);n
496;spatial data;uses;linked data;y
497;speech recognition;based-on;semantic search engines;
498;speech recognition;uses;semantic search engines;y
499;star schema;uses;web ontology language;y
500;supervised machine learning;uses;resource description framework (rdf);y
501;supervised machine learning;uses;web ontology language;y
502;supply chain coordination;uses;semantic web services;y
503;telecommunications industry;uses;semantic web services;y
504;text clustering;uses;semantic search engines;
772;text mining;supports;semantic search engines;y
505;text mining;uses;semantic web services;y
506;twitter;skos:broader/is/hyponym-of;linked data;
773;twitter;uses;linked data;n
507;ubiquitous computing;uses;web ontology language;y
508;ubiquitous computing environment;uses;web ontology language;y
509;uml models;visualizes;web ontology language;
774;undirected graph;represents;resource description framework (rdf);y
775;universities;produces;linked data;
776;universities;acquires;resource description framework (rdf);y
510;user experience;uses;semantic search engines;
777;user interfaces;represents;linked data;
511;user navigation;uses;semantic search engines;n
512;user query;uses;ontology alignment;y
513;user query;uses;semantic search engines;y
778;verification;supports;semantic web services;y
514;verification;uses;web ontology language;y
515;vocabulary;proposes;linked data;n
516;vocabulary;proposes;resource description framework (rdf);
779;vocabulary;uses;semantic web services;
517;vocabulary;uses;web ontology language;
