;s;p;o;annotation(y or n)
88;information sharing;skos:broader/is/hyponym-of;resource description framework (rdf);
89;information systems;uses;linked data;
647;information systems;matches;ontology alignment;
90;intelligent agents;uses;semantic web services;
91;intelligent tutoring systems;uses;web ontology language;
92;investments;uses;linked data;
93;it infrastructures;uses;semantic search engines;
94;keyword search;uses;linked data;
95;knowledge acquisition;uses;linked data;
96;knowledge bases;uses;linked data;
648;knowledge bases;represents;resource description framework (rdf);
649;knowledge bases;uses;semantic search engines;
97;knowledge bases;uses;web ontology language;
98;knowledge discovery;uses;linked data;
99;knowledge discovery;uses;resource description framework (rdf);
100;knowledge engineering;uses;linked data;
101;knowledge exchange;uses;ontology alignment;
102;knowledge exchange;uses;resource description framework (rdf);
103;knowledge management;skos:broader/is/hyponym-of;semantic web services;
104;knowledge management;uses;web ontology language;
105;knowledge management systems;uses;linked data;
106;knowledge management systems;uses;resource description framework (rdf);
650;knowledge representation;supports;resource description framework (rdf);
107;knowledge representation;uses;resource description framework (rdf);
651;knowledge representation;provides;semantic descriptions;
108;knowledge representation;contributes-to;web ontology language;
109;knowledge representation;uses;web ontology language;
110;knowledge representation and reasoning;uses;resource description framework (rdf);
111;knowledge-sharing;uses;ontology alignment;
112;language acquisition;uses;linked data;
114;learning objects;uses;semantic search engines;
652;learning objects;learns;semantic web services;
115;learning organizations;includes;semantic search engines;
653;legacy systems;acquires;resource description framework (rdf);
116;legacy systems;uses;semantic descriptions;
117;libraries;produces;linked data;
118;libraries;uses;linked data;
119;libraries;uses;resource description framework (rdf);
120;linked data;provides;background knowledge;
121;linked data;improves;bibliographic data;
654;linked data;links;component-based software engineering;
122;linked data;skos:broader/is/hyponym-of;component-based software engineering;
123;linked data;uses;concept lattices;
655;linked data;proposes;data exchange;
124;linked data;provides;data integration;
125;linked data;links;dbpedia;
126;linked data;supports;dialogue;
127;linked data;includes;digital libraries;
128;linked data;uses;domain-specific ontologies;
129;linked data;uses;facebook;
656;linked data;provides;knowledge discovery;
130;linked data;uses;knowledge representation;
657;linked data;produces;learning;
131;linked data;provides;libraries;
132;linked data;uses;mobile devices;
133;linked data;uses;natural languages;
134;linked data;uses;on-line analytical processing;
135;linked data;supports;ontologies;
136;linked data;supports;parsing algorithm;
137;linked data;uses;question answering systems;
138;linked data;uses;recommender systems;
658;linked data;acquires;relational database systems;
139;linked data;uses;relational database systems;
140;linked data;uses;resource description framework (rdf);
141;linked data;uses;rule engine;
659;linked data;analyzes;semantic data;
142;linked data;provides;semantic interoperability;
660;linked data;produces;semantic relationships;
143;linked data;uses;semantic web technologies;
661;linked data;includes;sensor networks;
144;linked data;includes;social sciences;
145;linked data;uses;software design patterns;
146;linked data;provides;sparql;
147;linked data;uses;sparql;
662;linked data;improves;user experience;
663;linked data;converts-to;user query;
148;linked data;uses;user-generated content;
149;linked data;improves;web contents;
150;linked data;supports;web of data;
664;linked data;supports;web ontology language;
151;linked data;produces;world wide web;
152;linked data;skos:broader/is/hyponym-of;world wide web;
153;linked open data;supports;semantic search engines;
154;logic programming;skos:broader/is/hyponym-of;web ontology language;
155;manets;includes;semantic descriptions;
665;map-reduce;requires;resource description framework (rdf);
666;mashup;publishes;linked data;
156;mashup;selects;semantic web services;
157;mass customization;uses;semantic descriptions;
158;mobile applications;uses;semantic descriptions;
159;mobile devices;uses;linked data;
160;mobile services;uses;linked data;
161;model transformations;uses;ontology alignment;
162;modelling language;uses;web ontology language;
163;multimedia contents;uses;web ontology language;
164;named entity recognition;skos:broader/is/hyponym-of;resource description framework (rdf);
165;natural language interfaces;uses;ontology alignment;
166;natural language processing systems;uses;web ontology language;
167;natural language text;uses;web ontology language;
168;network management;uses;semantic web services;
169;ontologies;supports;linked data;
170;ontologies;proposes;ontology alignment;
171;ontologies;uses;resource description framework (rdf);
172;ontologies;produces;semantic descriptions;
173;ontologies;provides;semantic descriptions;
174;ontologies;executes;semantic search engines;
175;ontologies;provides;semantic search engines;
176;ontologies;uses;web ontology language;
177;ontology alignment;uses;answering queries;
178;ontology alignment;uses;argumentation;
179;ontology alignment;uses;automated reasoning;
180;ontology alignment;uses;background knowledge;
181;ontology alignment;uses;bayesian networks;
182;ontology alignment;uses;clone detection;
183;ontology alignment;produces;communication;
668;ontology alignment;skos:broader/is/hyponym-of;communication;
184;ontology alignment;skos:broader/is/hyponym-of;computer science;
185;ontology alignment;combines;concept similarity;
186;ontology alignment;uses;controlled natural language;
187;ontology alignment;uses;decision tables;
188;ontology alignment;skos:broader/is/hyponym-of;distributed environments;
189;ontology alignment;uses;distributed environments;
190;ontology alignment;uses;domain-specific ontologies;
191;ontology alignment;uses;electronic commerce;
192;ontology alignment;uses;evolutionary approach;
193;ontology alignment;uses;fca;
194;ontology alignment;uses;fuzzy logics;
195;ontology alignment;uses;fuzzy sets theory;
196;ontology alignment;uses;grid environments;
197;ontology alignment;uses;image retrieval;
669;ontology alignment;combines;inference;
198;ontology alignment;skos:broader/is/hyponym-of;information integration;
670;ontology alignment;supports;information systems;
199;ontology alignment;uses;interactive visualizations;
200;ontology alignment;supports;knowledge exchange;
671;ontology alignment;skos:broader/is/hyponym-of;knowledge-sharing;
672;ontology alignment;publishes;linked open data;
201;ontology alignment;uses;machine learning techniques;
202;ontology alignment;uses;matching algorithm;
203;ontology alignment;skos:broader/is/hyponym-of;modelling language;
204;ontology alignment;uses;mutual informations;
673;ontology alignment;based-on;natural language processing systems;
205;ontology alignment;reuses;ontologies;
206;ontology alignment;uses;ontologies;
207;ontology alignment;uses;ontology integration;
208;ontology alignment;uses;ontology technology;
209;ontology alignment;uses;particle swarm optimization algorithms;
210;ontology alignment;includes;pervasive computing environments;
211;ontology alignment;uses;posterior probability;
212;ontology alignment;uses;query expansion;
674;ontology alignment;automates;query rewritings;
213;ontology alignment;uses;relational database systems;
214;ontology alignment;uses;rough sets theory;
215;ontology alignment;skos:broader/is/hyponym-of;semantic descriptions;
216;ontology alignment;provides;semantic interoperability;
217;ontology alignment;supports;semantic interoperability;
218;ontology alignment;uses;semantic interoperability;
219;ontology alignment;includes;semantic relationships;
220;ontology alignment;executes;semantic similarity measures;
221;ontology alignment;skos:broader/is/hyponym-of;semantic web technologies;
222;ontology alignment;uses;semantic web technologies;
223;ontology alignment;uses;sensors;
224;ontology alignment;uses;vector space models;
675;ontology alignment;supports;web applications;
676;ontology alignment;provides;web of data;
225;ontology alignment;skos:broader/is/hyponym-of;web of data;
677;ontology alignment;based-on;wordnet;
226;ontology alignment;uses;wordnet;
678;ontology construction;supports;resource description framework (rdf);
227;ontology construction;uses;semantic descriptions;
679;ontology construction;supports;web ontology language;
228;ontology construction;uses;web ontology language;
229;ontology development;uses;web ontology language;
230;ontology evolution;skos:broader/is/hyponym-of;semantic descriptions;
680;ontology integration;provides;semantic web services;
681;ontology language;supports;resource description framework (rdf);
231;ontology language;provides;web ontology language;
232;ontology learning;uses;resource description framework (rdf);
233;ontology learning;skos:broader/is/hyponym-of;semantic descriptions;
682;ontology modeling;matches;web ontology language;
234;ontology modeling;uses;web ontology language;
235;open source implementation;uses;linked data;
236;open source software;uses;linked data;
237;parsing algorithm;uses;linked data;
683;pattern;supports;semantic descriptions;
238;policy specification;uses;resource description framework (rdf);
239;process execution;uses;semantic web services;
684;program slicing;uses;semantic descriptions;
685;query execution;executes;linked data;
240;query expansion;uses;ontology alignment;
241;query processing;uses;ontology alignment;
242;question answering systems;uses;linked data;
686;rdf data;uses;linked data;
243;rdf data;uses;semantic search engines;
687;rdf graph;maintains;linked data;
244;re-engineering;uses;linked data;
245;reasoning algorithms;uses;semantic web services;
246;reasoning algorithms;uses;web ontology language;
247;recommendation;skos:broader/is/hyponym-of;linked data;
248;recommendation;uses;web ontology language;
249;recommender systems;uses;linked data;
250;recommender systems;includes;semantic web services;
251;relation extraction;uses;semantic search engines;
252;relational database systems;uses;resource description framework (rdf);
688;relational database systems;matches;web ontology language;
253;resource description framework (rdf);uses;abstract syntax;
689;resource description framework (rdf);supports;access control;
690;resource description framework (rdf);improves;collaborative work;
254;resource description framework (rdf);includes;component-based software engineering;
255;resource description framework (rdf);skos:broader/is/hyponym-of;component-based software engineering;
256;resource description framework (rdf);skos:broader/is/hyponym-of;constraint language;
691;resource description framework (rdf);uses;data exchange;
257;resource description framework (rdf);provides;data integration;
692;resource description framework (rdf);supports;data integration;
258;resource description framework (rdf);uses;database systems;
693;resource description framework (rdf);uses;digital libraries;
694;resource description framework (rdf);acquires;domain knowledge;
695;resource description framework (rdf);supports;engineering;
259;resource description framework (rdf);uses;fuzzy cognitive maps;
260;resource description framework (rdf);uses;grid technologies;
261;resource description framework (rdf);produces;inference;
696;resource description framework (rdf);selects;knowledge acquisition;
697;resource description framework (rdf);extends;knowledge bases;
698;resource description framework (rdf);supports;knowledge management;
262;resource description framework (rdf);guides;knowledge representation;
699;resource description framework (rdf);improves;libraries;
263;resource description framework (rdf);skos:broader/is/hyponym-of;linked open data;
264;resource description framework (rdf);defines;ontologies;
265;resource description framework (rdf);skos:broader/is/hyponym-of;ontology language;
266;resource description framework (rdf);provides;ontology modeling;
267;resource description framework (rdf);uses;query optimization;
268;resource description framework (rdf);supports;query processing;
269;resource description framework (rdf);includes;rdf data;
270;resource description framework (rdf);queries;rdf data;
271;resource description framework (rdf);skos:broader/is/hyponym-of;rdf data;
272;resource description framework (rdf);supports;rdf graph;
700;resource description framework (rdf);proposes;reasoning algorithms;
273;resource description framework (rdf);provides;reasoning algorithms;
274;resource description framework (rdf);provides;recommendation;
275;resource description framework (rdf);skos:broader/is/hyponym-of;recommendation;
276;resource description framework (rdf);uses;relational data models;
277;resource description framework (rdf);matches;relational database systems;
278;resource description framework (rdf);supports;reusability;
701;resource description framework (rdf);acquires;semantic data;
279;resource description framework (rdf);includes;semantic data;
280;resource description framework (rdf);skos:broader/is/hyponym-of;semantic descriptions;
702;resource description framework (rdf);represents;semantic interoperability;
281;resource description framework (rdf);skos:broader/is/hyponym-of;semantic interoperability;
282;resource description framework (rdf);represents;semantic relationships;
283;resource description framework (rdf);skos:broader/is/hyponym-of;semantic relationships;
703;resource description framework (rdf);includes;semantic search engines;
284;resource description framework (rdf);produces;semantic web services;
285;resource description framework (rdf);skos:broader/is/hyponym-of;semantic web technologies;
286;resource description framework (rdf);uses;semantic web technologies;
287;resource description framework (rdf);skos:broader/is/hyponym-of;semantic wikis;
288;resource description framework (rdf);skos:broader/is/hyponym-of;social networks;
289;resource description framework (rdf);includes;social sciences;
290;resource description framework (rdf);supports;software agents;
291;resource description framework (rdf);uses;sparql;
292;resource description framework (rdf);skos:broader/is/hyponym-of;standard model;
293;resource description framework (rdf);represents;user profiles;
704;resource description framework (rdf);provides;vocabulary;
294;resource description framework (rdf);skos:broader/is/hyponym-of;vocabulary;
295;resource description framework (rdf);skos:broader/is/hyponym-of;web applications;
705;resource description framework (rdf);uses;web applications;
706;resource description framework (rdf);proposes;web contents;
296;resource description framework (rdf);represents;web contents;
297;resource description framework (rdf);represents;web information;
707;resource description framework (rdf);interacts-with;web of data;
708;resource description framework (rdf);supports;wordnet;
709;resource description framework (rdf);represents;world wide web;
298;resource description framework (rdf);includes;xml databases;
299;resource discovery;uses;web ontology language;
300;scientific data;uses;linked data;
710;search engines;based-on;resource description framework (rdf);
301;search engines;provides;semantic search engines;
302;search engines;uses;semantic search engines;
711;search engines;based-on;semantic web services;
303;search engines;uses;semantic web services;
304;search engines;uses;web ontology language;
305;security models;uses;resource description framework (rdf);
712;security policies;based-on;web ontology language;
306;security policies;uses;web ontology language;
713;semantic concept;supports;semantic search engines;
307;semantic data;uses;linked data;
308;semantic data;uses;ontology alignment;
714;semantic data;produces;resource description framework (rdf);
715;semantic descriptions;supports;automated reasoning;
716;semantic descriptions;provides;automation;
309;semantic descriptions;supports;business services;
310;semantic descriptions;skos:broader/is/hyponym-of;component-based software engineering;
311;semantic descriptions;uses;description logics;
312;semantic descriptions;uses;digital libraries;
717;semantic descriptions;learns;e-learning environment;
313;semantic descriptions;uses;formal specifications;
314;semantic descriptions;uses;fuzzy ahp;
315;semantic descriptions;uses;fuzzy logics;
316;semantic descriptions;uses;heterogeneous databases;
317;semantic descriptions;uses;knowledge bases;
318;semantic descriptions;uses;knowledge representation;
718;semantic descriptions;publishes;linked data;
319;semantic descriptions;uses;model driven architectures;
719;semantic descriptions;includes;multimedia data;
320;semantic descriptions;uses;natural language processing systems;
321;semantic descriptions;uses;ontologies;
322;semantic descriptions;uses;ontology alignment;
323;semantic descriptions;uses;ontology language;
324;semantic descriptions;supports;reasoning algorithms;
325;semantic descriptions;uses;resource description framework (rdf);
326;semantic descriptions;uses;search engines;
720;semantic descriptions;produces;search process;
721;semantic descriptions;extends;semantic distance;
722;semantic descriptions;provides;semantic relationships;
327;semantic descriptions;uses;semantic relationships;
328;semantic descriptions;uses;semantic web technologies;
329;semantic descriptions;supports;software agents;
723;semantic descriptions;supports;web of data;
724;semantic descriptions;provides;web ontology language;
330;semantic descriptions;uses;web ontology language;
331;semantic descriptions;uses;wordnet;
332;semantic desktop;uses;linked data;
333;semantic desktop;uses;semantic search engines;
334;semantic distance;uses;linked data;
335;semantic heterogeneity;uses;ontology alignment;
336;semantic heterogeneity;uses;semantic web services;
337;semantic interoperability;uses;ontology alignment;
725;semantic interoperability;supports;semantic search engines;
338;semantic interoperability;uses;semantic web services;
339;semantic interoperability;uses;web ontology language;
340;semantic relationships;uses;linked data;
726;semantic relationships;represents;resource description framework (rdf);
341;semantic relationships;uses;semantic descriptions;
342;semantic relationships;supports;semantic web services;
343;semantic relationships;uses;semantic web services;
727;semantic relationships;proposes;web ontology language;
344;semantic search engines;uses;automatic image annotation;
728;semantic search engines;acquires;background knowledge;
345;semantic search engines;includes;component-based software engineering;
346;semantic search engines;skos:broader/is/hyponym-of;component-based software engineering;
729;semantic search engines;acquires;database systems;
347;semantic search engines;uses;database systems;
348;semantic search engines;uses;description logics;
349;semantic search engines;uses;domain-specific ontologies;
730;semantic search engines;learns;e-learning environment;
350;semantic search engines;uses;electronic documents;
351;semantic search engines;uses;email;
352;semantic search engines;uses;graph matchings;
353;semantic search engines;uses;hierarchical models;
354;semantic search engines;uses;index structure;
731;semantic search engines;uses;inference;
732;semantic search engines;supports;information acquisitions;
355;semantic search engines;skos:broader/is/hyponym-of;information technology;
733;semantic search engines;acquires;internet;
734;semantic search engines;provides;knowledge bases;
356;semantic search engines;uses;knowledge representation;
735;semantic search engines;learns;learning;
357;semantic search engines;uses;linked data;
358;semantic search engines;uses;map-reduce;
359;semantic search engines;uses;mobile agents;
360;semantic search engines;uses;mobile devices;
361;semantic search engines;uses;mobile phones;
362;semantic search engines;includes;named entity recognition;
363;semantic search engines;uses;natural language interfaces;
364;semantic search engines;skos:broader/is/hyponym-of;natural language processing systems;
365;semantic search engines;uses;natural language processing systems;
736;semantic search engines;provides;natural languages;
366;semantic search engines;requires;ontologies;
367;semantic search engines;uses;ontologies;
737;semantic search engines;acquires;ontology technology;
368;semantic search engines;combines;ontology technology;
369;semantic search engines;uses;ontology technology;
370;semantic search engines;uses;parallelism;
371;semantic search engines;uses;pervasive computing;
738;semantic search engines;produces;purchase;
372;semantic search engines;uses;rdf data;
373;semantic search engines;uses;recommendation;
374;semantic search engines;uses;resource description framework (rdf);
375;semantic search engines;requires;search engines;
376;semantic search engines;uses;search engines;
377;semantic search engines;uses;semantic data;
378;semantic search engines;uses;semantic metadata;
379;semantic search engines;uses;semantic similarity measures;
380;semantic search engines;provides;semantic web technologies;
381;semantic search engines;skos:broader/is/hyponym-of;semantic web technologies;
382;semantic search engines;uses;semantic web technologies;
383;semantic search engines;uses;social networks;
384;semantic search engines;uses;sparql;
385;semantic search engines;uses;spatial data infrastructure;
386;semantic search engines;provides;speech recognition;
387;semantic search engines;uses;text mining;
388;semantic search engines;uses;user interfaces;
389;semantic search engines;uses;user query;
390;semantic search engines;requires;verification;
739;semantic search engines;acquires;web contents;
391;semantic search engines;uses;web of data;
392;semantic search engines;uses;web ontology language;
393;semantic search engines;improves;web searches;
740;semantic search engines;produces;web-searching;
394;semantic search engines;uses;wordnet;
741;semantic similarity measures;skos:broader/is/hyponym-of;ontology alignment;
395;semantic similarity measures;uses;ontology alignment;
742;semantic similarity measures;skos:broader/is/hyponym-of;semantic web services;
396;semantic web rule languages;extends;web ontology language;
397;semantic web rule languages;skos:broader/is/hyponym-of;web ontology language;
743;semantic web service discovery;based-on;ontology alignment;
398;semantic web service discovery;uses;ontology alignment;
744;semantic web service discovery;based-on;semantic web services;
745;semantic web services;based-on;access control;
399;semantic web services;uses;access control;
400;semantic web services;uses;agent technology;
401;semantic web services;requires;authentication;
402;semantic web services;supports;automated reasoning;
403;semantic web services;produces;automatic composition;
746;semantic web services;provides;automatic composition;
404;semantic web services;uses;automatic composition;
405;semantic web services;provides;automation;
406;semantic web services;supports;automation;
407;semantic web services;uses;bayesian classification;
408;semantic web services;uses;business logic;
409;semantic web services;uses;business process execution language;
747;semantic web services;produces;business process modelling;
410;semantic web services;uses;collaborative filtering techniques;
411;semantic web services;uses;collaborative tagging;
412;semantic web services;includes;component-based software engineering;
413;semantic web services;skos:broader/is/hyponym-of;component-based software engineering;
748;semantic web services;extends;context information;
414;semantic web services;uses;database management;
749;semantic web services;based-on;description logics;
415;semantic web services;uses;description logics;
416;semantic web services;uses;distributed applications;
417;semantic web services;uses;distributed architectures;
418;semantic web services;uses;distributed systems;
750;semantic web services;provides;dynamic composition;
419;semantic web services;includes;dynamic environments;
751;semantic web services;uses;dynamic environments;
752;semantic web services;matches;efficient algorithm;
420;semantic web services;uses;electronic commerce;
421;semantic web services;uses;formal models;
422;semantic web services;skos:broader/is/hyponym-of;information integration;
753;semantic web services;extends;information technology;
754;semantic web services;skos:broader/is/hyponym-of;intelligibility;
423;semantic web services;uses;knowledge acquisition;
755;semantic web services;supports;learning objects;
424;semantic web services;uses;mashup;
425;semantic web services;uses;matching algorithm;
426;semantic web services;uses;mobile devices;
427;semantic web services;uses;modelling language;
428;semantic web services;uses;ontologies;
756;semantic web services;based-on;ontology alignment;
429;semantic web services;uses;ontology alignment;
430;semantic web services;uses;ontology evolution;
431;semantic web services;uses;ontology integration;
432;semantic web services;uses;ontology language;
433;semantic web services;uses;ontology technology;
757;semantic web services;provides;open source software;
434;semantic web services;requires;privacy;
435;semantic web services;represents;programming models;
758;semantic web services;based-on;reasoning algorithms;
436;semantic web services;supports;reasoning algorithms;
437;semantic web services;uses;reference architectures;
438;semantic web services;uses;resource description framework (rdf);
759;semantic web services;combines;robots;
439;semantic web services;combines;semantic descriptions;
440;semantic web services;includes;semantic descriptions;
441;semantic web services;provides;semantic descriptions;
442;semantic web services;uses;semantic interoperability;
443;semantic web services;provides;semantic relationships;
444;semantic web services;uses;semantic relationships;
445;semantic web services;uses;semantic search engines;
760;semantic web services;proposes;semantic similarity measures;
446;semantic web services;uses;semantic web service discovery;
447;semantic web services;combines;semantic web technologies;
448;semantic web services;skos:broader/is/hyponym-of;semantic web technologies;
449;semantic web services;uses;semantic web technologies;
450;semantic web services;uses;semantic wikis;
761;semantic web services;proposes;service oriented computing;
451;semantic web services;uses;service oriented computing;
452;semantic web services;uses;services composition;
453;semantic web services;includes;services selection;
454;semantic web services;uses;shortest paths;
455;semantic web services;supports;software agents;
456;semantic web services;uses;software agents;
457;semantic web services;uses;sparql;
762;semantic web services;extends;supply chain coordination;
458;semantic web services;supports;supply chain coordination;
459;semantic web services;uses;system architectures;
460;semantic web services;uses;text clustering;
461;semantic web services;uses;tool support;
462;semantic web services;uses;uml profiles;
763;semantic web services;provides;user experience;
764;semantic web services;matches;user query;
463;semantic web services;uses;user query;
464;semantic web services;uses;visual programming;
465;semantic web services;uses;visualization;
466;semantic web services;uses;web 2.0;
467;semantic web services;uses;web of data;
468;semantic web services;uses;web ontology language;
765;semantic web services;improves;web service description;
469;semantic web services;uses;web service description;
470;semantic web services;automates;web services discovery;
471;semantic web services;proposes;web services discovery;
472;semantic web services;uses;web services discovery;
473;semantic web services;uses;xml;
474;semantic web technologies;uses;linked data;
475;semantic web technologies;includes;ontology alignment;
476;semantic web technologies;uses;resource description framework (rdf);
477;semantic web technologies;includes;semantic descriptions;
478;semantic web technologies;provides;semantic descriptions;
479;semantic web technologies;provides;semantic search engines;
480;semantic web technologies;produces;semantic web services;
481;semantic web technologies;uses;web ontology language;
482;sensor networks;uses;ontology alignment;
766;sensors;proposes;linked data;
483;service execution;skos:broader/is/hyponym-of;semantic web services;
484;service matching;uses;semantic web services;
485;services composition;uses;semantic descriptions;
767;services composition;proposes;semantic web services;
768;services selection;skos:broader/is/hyponym-of;semantic web services;
486;services selection;uses;semantic web services;
487;smart phones;uses;semantic search engines;
488;social networks;uses;web ontology language;
489;social relationships;uses;semantic search engines;
490;software agents;uses;semantic descriptions;
769;software agents;publishes;web ontology language;
491;software design;uses;web ontology language;
770;software development life cycle;based-on;semantic web services;
492;software development life cycle;uses;semantic web services;
493;software engineering;uses;linked data;
494;software maintenance;uses;ontology alignment;
771;source codes;proposes;linked data;
495;sparql;represents;resource description framework (rdf);
496;spatial data;uses;linked data;
497;speech recognition;based-on;semantic search engines;
498;speech recognition;uses;semantic search engines;
499;star schema;uses;web ontology language;
500;supervised machine learning;uses;resource description framework (rdf);
501;supervised machine learning;uses;web ontology language;
502;supply chain coordination;uses;semantic web services;
503;telecommunications industry;uses;semantic web services;
504;text clustering;uses;semantic search engines;
772;text mining;supports;semantic search engines;
505;text mining;uses;semantic web services;
506;twitter;skos:broader/is/hyponym-of;linked data;
773;twitter;uses;linked data;
507;ubiquitous computing;uses;web ontology language;
508;ubiquitous computing environment;uses;web ontology language;
509;uml models;visualizes;web ontology language;
774;undirected graph;represents;resource description framework (rdf);
775;universities;produces;linked data;
776;universities;acquires;resource description framework (rdf);
510;user experience;uses;semantic search engines;
777;user interfaces;represents;linked data;
511;user navigation;uses;semantic search engines;
512;user query;uses;ontology alignment;
513;user query;uses;semantic search engines;
778;verification;supports;semantic web services;
514;verification;uses;web ontology language;
515;vocabulary;proposes;linked data;
516;vocabulary;proposes;resource description framework (rdf);
779;vocabulary;uses;semantic web services;
517;vocabulary;uses;web ontology language;
780;web applications;produces;linked data;
518;web applications;uses;linked data;
519;web applications;uses;ontology alignment;
781;web applications;based-on;resource description framework (rdf);
782;web applications;based-on;semantic search engines;
783;web applications;produces;semantic web services;
520;web applications;uses;semantic web services;
521;web applications;uses;web ontology language;
522;web browsing;uses;linked data;
523;web contents;uses;linked data;
524;web contents;uses;resource description framework (rdf);
784;web contents;selects;semantic descriptions;
525;web contents;uses;semantic descriptions;
785;web contents;supports;semantic search engines;
526;web contents;uses;semantic search engines;
527;web contents;uses;semantic web services;
786;web contents;acquires;web ontology language;
528;web contents;uses;web ontology language;
529;web crawlers;skos:broader/is/hyponym-of;semantic search engines;
787;web development;requires;semantic web services;
530;web engineering;uses;resource description framework (rdf);
531;web engineering;uses;semantic web services;
532;web of data;uses;linked data;
533;web of data;requires;resource description framework (rdf);
