,s,p,o,source,support
143,resource description framework (rdf),produces,data exchange,heuristic,10
144,linked data,supports,mashup,heuristic,9
145,semantic web services,provides,web services discovery,heuristic,22
146,reasoning algorithms,uses,web ontology language,heuristic,10
147,semantic web services,includes,semantic web services,openie,19
148,resource description framework (rdf),represents,semantic interoperability,heuristic,11
149,ontology alignment,is,semantic interoperability,heuristic,9
150,web ontology language,provides,semantic web technologies,heuristic,56
151,petri nets,proposes,semantic web services,heuristic,15
152,world wide web,converts,web ontology language,heuristic,12
153,resource description framework (rdf),includes,web ontology language,openie,35
154,semantic web services,combines,semantic web technologies,heuristic,31
155,ontology alignment,is,semantic web technologies,heuristic,30
156,knowledge representation,produces,web ontology language,heuristic,14
157,resource description framework (rdf),produces,knowledge bases,heuristic,15
158,web ontology language,provides,description logics,heuristic,57
159,resource description framework (rdf),proposes,extensible markup language,heuristic,10
160,relational database systems,acquires,web ontology language,heuristic,9
161,ontology-based,selects,ontology alignment,heuristic,194
162,resource description framework (rdf),acquires,domain knowledge,heuristic,9
163,semantic web services,analyzes,resource description framework (rdf),heuristic,12
164,web ontology language,includes,resource description framework (rdf),openie,37
165,semantic web technologies,publishes,linked data,heuristic,38
166,resource description framework (rdf),provides,sparql,heuristic,140
167,linked data,provides,semantic web technologies,heuristic,136
168,linked data,provides,data integration,heuristic,20
169,semantic web technologies,provides,linked data,heuristic,136
170,semantic web services,provides,software agents,heuristic,17
171,resource description framework (rdf),produces,inference,heuristic,14
172,ontology alignment,selects,ontology-based,heuristic,260
173,software agents,uses,semantic web services,heuristic,12
174,semantic web services,converts,semantic web services,heuristic,19
175,semantic web services,provides,communication,heuristic,15
176,sparql,links,linked data,heuristic,18
177,ontology alignment,includes,ontology-based,openie,9
178,world wide web,acquires,resource description framework (rdf),heuristic,18
179,domain-specific ontologies,proposes,semantic web services,heuristic,11
180,semantic web services,proposes,semantic web service discovery,heuristic,12
181,semantic web technologies,includes,semantic web services,openie,19
182,semantic web services,provides,service compositions,heuristic,12
183,web applications,base,resource description framework (rdf),heuristic,9
184,xml schemas,includes,web ontology language,openie,10
185,ontology-based,defines,web ontology language,heuristic,176
186,resource description framework (rdf),provides,linked open data,heuristic,10
187,resource description framework (rdf),provides,reasoning algorithms,heuristic,22
188,semantic web technologies,includes,linked data,openie,29
189,ontology language,supports,resource description framework (rdf),heuristic,13
190,web services discovery,proposes,semantic web services,heuristic,16
191,semantic web services,is,service matching,heuristic,10
192,relational database systems,uses,resource description framework (rdf),heuristic,33
193,ontology alignment,analyzes,concept similarity,heuristic,15
194,web ontology language,is,world wide web,heuristic,15
195,semantic web services,proposes,ontology alignment,heuristic,10
196,reasoning algorithms,uses,resource description framework (rdf),heuristic,13
197,ontology-based,provides,semantic descriptions,heuristic,12
198,ontology alignment,includes,ontology alignment,openie,42
199,data integration,proposes,ontology alignment,heuristic,14
200,semantic search engines,analyzes,information needs,heuristic,10
201,resource description framework (rdf),includes,sparql,openie,78
202,web ontology language,includes,semantic web technologies,openie,10
203,ontology alignment,selects,ontology-based,heuristic,205
204,semantic web technologies,provides,web ontology language,heuristic,30
205,resource description framework (rdf),links,linked data,heuristic,74
206,linked data,includes,ontology-based,openie,18
207,resource description framework (rdf),represents,sparql,heuristic,22
208,web contents,provides,semantic search engines,heuristic,10
209,database systems,selects,linked data,heuristic,9
210,semantic search engines,is,semantic web technologies,heuristic,30
211,semantic web technologies,includes,semantic web services,openie,36
212,semantic web services,acquires,petri nets,heuristic,15
213,ontology-based,represents,resource description framework (rdf),heuristic,175
214,web ontology language,defines,ontology-based,heuristic,183
215,linked data,provides,ontology-based,heuristic,83
216,semantic web services,matches,semantic distance,heuristic,9
217,linked data,produces,universities,heuristic,13
218,web ontology language,provides,semantic web technologies,heuristic,114
219,resource description framework (rdf),provides,vocabulary,heuristic,9
220,semantic web services,provides,dynamic composition,heuristic,9
221,semantic web services,produces,business processes,heuristic,10
222,description logics,includes,web ontology language,openie,14
223,semantic web technologies,provides,resource description framework (rdf),heuristic,72
224,resource description framework (rdf),includes,semantic web technologies,openie,9
225,vocabulary,proposes,linked data,heuristic,23
226,web ontology language,provides,reasoning algorithms,heuristic,24
227,resource description framework (rdf),acquires,semantic relationships,heuristic,9
228,resource description framework (rdf),improves,libraries,heuristic,9
229,resource description framework (rdf),provides,ontology language,heuristic,15
230,semantic web services,provides,web service composition,heuristic,11
231,resource description framework (rdf),produces,database systems,heuristic,16
232,software agents,publishes,web ontology language,heuristic,9
233,reasoning algorithms,uses,semantic web services,heuristic,9
234,linked data,includes,semantic web technologies,openie,44
235,ontology alignment,provides,ontology-based,heuristic,124
236,semantic web services,produces,ontology-based,heuristic,130
237,resource description framework (rdf),provides,dbpedia,heuristic,14
238,resource description framework (rdf),supports,digital libraries,heuristic,9
239,linked data,provides,libraries,heuristic,83
240,semantic search engines,is,speech recognition,heuristic,10
241,resource description framework (rdf),includes,web ontology language,openie,264
242,linked data,provides,question answering systems,heuristic,10
243,linked data,uses,sparql,heuristic,15
244,linked open data,links,linked data,heuristic,15
245,ontology alignment,provides,background knowledge,heuristic,10
246,resource description framework (rdf),includes,web ontology language,heuristic,9
247,uml models,visualizes,web ontology language,heuristic,9
