,entity,sw-count,cs-count,gd-count,sw&cs,sw&gd
71,koios,1.7416126113652413e-06,0.0,0.0,10.0,20.0
72,unstructured p2p systems.documents,2.1770157642065517e-07,0.0,0.0,10.0,20.0
73,k- high frequency term,2.1770157642065517e-07,0.0,0.0,10.0,20.0
74,semantic search technologies,3.2655236463098276e-06,0.0,0.0,10.0,20.0
75,output frequency,0.0,2.319617281705457e-06,6.531047292619655e-07,0.0,0.0
76,benchmark ontologies,1.306209458523931e-06,0.0,0.0,10.0,20.0
77,fv construction error rates,2.1770157642065517e-07,0.0,0.0,10.0,20.0
78,computing resource,1.1973586703136034e-05,1.4845550602914923e-05,2.1770157642065517e-07,0.806543793719919,55.0
79,semantic search techniques,5.007136257675069e-06,0.0,0.0,10.0,20.0
80,annotating digital and non-digital content,2.1770157642065517e-07,0.0,0.0,10.0,20.0
81,keyword-based search,2.5471084441216657e-05,6.95885184511637e-07,0.0,36.60242380227124,20.0
82,mpeg-7,3.026051912247107e-05,2.087655553534911e-06,0.0,14.494976947338182,20.0
83,local binary patterns,0.0,6.95885184511637e-07,2.1770157642065517e-07,0.0,0.0
84,index termsmpeg-7,2.1770157642065517e-07,0.0,0.0,10.0,20.0
85,resource information,4.789434681254414e-06,2.319617281705457e-06,0.0,2.064752111922993,20.0
86,integrated data,1.1973586703136034e-05,2.5515790098760026e-06,2.1770157642065517e-07,4.69261843618862,55.0
87,semantic searching mechanism,8.708063056826207e-07,0.0,0.0,10.0,20.0
88,machine learning techniques,1.806923084291438e-05,5.799043204263642e-06,4.3540315284131033e-07,3.115898641629244,41.5
89,learning materials,2.0899351336382897e-05,6.0310049324341874e-06,4.3540315284131033e-07,3.465318229800827,48.0
90,hit-based semantic search approach,2.1770157642065517e-07,0.0,0.0,10.0,20.0
91,adaptive algorithms,0.0,2.087655553534911e-06,0.0,0.0,20.0
92,matching score,1.306209458523931e-06,2.3196172817054568e-07,0.0,5.631142123426344,20.0
93,retrieval process,1.632761823154914e-05,2.087655553534911e-06,4.3540315284131033e-07,7.821030726981035,37.50000000000001
94,information retrieval techniques,1.0667377244612103e-05,4.6392345634109136e-07,0.0,22.993830337324237,20.0
95,evolutionary strategies,0.0,6.95885184511637e-07,2.1770157642065517e-07,0.0,0.0
